                    7.9                    0.15   1.00033344448149E-005        1.13764843163304        14205.2068436439     0.00266494371422267       -4496.39091021246        96828.6101725619       -4472.32608554894        296.455507256212        296.476567436888        27.1805993474421                       0     0.00126695186324006  -5.08971089176213E-009       0.623329083344509         8.9579161410271  -3.29907654022892E-005                       0       0.919999158078895  -3.61397028214346E-006   1.75988412949472E-006   1.83100000867853E-005     0.00017969987841372      0.0635356516768442        14209.0101079838    -0.00316686000243682        86.2983710867374        22.0371382934407        9343.87882218033         8896.4786980466                       1                       1                       1 
                    7.9                    0.15   1.10036678892964E-005        1.13764845214387         14205.206869043     0.00293143808565188       -4496.39090923558        96828.6101725619       -4469.91960210557        296.455501913856          296.4786681126        27.1873298544798                       0     0.00126436525795643  -5.07922007186618E-009       0.622056588057106        8.93962777534205  -3.29203971182069E-005                       0        1.01199907388923  -3.97536688073205E-006   1.93587153152761E-006   1.83100000867853E-005    0.000180788530499005      0.0635356516768442        14209.0101079838    -0.00316686000243682        86.1221886035704        21.9921484168255        9378.89049107421        8913.45035445956                       1                       1                       1 
                    7.9                    0.15   1.20040013337779E-005        1.13764847265471        14205.2068944421     0.00319793245708109       -4496.39090825869        96828.6101725619        -4467.5131186622        296.455496571499        296.480768788311        27.1940603615176                       0     0.00126177865267279  -5.06872925197024E-009       0.620784092769702          8.921339409657  -3.28500288341245E-005                       0        1.10399898969957  -4.33676347932063E-006   2.11185893356051E-006   1.83100000867853E-005    0.000181877182584291      0.0635356516768442        14209.0101079838    -0.00316686000243682        85.9460061204033        21.9471585402103         9413.9021599681        8930.42201087253                       1                       1                       1 
                    7.9                    0.15   1.30043347782594E-005        1.13764849316554        14205.2069198412     0.00346442682851031        -4496.3909072818        96828.6101725619       -4465.10663521883        296.455491229142        296.482869464023        27.2007908685553                       0     0.00125919204738915  -5.05823843207429E-009       0.619511597482299        8.90305104397195  -3.27796605500422E-005                       0        1.19599890550991  -4.69816007790922E-006    2.2878463355934E-006   1.83100000867853E-005    0.000182965834669576      0.0635356516768442        14209.0101079838    -0.00316686000243682        85.7698236372363        21.9021686635951        9448.91382886199        8947.39366728549                       1                       1                       1 
                    7.9                    0.15   1.40046682227409E-005        1.13764851367638        14205.2069452403     0.00373092119993952       -4496.39090630491        96828.6101725619       -4462.70015177546        296.455485886785        296.484970139734        27.2075213755931                       0     0.00125660544210552  -5.04774761217835E-009       0.618239102194895        8.88476267828689  -3.27092922659599E-005                       0        1.28799882132025   -5.0595566764978E-006    2.4638337376263E-006   1.83100000867853E-005    0.000184054486754862      0.0635356516768442        14209.0101079838    -0.00316686000243682        85.5936411540692        21.8571787869799        9483.92549775588        8964.36532369845                       1                       1                       1 
                    7.9                    0.15   1.50050016672224E-005        1.13764853418721        14205.2069706394     0.00399741557136873       -4496.39090532802        96828.6101725619        -4460.2936683321        296.455480544429        296.487070815446        27.2142518826308                       0     0.00125401883682188   -5.0372567922824E-009       0.616966606907492        8.86647431260184  -3.26389239818775E-005                       0        1.37999873713058  -5.42095327508639E-006   2.63982113965919E-006   1.83100000867853E-005    0.000185143138840147      0.0635356516768442        14209.0101079838    -0.00316686000243682        85.4174586709022        21.8121889103647        9518.93716664976        8981.33698011142                       1                       1                       1 
                    7.9                    0.15   1.60053351117039E-005        1.13764855469804        14205.2069960385     0.00426390994279795       -4496.39090435114        96828.6101725619       -4457.88718488873        296.455475202072        296.489171491157        27.2209823896686                       0     0.00125143223153825  -5.02676597238646E-009       0.615694111620088        8.84818594691679  -3.25685556977952E-005                       0        1.47199865294092  -5.78234987367497E-006   2.81580854169208E-006   1.83100000867853E-005    0.000186231790925433      0.0635356516768442        14209.0101079838    -0.00316686000243682        85.2412761877351        21.7671990337495        9553.94883554365        8998.30863652438                       1                       1                       1 
                    7.9                    0.15   1.70056685561854E-005        1.13764857520888        14205.2070214376     0.00453040431422716       -4496.39090337425        96828.6101725619       -4455.48070144536        296.455469859715        296.491272166868        27.2277128967063                       0     0.00124884562625461  -5.01627515249051E-009       0.614421616332685        8.82989758123174  -3.24981874137129E-005                       0        1.56399856875126  -6.14374647226355E-006   2.99179594372498E-006   1.83100000867853E-005    0.000187320443010718      0.0635356516768442        14209.0101079838    -0.00316686000243682        85.0650937045681        21.7222091571343        9588.96050443754        9015.28029293734                       1                       1                       1 
                    7.9                    0.15   1.80060020006669E-005        1.13764859571971        14205.2070468366     0.00479689868565637       -4496.39090239736        96828.6101725619       -4453.07421800199        296.455464517359         296.49337284258        27.2344434037441                       0     0.00124625902097098  -5.00578433259457E-009       0.613149121045281        8.81160921554668  -3.24278191296305E-005                       0         1.6559984845616  -6.50514307085214E-006   3.16778334575787E-006   1.83100000867853E-005    0.000188409095096004      0.0635356516768442        14209.0101079838    -0.00316686000243682         84.888911221401        21.6772192805191        9623.97217333142         9032.2519493503                       1                       1                       1 
                    7.9                    0.15   1.90063354451484E-005        1.13764861623054        14205.2070722357     0.00506339305708559       -4496.39090142047        96828.6101725619       -4450.66773455862        296.455459175002        296.495473518291        27.2411739107818                       0     0.00124367241568734  -4.99529351269862E-009       0.611876625757878        8.79332084986163  -3.23574508455482E-005                       0        1.74799840037193  -6.86653966944073E-006   3.34377074779077E-006   1.83100000867853E-005    0.000189497747181289      0.0635356516768442        14209.0101079838    -0.00316686000243682         84.712728738234        21.6322294039039        9658.98384222531        9049.22360576327                       1                       1                       1 
                    7.9                    0.15   2.00066688896299E-005        1.13764863674138        14205.2070976348      0.0053298874285148       -4496.39090044358        96828.6101725619       -4448.26125111525        296.455453832645        296.497574194003        27.2479044178196                       0     0.00124108581040371  -4.98480269280268E-009       0.610604130470474        8.77503248417658  -3.22870825614659E-005                       0        1.83999831618227  -7.22793626802931E-006   3.51975814982366E-006   1.83100000867853E-005    0.000190586399266575      0.0635356516768442        14209.0101079838    -0.00316686000243682         84.536546255067        21.5872395272887         9693.9955111192        9066.19526217623                       1                       1                       1 
                    7.9                    0.15   2.10070023341114E-005        1.13764865725221        14205.2071230339     0.00559638179994401        -4496.3908994667        96828.6101725619       -4445.85476767189        296.455448490288        296.499674869714        27.2546349248573                       0     0.00123849920512007  -4.97431187290674E-009       0.609331635183071        8.75674411849153  -3.22167142773835E-005                       0        1.93199823199261  -7.58933286661789E-006   3.69574555185655E-006   1.83100000867853E-005     0.00019167505135186      0.0635356516768442        14209.0101079838    -0.00316686000243682        84.3603637718999        21.5422496506735        9729.00718001309        9083.16691858919                       1                       1                       1 
                    7.9                    0.15   2.20073357785929E-005        1.13764867776305         14205.207148433     0.00586287617137323       -4496.39089848981        96828.6101725619       -4443.44828422852        296.455443147932        296.501775545426        27.2613654318951                       0     0.00123591259983643  -4.96382105301079E-009       0.608059139895667        8.73845575280648  -3.21463459933012E-005                       0        2.02399814780295  -7.95072946520648E-006   3.87173295388945E-006   1.83100000867853E-005    0.000192763703437146      0.0635356516768442        14209.0101079838    -0.00316686000243682        84.1841812887329        21.4972597740583        9764.01884890698        9100.13857500215                       1                       1                       1 
                    7.9                    0.15   2.30076692230744E-005        1.13764869827388        14205.2071738321     0.00612937054280244       -4496.39089751292        96828.6101725619       -4441.04180078515        296.455437805575        296.503876221137        27.2680959389328                       0      0.0012333259945528  -4.95333023311485E-009       0.606786644608264        8.72016738712142  -3.20759777092189E-005                       0        2.11599806361328  -8.31212606379506E-006   4.04772035592234E-006   1.83100000867853E-005    0.000193852355522431      0.0635356516768442        14209.0101079838    -0.00316686000243682        84.0079988055658        21.4522698974431        9799.03051780086        9117.11023141512                       1                       1                       1 
                    7.9                    0.15   2.40080026675558E-005        1.13764871878471        14205.2071992312     0.00639586491423165       -4496.39089653603        96828.6101725619       -4438.63531734178        296.455432463218        296.505976896848        27.2748264459706                       0     0.00123073938926916   -4.9428394132189E-009        0.60551414932086        8.70187902143637  -3.20056094251365E-005                       0        2.20799797942362  -8.67352266238365E-006   4.22370775795524E-006   1.83100000867853E-005    0.000194941007607717      0.0635356516768442        14209.0101079838    -0.00316686000243682        83.8318163223988        21.4072800208279        9834.04218669475        9134.08188782808                       1                       1                       1 
                    7.9                    0.15   2.50083361120373E-005        1.13764873929555        14205.2072246303     0.00666235928566086       -4496.39089555914        96828.6101725619       -4436.22883389841        296.455427120862         296.50807757256        27.2815569530083                       0     0.00122815278398553  -4.93234859332296E-009       0.604241654033457        8.68359065575132  -3.19352411410542E-005                       0        2.29999789523396  -9.03491926097223E-006   4.39969515998813E-006   1.83100000867853E-005    0.000196029659693002      0.0635356516768442        14209.0101079838    -0.00316686000243682        83.6556338392317        21.3622901442127        9869.05385558864        9151.05354424104                       1                       1                       1 
                    7.9                    0.15   2.60086695565188E-005        1.13764875980638        14205.2072500294     0.00692885365709008       -4496.39089458225        96828.6101725619       -4433.82235045504        296.455421778505        296.510178248271        27.2882874600461                       0     0.00122556617870189  -4.92185777342701E-009       0.602969158746053        8.66530229006626  -3.18648728569719E-005                       0         2.3919978110443  -9.39631585956082E-006   4.57568256202102E-006   1.83100000867853E-005    0.000197118311778288      0.0635356516768442        14209.0101079838    -0.00316686000243682        83.4794513560647        21.3173002675975        9904.06552448252          9168.025200654                       1                       1                       1 
                    7.9                    0.15   2.70090030010003E-005        1.13764878031721        14205.2072754285     0.00719534802851929       -4496.39089360537        96828.6101725619       -4431.41586701167        296.455416436148        296.512278923983        27.2950179670838                       0     0.00122297957341826  -4.91136695353107E-009        0.60169666345865        8.64701392438121  -3.17945045728895E-005                       0        2.48399772685463   -9.7577124581494E-006   4.75166996405392E-006   1.83100000867853E-005    0.000198206963863573      0.0635356516768442        14209.0101079838    -0.00316686000243682        83.3032688728976        21.2723103909823        9939.07719337641        9184.99685706697                       1                       1                       1 
                    7.9                    0.15   2.80093364454818E-005        1.13764880082805        14205.2073008276      0.0074618423999485       -4496.39089262848        96828.6101725619       -4429.00938356831        296.455411093792        296.514379599694        27.3017484741216                       0     0.00122039296813462  -4.90087613363512E-009       0.600424168171246        8.62872555869616  -3.17241362888072E-005                       0        2.57599764266497   -1.0119109056738E-005   4.92765736608681E-006   1.83100000867853E-005    0.000199295615948859      0.0635356516768442        14209.0101079838    -0.00316686000243682        83.1270863897306        21.2273205143671         9974.0888622703        9201.96851347993                       1                       1                       1 
                    7.9                    0.15   2.90096698899633E-005        1.13764882133888        14205.2073262266     0.00772833677137772       -4496.39089165159        96828.6101725619       -4426.60290012494        296.455405751435        296.516480275406        27.3084789811594                       0     0.00121780636285099  -4.89038531373918E-009       0.599151672883843        8.61043719301111  -3.16537680047249E-005                       0        2.66799755847531  -1.04805056553266E-005   5.10364476811971E-006   1.83100000867853E-005    0.000200384268034144      0.0635356516768442        14209.0101079838    -0.00316686000243682        82.9509039065635        21.1823306377519        10009.1005311642        9218.94016989289                       1                       1                       1 
                    7.9                    0.15   3.00100033344448E-005        1.13764884184972        14205.2073516257     0.00799483114280693        -4496.3908906747        96828.6101725619       -4424.19641668157        296.455400409078        296.518580951117        27.3152094881971                       0     0.00121521975756735  -4.87989449384324E-009       0.597879177596439        8.59214882732606  -3.15833997206425E-005                       0        2.75999747428565  -1.08419022539152E-005    5.2796321701526E-006   1.83100000867853E-005     0.00020147292011943      0.0635356516768442        14209.0101079838    -0.00316686000243682        82.7747214233965        21.1373407611367        10044.1122000581        9235.91182630586                       1                       1                       1 
                    7.9                    0.15   3.10103367789263E-005        1.13764886236055        14205.2073770248     0.00826132551423614       -4496.39088969781        96828.6101725619        -4421.7899332382        296.455395066721        296.520681626828        27.3219399952349                       0     0.00121263315228372  -4.86940367394729E-009       0.596606682309036          8.573860461641  -3.15130314365602E-005                       0        2.85199739009598  -1.12032988525037E-005   5.45561957218549E-006   1.83100000867853E-005    0.000202561572204715      0.0635356516768442        14209.0101079838    -0.00316686000243682        82.5985389402295        21.0923508845215         10079.123868952        9252.88348271882                       1                       1                       1 
                    7.9                    0.15   3.20106702234078E-005        1.13764888287138        14205.2074024239     0.00852781988566535       -4496.39088872093        96828.6101725619       -4419.38344979483        296.455389724365         296.52278230254        27.3286705022726                       0     0.00121004654700008  -4.85891285405135E-009       0.595334187021632        8.55557209595595  -3.14426631524779E-005                       0        2.94399730590632  -1.15646954510923E-005   5.63160697421839E-006   1.83100000867853E-005    0.000203650224290001      0.0635356516768442        14209.0101079838    -0.00316686000243682        82.4223564570624        21.0473610079063        10114.1355378458        9269.85513913178                       1                       1                       1 
                    7.9                    0.15   3.30110036678893E-005        1.13764890338222         14205.207427823     0.00879431425709457       -4496.39088774404        96828.6101725619       -4416.97696635146        296.455384382008        296.524882978251        27.3354010093104                       0     0.00120745994171644   -4.8484220341554E-009       0.594061691734229         8.5372837302709  -3.13722948683955E-005                       0        3.03599722171666  -1.19260920496809E-005   5.80759437625128E-006   1.83100000867853E-005    0.000204738876375286      0.0635356516768442        14209.0101079838    -0.00316686000243682        82.2461739738954         21.002371131291        10149.1472067397        9286.82679554474                       1                       1                       1 
                    7.9                    0.15   3.40113371123708E-005        1.13764892389305        14205.2074532221     0.00906080862852378       -4496.39088676715        96828.6101725619        -4414.5704829081        296.455379039651        296.526983653963        27.3421315163481                       0     0.00120487333643281  -4.83793121425946E-009       0.592789196446826        8.51899536458585  -3.13019265843132E-005                       0          3.127997137527  -1.22874886482695E-005   5.98358177828417E-006   1.83100000867853E-005    0.000205827528460572      0.0635356516768442        14209.0101079838    -0.00316686000243682        82.0699914907283        20.9573812546759        10184.1588756336         9303.7984519577                       1                       1                       1 
                    7.9                    0.15   3.50116705568523E-005        1.13764894440388        14205.2074786212     0.00932730299995299       -4496.39088579026        96828.6101725619       -4412.16399946473        296.455373697295        296.529084329674        27.3488620233859                       0     0.00120228673114917  -4.82744039436351E-009       0.591516701159422        8.50070699890079  -3.12315583002309E-005                       0        3.21999705333733  -1.26488852468581E-005   6.15956918031707E-006   1.83100000867853E-005    0.000206916180545857      0.0635356516768442        14209.0101079838    -0.00316686000243682        81.8938090075613        20.9123913780606        10219.1705445275        9320.77010837067                       1                       1                       1 
                    7.9                    0.15   3.60120040013338E-005        1.13764896491472        14205.2075040203     0.00959379737138221       -4496.39088481337        96828.6101725619       -4409.75751602136        296.455368354938        296.531185005386        27.3555925304236                       0     0.00119970012586554  -4.81694957446757E-009       0.590244205872019        8.48241863321574  -3.11611900161485E-005                       0        3.31199696914767  -1.30102818454467E-005   6.33555658234996E-006   1.83100000867853E-005    0.000208004832631142      0.0635356516768442        14209.0101079838    -0.00316686000243682        81.7176265243942        20.8674015014455        10254.1822134214        9337.74176478363                       1                       1                       1 
                    7.9                    0.15   3.70123374458153E-005        1.13764898542555        14205.2075294194     0.00986029174281142       -4496.39088383649        96828.6101725619       -4407.35103257799        296.455363012581        296.533285681097        27.3623230374614                       0      0.0011971135205819  -4.80645875457162E-009       0.588971710584615        8.46413026753069  -3.10908217320662E-005                       0        3.40399688495801  -1.33716784440352E-005   6.51154398438286E-006   1.83100000867853E-005    0.000209093484716428      0.0635356516768442        14209.0101079838    -0.00316686000243682        81.5414440412272        20.8224116248302        10289.1938823153        9354.71342119659                       1                       1                       1 
                    7.9                    0.15   3.80126708902968E-005        1.13764900593639        14205.2075548185      0.0101267861142406        -4496.3908828596        96828.6101725619       -4404.94454913462        296.455357670225        296.535386356809        27.3690535444991                       0     0.00119452691529827  -4.79596793467568E-009       0.587699215297212        8.44584190184564  -3.10204534479839E-005                       0        3.49599680076835  -1.37330750426238E-005   6.68753138641575E-006   1.83100000867853E-005    0.000210182136801713      0.0635356516768442        14209.0101079838    -0.00316686000243682        81.3652615580602        20.7774217482151        10324.2055512092        9371.68507760956                       1                       1                       1 
                    7.9                    0.15   3.90130043347783E-005        1.13764902644722        14205.2075802175      0.0103932804856698       -4496.39088188271        96828.6101725619       -4402.53806569125        296.455352327868         296.53748703252        27.3757840515369                       0     0.00119194031001463  -4.78547711477974E-009       0.586426720009808        8.42755353616058  -3.09500851639015E-005                       0        3.58799671657868  -1.40944716412124E-005   6.86351878844865E-006   1.83100000867853E-005    0.000211270788886999      0.0635356516768442        14209.0101079838    -0.00316686000243682        81.1890790748931        20.7324318715998        10359.2172201031        9388.65673402252                       1                       1                       1 
                    7.9                    0.15   4.00133377792598E-005        1.13764904695805        14205.2076056166      0.0106597748570991       -4496.39088090582        96828.6101725619       -4400.13158224789        296.455346985511        296.539587708231        27.3825145585746                       0       0.001189353704731  -4.77498629488379E-009       0.585154224722405        8.40926517047553  -3.08797168798192E-005                       0        3.67999663238902   -1.4455868239801E-005   7.03950619048154E-006   1.83100000867853E-005    0.000212359440972284      0.0635356516768442        14209.0101079838    -0.00316686000243682         81.012896591726        20.6874419949846        10394.2288889969        9405.62839043548                       1                       1                       1 
                    7.9                    0.15   4.10136712237412E-005        1.13764906746889        14205.2076310157      0.0109262692285283       -4496.39087992893        96828.6101725619       -4397.72509880452        296.455341643154        296.541688383943        27.3892450656124                       0     0.00118676709944736  -4.76449547498785E-009       0.583881729435001        8.39097680479048  -3.08093485957369E-005                       0        3.77199654819936  -1.48172648383896E-005   7.21549359251443E-006   1.83100000867853E-005     0.00021344809305757      0.0635356516768442        14209.0101079838    -0.00316686000243682         80.836714108559        20.6424521183694        10429.2405578908        9422.60004684844                       1                       1                       1 
                    7.9                    0.15   4.20140046682227E-005        1.13764908797972        14205.2076564148      0.0111927635999575       -4496.39087895205        96828.6101725619       -4395.31861536115        296.455336300798        296.543789059654        27.3959755726501                       0     0.00118418049416372   -4.7540046550919E-009       0.582609234147598        8.37268843910543  -3.07389803116545E-005                       0         3.8639964640097  -1.51786614369782E-005   7.39148099454733E-006   1.83100000867853E-005    0.000214536745142855      0.0635356516768442        14209.0101079838    -0.00316686000243682         80.660531625392        20.5974622417542        10464.2522267847        9439.57170326141                       1                       1                       1 
                    7.9                    0.15   4.30143381127042E-005        1.13764910849056        14205.2076818139      0.0114592579713867       -4496.39087797516        96828.6101725619       -4392.91213191778        296.455330958441        296.545889735366        27.4027060796879                       0     0.00118159388888009  -4.74351383519596E-009       0.581336738860194        8.35440007342038  -3.06686120275722E-005                       0        3.95599637982004  -1.55400580355668E-005   7.56746839658022E-006   1.83100000867853E-005    0.000215625397228141      0.0635356516768442        14209.0101079838    -0.00316686000243682        80.4843491422249         20.552472365139        10499.2638956786        9456.54335967437                       1                       1                       1 
                    7.9                    0.15   4.40146715571857E-005        1.13764912900139         14205.207707213      0.0117257523428159       -4496.39087699827        96828.6101725619       -4390.50564847441        296.455325616084        296.547990411077        27.4094365867256                       0     0.00117900728359645  -4.73302301530001E-009       0.580064243572791        8.33611170773532  -3.05982437434899E-005                       0        4.04799629563037  -1.59014546341553E-005   7.74345579861312E-006   1.83100000867853E-005    0.000216714049313426      0.0635356516768442        14209.0101079838    -0.00316686000243682        80.3081666590579        20.5074824885238        10534.2755645725        9473.51501608733                       1                       1                       1 
                    7.9                    0.15   4.50150050016672E-005        1.13764914951222        14205.2077326121      0.0119922467142451       -4496.39087602138        96828.6101725619       -4388.09916503104        296.455320273728        296.550091086789        27.4161670937634                       0     0.00117642067831282  -4.72253219540407E-009       0.578791748285387        8.31782334205027  -3.05278754594075E-005                       0        4.13999621144071  -1.62628512327439E-005   7.91944320064601E-006   1.83100000867853E-005    0.000217802701398712      0.0635356516768442        14209.0101079838    -0.00316686000243682        80.1319841758908        20.4624926119086        10569.2872334664        9490.48667250029                       1                       1                       1 
                    7.9                    0.15   4.60153384461487E-005        1.13764917002306        14205.2077580112      0.0122587410856743       -4496.39087504449        96828.6101725619       -4385.69268158767        296.455314931371          296.5521917625        27.4228976008011                       0     0.00117383407302918  -4.71204137550812E-009       0.577519252997984        8.29953497636522  -3.04575071753252E-005                       0        4.23199612725105  -1.66242478313325E-005    8.0954306026789E-006   1.83100000867853E-005    0.000218891353483997      0.0635356516768442        14209.0101079838    -0.00316686000243682        79.9558016927238        20.4175027352934        10604.2989023603        9507.45832891326                       1                       1                       1 
                    7.9                    0.15   4.70156718906302E-005        1.13764919053389        14205.2077834103      0.0125252354571035        -4496.3908740676        96828.6101725619       -4383.28619814431        296.455309589014        296.554292438211        27.4296281078389                       0     0.00117124746774555  -4.70155055561218E-009        0.57624675771058        8.28124661068017  -3.03871388912429E-005                       0        4.32399604306138  -1.69856444299211E-005    8.2714180047118E-006   1.83100000867853E-005    0.000219980005569283      0.0635356516768442        14209.0101079838    -0.00316686000243682        79.7796192095567        20.3725128586782        10639.3105712542        9524.42998532622                       1                       1                       1 
                    7.9                    0.15   4.80160053351117E-005        1.13764921104472        14205.2078088094      0.0127917298285328       -4496.39087309072        96828.6101725619       -4380.87971470094        296.455304246657        296.556393113923        27.4363586148766                       0     0.00116866086246191  -4.69105973571623E-009       0.574974262423177        8.26295824499511  -3.03167706071605E-005                       0        4.41599595887172  -1.73470410285097E-005   8.44740540674469E-006   1.83100000867853E-005    0.000221068657654568      0.0635356516768442        14209.0101079838    -0.00316686000243682        79.6034367263897         20.327522982063         10674.322240148        9541.40164173918                       1                       1                       1 
