VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Turbulent Kinetic Energy"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0         1.1376482265247        14205.2065896606   1.00000000362749E-015       -4496.39091998126        96828.6101725619       -4496.39091998126        296.455560679779        296.455560679779         27.113294277244                       0     0.00129281791607771  -5.19461918482728E-009       0.636054036218544        9.14079979787843  -3.36944497831458E-005                       0                       0                       0                       0   1.83100000867853E-005    0.000168813357566517      0.0635356516768442        14209.0101079838    -0.00316686000243682        88.0601959184117        22.4870370595882        8993.76213324146        8726.76213391697                       1                       1                       1 
                    7.9                    0.15   1.00033344448149E-006        1.13764824703554        14205.2066150521    0.000266494371359751       -4496.39091900446        96828.6101725619       -4493.98443653925        296.455555337423        296.457661355486        27.1200247841023                       0     0.00129023131079278  -5.18412827082563E-009        0.63478154093114        9.12251143219257  -3.36240799590302E-005                       0       0.091999915785857  -3.61400894846205E-007   1.75997511198675E-007   1.83100000867853E-005    0.000169902009646151      0.0635356516768442        14209.0101079838    -0.00316686000243682        87.8840134352408        22.4420471829775        9028.77380213534        8743.73379032994                       1                       1                       1 
                    7.9                    0.15   2.00066688896299E-006        1.13764826754637        14205.2066404512    0.000532988742788964       -4496.39091802757        96828.6101725619       -4491.57795309589        296.455549995066        296.459762031197        27.1267552911401                       0     0.00128764470550915  -5.17363745092968E-009       0.633509045643737        9.10422306650752  -3.35537116749479E-005                       0       0.183999831596194  -7.22797493434789E-007   3.51984913231569E-007   1.83100000867853E-005    0.000170990661731436      0.0635356516768442        14209.0101079838    -0.00316686000243682        87.7078309520738        22.3970573063623        9063.78547102923         8760.7054467429                       1                       1                       1 
                    7.9                    0.15   3.00100033344448E-006         1.1376482880572        14205.2066658503    0.000799483114218177       -4496.39091705068        96828.6101725619       -4489.17146965252        296.455544652709        296.461862706908        27.1334857981778                       0     0.00128505810022551  -5.16314663103374E-009       0.632236550356333        9.08593470082247  -3.34833433908655E-005                       0       0.275999747406532  -1.08419409202337E-006   5.27972315264463E-007   1.83100000867853E-005    0.000172079313816722      0.0635356516768442        14209.0101079838    -0.00316686000243682        87.5316484689067        22.3520674297471        9098.79713992312        8777.67710315586                       1                       1                       1 
                    7.9                    0.15   4.00133377792597E-006        1.13764830856804        14205.2066912494     0.00106597748564739       -4496.39091607379        96828.6101725619       -4486.76498620915        296.455539310352         296.46396338262        27.1402163052156                       0     0.00128247149494187  -5.15265581113779E-009        0.63096405506893        9.06764633513742  -3.34129751067832E-005                       0        0.36799966321687  -1.44559069061196E-006   7.03959717297356E-007   1.83100000867853E-005    0.000173167965902007      0.0635356516768442        14209.0101079838    -0.00316686000243682        87.3554659857397        22.3070775531319          9133.808808817        8794.64875956883                       1                       1                       1 
                    7.9                    0.15   5.00166722240747E-006        1.13764832907887        14205.2067166485      0.0013324718570766        -4496.3909150969        96828.6101725619       -4484.35850276578        296.455533967996        296.466064058331        27.1469468122533                       0     0.00127988488965824  -5.14216499124185E-009       0.629691559781526        9.04935796945236  -3.33426068227009E-005                       0       0.459999579027207  -1.80698728920054E-006   8.79947119330251E-007   1.83100000867853E-005    0.000174256617987293      0.0635356516768442        14209.0101079838    -0.00316686000243682        87.1792835025726        22.2620876765167        9168.82047771089        8811.62041598179                       1                       1                       1 
                    7.9                    0.15   6.00200066688896E-006        1.13764834958971        14205.2067420476     0.00159896622850582       -4496.39091412002        96828.6101725619       -4481.95201932241        296.455528625639        296.468164734043        27.1536773192911                       0      0.0012772982843746   -5.1316741713459E-009       0.628419064494123        9.03106960376731  -3.32722385386185E-005                       0       0.551999494837545  -2.16838388778913E-006   1.05593452136314E-006   1.83100000867853E-005    0.000175345270072578      0.0635356516768442        14209.0101079838    -0.00316686000243682        87.0031010194056        22.2170977999015        9203.83214660478        8828.59207239475                       1                       1                       1 
                    7.9                    0.15   7.00233411137046E-006        1.13764837010054        14205.2067674467     0.00186546059993503       -4496.39091314313        96828.6101725619       -4479.54553587904        296.455523283282        296.470265409754        27.1604078263288                       0     0.00127471167909097  -5.12118335144996E-009        0.62714656920672        9.01278123808226  -3.32018702545362E-005                       0       0.643999410647883  -2.52978048637771E-006   1.23192192339604E-006   1.83100000867853E-005    0.000176433922157864      0.0635356516768442        14209.0101079838    -0.00316686000243682        86.8269185362385        22.1721079232863        9238.84381549867        8845.56372880771                       1                       1                       1 
                    7.9                    0.15   8.00266755585195E-006        1.13764839061137        14205.2067928457     0.00213195497136424       -4496.39091216624        96828.6101725619       -4477.13905243567        296.455517940926        296.472366085466        27.1671383333666                       0     0.00127212507380733  -5.11069253155402E-009       0.625874073919316        8.99449287239721  -3.31315019704539E-005                       0        0.73599932645822   -2.8911770849663E-006   1.40790932542893E-006   1.83100000867853E-005    0.000177522574243149      0.0635356516768442        14209.0101079838    -0.00316686000243682        86.6507360530715        22.1271180466711        9273.85548439255        8862.53538522068                       1                       1                       1 
                    7.9                    0.15   9.00300100033344E-006        1.13764841112221        14205.2068182448     0.00239844934279346       -4496.39091118935        96828.6101725619       -4474.73256899231        296.455512598569        296.474466761177        27.1738688404043                       0      0.0012695384685237  -5.10020171165807E-009       0.624601578631913        8.97620450671216  -3.30611336863715E-005                       0       0.827999242268558  -3.25257368355488E-006   1.58389672746183E-006   1.83100000867853E-005    0.000178611226328435      0.0635356516768442        14209.0101079838    -0.00316686000243682        86.4745535699045        22.0821281700559        9308.86715328644        8879.50704163364                       1                       1                       1 
