VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Turbulent Kinetic Energy"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15     0.00630420280186791        1.13766518252363        1174.18630088994       0.184956613736996       -4496.38678176951        96828.6111004095       -2177.15223588967        296.451135640129        298.480803735673        25.6752348912532                       0                       0                       0                       0                       0                       0                       0        63.8510448738296   -0.000254994725189572     0.00203120172023001   1.83100000867853E-005     0.00753022717280243      0.0023491570421669        1174.41178015282     -0.0156423794051081                       0                       0        171387.698927977         157682.36394303                       1                       1                       1 
                    7.9                    0.15     0.00653769179452969        1.13766542060226        1134.60743858534       0.185723096734556       -4496.38678176951        96828.6111004095       -2157.86099475144        296.451074691999        298.497617801018        25.6196354358792                       0                       0                       0                       0                       0                       0                       0         64.115645466046   -0.000255322243152161      0.0021151873581551   1.83100000867853E-005      0.0077881803724494      0.0021365979280404        1134.82408036939     -0.0154958931564796                       0                       0        175756.460881565        161917.816246149                       1                       1                       1 
                    7.9                    0.15     0.00677118078719146        1.13766565868089        1095.02851295156       0.186489583781485       -4496.38677372771        96828.6111647439       -2138.56958272492        296.451013743869        298.514432117669        25.5640332632557                       0                       0                       0                       0                       0                       0                       0        64.3802474718604   -0.000255666540496936     0.00219941589496509   1.83100000867853E-005     0.00804613115627947     0.00193122707229146        1095.23634339262     -0.0153538710307025                       0                       0        180125.222835154        166153.268549268                       1                       1                       1 
                    7.9                    0.15     0.00700466977985323        1.13766589652416        1056.57536289445       0.187245185695849        -4496.3866527658        96828.6120282585       -2119.52019028204        296.450952855994        298.531036830036        25.5086198146525                       0                       0                       0                       0                       0                       0                       0        64.6410917012521   -0.000256192521633226     0.00228691968023655   1.83100000867853E-005     0.00830309901108915     0.00183472784091533        1056.77489405152     -0.0152868230410922                       0                       0        184460.494908471        170356.252891891                       1                       1                       1 
                    7.9                    0.15     0.00723815877251501        1.13766613123159        1026.83550953929        0.18791615618632       -4496.38653903049        96828.6120282585       -2102.36143949495        296.450892770892        298.545993023529        25.4549673614221                       0                       0                       0                       0                       0                       0                       0        64.8727177785985   -0.000256289259707792     0.00237321777406691   1.83100000867853E-005     0.00855273387437366     0.00180810124038613        1027.02782164319     -0.0153088259179625                       0                       0        188536.768480832        174308.141887816                       1                       1                       1 
                    7.9                    0.15     0.00747164776517679        1.13766635337087        997.095900710041       0.188587065407063       -4496.38642529518        96828.6120282585       -2085.20497952956        296.450835903237        298.560949217021        25.4013527131845                       0                       0                       0                       0                       0                       0                       0         65.104323746906   -0.000256413453788078     0.00246009039432897   1.83100000867853E-005     0.00880240801312457     0.00192438491702262         997.28082001868     -0.0153118462746085                       0                       0        192613.042053193         178260.03088374                       1                       1                       1 
                    7.9                    0.15     0.00770513675783856        1.13766657551015         967.35629188079       0.189257974627806       -4496.38631155986        96828.6120282585       -2068.04851956417        296.450779035581        298.575905410513         25.347738064947                       0                       0                       0                       0                       0                       0                       0        65.3359297152135   -0.000256537647868364     0.00254696301459104   1.83100000867853E-005     0.00905208215187547      0.0020406685936591        967.533818394166     -0.0153148666312544                       0                       0        196689.315625555        182211.919879665                       1                       1                       1 
                    7.9                    0.15     0.00793862575050033        1.13766680932712        937.616455850415       0.189928940777285       -4496.38619782455        96828.6120282585       -2050.88993108298        296.450719178436        298.590861604006        25.2940882902198                       0                       0                       0                       0                       0                       0                       0        65.5675543678241   -0.000256636331215145     0.00263330181391642   1.83100000867853E-005      0.0093017197978471     0.00202416726022935        937.786751000907     -0.0153355245867425                       0                       0        200765.589197916        186163.808875589                       1                       1                       1 
                    7.9                    0.15     0.00817211474316211        1.13766708558949        913.605043015157       0.190536022554156        -4496.3860031666         96828.612725621       -2035.17944977359        296.450651179341        298.604546756222        25.2414064091637                       0                       0                       0                       0                       0                       0                       0        65.7771241022779   -0.000256936889426502     0.00272602621422092   1.83100000867853E-005     0.00954404306565079     0.00210015127322713        913.771447609881     -0.0153946077310413                       0                       0        204617.946071453        189898.613830814                       1                       1                       1 
                    7.9                    0.15     0.00840560373582388        1.13766738947998        890.840722674625       0.191129167771714       -4496.38579090892        96828.6141931972       -2019.78556807049        296.450579116097        298.617953055555         25.188967887409                       0                       0                       0                       0                       0                       0                       0        65.9818818838137   -0.000257535746581475      0.0028209683473097   1.83100000867853E-005     0.00978481464617058     0.00219042881019451        891.004207954406     -0.0153741826787389                       0                       0        208421.603668138        193586.205532834                       1                       1                       1 
                    7.9                    0.15     0.00863909272848565        1.13766770040431        868.076856101762       0.191722298042344       -4496.38557865125        96828.6158912587       -2004.39226978297         296.45050615252        298.631358454556        25.1365410699791                       0                       0                       0                       0                       0                       0                       0        66.1866342633535   -0.000258229006886027     0.00291621119118331   1.83100000867853E-005      0.0100256002394365     0.00227650464926979          868.2375157012     -0.0153212868789144                       0                       0        212225.261264823        197273.797234855                       1                       1                       1 
                    7.9                    0.15     0.00887258172114743        1.13766800320937        845.312465738476       0.192315445566424       -4496.38536639357        96828.6173232678       -1988.99829805061        296.450434228209        298.644764892823        25.0841007420819                       0                       0                       0                       0                       0                       0                       0        66.3913928784935   -0.000258813296303053     0.00301110692035516   1.83100000867853E-005      0.0102663696575919     0.00236743056750516        845.470191573832      -0.015305872521096                       0                       0        216028.918861508        200961.388936875                       1                       1                       1 
                    7.9                    0.15      0.0091060707138092        1.13766827602568         823.66471394826       0.192894432809747       -4496.38516818371        96828.6179850619       -1973.92918577626        296.450366289851        298.657888683419        25.0317778498407                       0                       0                       0                       0                       0                       0                       0        66.5912639688496   -0.000259151140706464     0.00310602884938393   1.83100000867853E-005      0.0105050150120257     0.00247247999017024        823.819178027587     -0.0153620466679936                       0                       0        219776.533938165        204594.648216336                       1                       1                       1 
                    7.9                    0.15     0.00933955970647098        1.13766850513064        805.967854789059       0.193423233160497        -4496.3850220754        96828.6179850618       -1960.01363866696        296.450304390974        298.670005235449         24.979976861154                       0                       0                       0                       0                       0                       0                       0        66.7738104983678   -0.000259462441663218       0.003203901284624   1.83100000867853E-005      0.0107362809080158     0.00258106198339167        806.118709515175     -0.0153838219073529                       0                       0        223326.063117271         208035.86604792                       1                       1                       1 
                    7.9                    0.15     0.00957304869913276        1.13766872274388        788.271089770084       0.193951978925546       -4496.38492303719        96828.6179850619       -1946.10025678285        296.450242492098        298.682118845597        24.9282177942865                       0                       0                       0                       0                       0                       0                       0        66.9563379056528   -0.000259784445973842     0.00330503061437501   1.83100000867853E-005      0.0109676026466153      0.0025199823677519        788.417846790569     -0.0154605902662706                       0                       0        226875.592296378        211477.083879504                       1                       1                       1 
                    7.9                    0.15     0.00980653769179453        1.13766894035712        770.574324751108       0.194480724690594       -4496.38482399899        96828.6179850619       -1932.18687489873        296.450180593221        298.694232455746        24.8764587274189                       0                       0                       0                       0                       0                       0                       0        67.1388653129377   -0.000260106450284466     0.00340615994412601   1.83100000867853E-005      0.0111989243852149     0.00245890275211212        770.716984065963     -0.0155373586251884                       0                       0        230425.121475484        214918.301711088                       1                       1                       1 
                    7.9                    0.15      0.0100400266844563        1.13766916354814        752.877514038885       0.195009496950141       -4496.38470211416        96828.6179850619       -1918.27244206991        296.450118694344        298.706347493808        24.8246793127769                       0                       0                       0                       0                       0                       0                       0        67.3214020016636   -0.000260423259461987     0.00350570846091968   1.83100000867853E-005      0.0114302190192459     0.00248017252443973        753.016312681833     -0.0155874347361164                       0                       0         233974.65065459        218359.519542672                       1                       1                       1 
                    7.9                    0.15      0.0102735156771181        1.13766939207688        736.272614392394       0.195522615972391       -4496.38455643453        96828.6179850619       -1904.72171388177        296.450057994497         298.71814312333        24.7729659581348                       0                       0                       0                       0                       0                       0                       0        67.4985349867996   -0.000260812743120977     0.00360375035441545   1.83100000867853E-005      0.0116585724616869     0.00256701041134306        736.407979011482       -0.01559620689371                       0                       0        237455.422716021        221734.078330914                       1                       1                       1 
                    7.9                    0.15      0.0105070046697799        1.13766961773518        722.337309021437       0.195997389104606       -4496.38441943044        96828.6179850619       -1892.06323012072        296.450000225973        298.729153804019        24.7214737936702                       0                       0                       0                       0                       0                       0                       0        67.6624300965242   -0.000261390412053205     0.00370263611644517   1.83100000867853E-005      0.0118798151578302     0.00257764800156703         722.46960182594     -0.0155842133043942                       0                       0         240768.10096045        224945.672564912                       1                       1                       1 
                    7.9                    0.15      0.0107404936624416        1.13766984339348        708.402454966832       0.196472106464339        -4496.3843270008        96828.6179850619       -1879.40688593348        296.449942457449        298.740164484707        24.6700255071843                       0                       0                       0                       0                       0                       0                       0        67.8263064014007   -0.000261850807868073     0.00380193757899673   1.83100000867853E-005      0.0121011221283562     0.00254850965357691        708.531558948806     -0.0156816786488481                       0                       0        244080.779204879        228157.266798911                       1                       1                       1 
                    7.9                    0.15      0.0109739826551034        1.13767006905177        694.467600912228       0.196946823824073       -4496.38423457116        96828.6179850619       -1866.75054174625        296.449884688925        298.751175165395        24.6185772206984                       0                       0                       0                       0                       0                       0                       0        67.9901827062772   -0.000262311203682942      0.0039012390415483   1.83100000867853E-005      0.0123224290988823     0.00251937130558679        694.593516071673     -0.0157791439933021                       0                       0        247393.457449308         231368.86103291                       1                       1                       1 
                    7.9                    0.15      0.0112074716477652        1.13767029471007        680.532624090438       0.197421556355051       -4496.38413001637        96828.6179850619       -1854.09361555162        296.449826920401        298.762185846084        24.5671169985139                       0                       0                       0                       0                       0                       0                       0        68.1540641264531   -0.000262803500159922     0.00400042742514208   1.83100000867853E-005       0.012543718585475     0.00250105281805322        680.655382255884     -0.0158468342917789                       0                       0        250706.135693737        234580.455266909                       1                       1                       1 
                    7.9                    0.15      0.0114409606404269        1.13767052041391        666.618787410424       0.197895984756268       -4496.38399111567        96828.6179850619        -1841.4432135849        296.449769140218        298.773189448001         24.515623621678                       0                       0                       0                       0                       0                       0                       0        68.3178402043013   -0.000263384527115313     0.00409930382940713   1.83100000867853E-005       0.012764879062414     0.00251084154310508        666.738489237432     -0.0158312350226951                       0                       0        254017.144250965        237790.430763019                       1                       1                       1 
                    7.9                    0.15      0.0116744496330887        1.13767075209405        655.524533531044       0.198324903683496       -4496.38381857715        96828.6179850619        -1829.8637436408        296.449709830102        298.783264080097        24.4641830475927                       0                       0                       0                       0                       0                       0                       0        68.4659045407507   -0.000263840022638645     0.00419895911789071   1.83100000867853E-005      0.0129755600664171     0.00221711743575583        655.642644768559     -0.0158710984873621                       0                       0        257109.034552841        240787.974240827                       1                       1                       1 
                    7.9                    0.15      0.0119079386257505        1.13767098377419         644.43045485719       0.198753785946621       -4496.38364603863        96828.6179850619       -1818.28566103841        296.449650519985        298.793336924381        24.4127736484702                       0                       0                       0                       0                       0                       0                       0        68.6139559155667   -0.000264206816062416     0.00429793742990445   1.83100000867853E-005       0.013186290719726       0.001918941937365        644.547386701854      -0.015949658293686                       0                       0        260200.924854717        243785.517718634                       1                       1                       1 
                    7.9                    0.15      0.0121414276184123        1.13767121545434         633.33646517742       0.199182649586542       -4496.38347350011        96828.6179850619       -1806.70828312387        296.449591209868        298.803408860563        24.3613800843922                       0                       0                       0                       0                       0                       0                       0        68.7620007066368   -0.000264528554045594     0.00439657187775635   1.83100000867853E-005      0.0133970465919572     0.00161850539458377        633.452426492902     -0.0160478735617331                       0                       0        263292.815156593        246783.061196442                       1                       1                       1 
                    7.9                    0.15       0.012374916611074        1.13767144713448        622.242475497651       0.199611513226462       -4496.38330096159        96828.6179850619       -1795.13090520934        296.449531899751        298.813480796744        24.3099865203141                       0                       0                       0                       0                       0                       0                       0        68.9100454977068   -0.000264850292028772     0.00449520632560825   1.83100000867853E-005      0.0136078024641884     0.00131806885180253         622.35746628395     -0.0161460888297801                       0                       0        266384.705458469        249780.604674249                       1                       1                       1 
                    7.9                    0.15      0.0126084056037358        1.13767167881462        611.148302991493       0.200040415125253       -4496.38312842307        96828.6179850619        -1783.5520796083        296.449472589635        298.823554598501        24.2585604252652                       0                       0                       0                       0                       0                       0                       0        69.0581038141984   -0.000265264590360316     0.00459454719617386   1.83100000867853E-005      0.0138185065275326     0.00102227732089318        611.261894166269     -0.0162039245929228                       0                       0        269476.595760345        252778.148152056                       1                       1                       1 
