VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Aspect Ratio"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15   2.40080026675559E-005        1.13732310838634        59982.7624328357      0.0498984153518082       -4495.93556202429        96829.0636872858       -4144.39910302089        296.541692670709        296.849427070168        267.114624023438                       0    0.000572969717178235  -8.17630573352845E-009       0.275421743633004        4.86372531823667   -6.7416587875535E-005  -4.50292120463881E-013        17.2285710184656   -0.000237756545407514  -1.74085283042819E-006   1.83100000867853E-005    0.000109881699408844       0.818931592754701        60040.1258632803      0.0019045777807525        4.63068085132664         5.7516393780793        20875.8727071194        15364.9816573925                       1                       1                       1 
                    7.9                    0.15   2.50083361120374E-005        1.13732350146893        59982.7673872935      0.0519774766333686       -4495.93556202429        96829.0636872858       -4129.75233061265        296.541590209902        296.862146490334        267.114624023438                       0    0.000550919047468988  -7.86224309016633E-009       0.264821438617104        4.67654526684418  -6.48268682084471E-005   -4.4682245450762E-013        17.9464146457255    -0.00024764644964846  -1.63669259597294E-006   1.83100000867853E-005    0.000110998607193898       0.818931592754701        60040.1258632803      0.0019045777807525        4.45246667333094        5.53028060248383         21296.012733846         15568.709557019                       1                       1                       1 
                    7.9                    0.15   2.60086695565188E-005        1.13732389453164        59982.7723254722      0.0540565389532413       -4495.93556202429        96829.0636872858       -4115.10554290201        296.541487754183        296.874865925761        267.114624023438                       0    0.000528868356044138  -7.54816296530049E-009       0.254221144083688        4.48936503612669  -6.22370089667024E-005  -4.42957078389245E-013        18.6642586290918   -0.000257536792286471  -1.53719381010734E-006   1.83100000867853E-005    0.000112115515333116       0.818931592754701        60040.1258632803      0.0019045777807525        4.27425240519582        5.30892182688836        21716.1527605727        15772.4374566456                       1                       1                       1 
                    7.9                    0.15   2.70090030010003E-005        1.13732428686096        59982.7766628553      0.0561356395928989       -4495.93556202429        96829.0636872858       -4100.45819044355        296.541385486211        296.887585924434        267.114624023438                       0    0.000506816863186886  -7.23343767096964E-009       0.243621236415086        4.30217818727065  -5.96419986059207E-005  -4.24487688931582E-013        19.3821157548609   -0.000267443314333512  -1.60972966954895E-006   1.83100000867853E-005    0.000113232436543059       0.818931592754701        60040.1258632803      0.0019045777807525        4.09603481038999        5.08756305129289        22136.2927872993        15976.1653562721                       1                       1                       1 
                    7.9                    0.15   2.80093364454818E-005        1.13732467919028        59982.7810002383      0.0582147402325566       -4495.93556202429        96829.0636872858       -4085.81083798508         296.54128321824        296.900305923107        267.114624023438                       0    0.000484765370329633  -6.91871237663879E-009       0.233021328746484        4.11499133841462   -5.7046988245139E-005  -4.06018299473919E-013          20.09997288063   -0.000277349836380554  -1.68226552899056E-006   1.83100000867853E-005    0.000114349357753002       0.818931592754701        60040.1258632803      0.0019045777807525        3.91781721558416        4.86620427569742         22556.432814026        16179.8932558986                       1                       1                       1 
                    7.9                    0.15   2.90096698899633E-005         1.1373250715196        59982.7853376214      0.0602938408722142       -4495.93556202429        96829.0636872858       -4071.16348552662        296.541180950269         296.91302592178        267.114624023438                       0     0.00046271387747238  -6.60398708230795E-009       0.222421421077882        3.92780448955858  -5.44519778843574E-005  -3.87548910016256E-013        20.8178300063991   -0.000287256358427595  -1.75480138843217E-006   1.83100000867853E-005    0.000115466278962944       0.818931592754701        60040.1258632803      0.0019045777807525        3.73959962077833        4.64484550010195        22976.5728407526        16383.6211555252                       1                       1                       1 
                    7.9                    0.15   3.00100033344448E-005        1.13732546384892        59982.7896750045      0.0623729415118719       -4495.93556202429        96829.0636872858       -4056.51613306815        296.541078682298        296.925745920453        267.114624023438                       0    0.000440662384615127  -6.28926178797711E-009        0.21182151340928        3.74061764070254  -5.18569675235757E-005  -3.69079520558593E-013        21.5356871321682   -0.000297162880474637  -1.82733724787379E-006   1.83100000867853E-005    0.000116583200172887       0.818931592754701        60040.1258632803      0.0019045777807525         3.5613820259725        4.42348672450648        23396.7128674793        16587.3490551517                       1                       1                       1 
                    7.9                    0.15   3.10103367789263E-005        1.13732585617824        59982.7940123876      0.0644520421515295       -4495.93556202429        96829.0636872858       -4041.86878060969        296.540976414327        296.938465919126        267.114624023438                       0    0.000418610891757875  -5.97453649364626E-009       0.201221605740678        3.55343079184651   -4.9261957162794E-005  -3.50610131100929E-013        22.2535442579372   -0.000307069402521678   -1.8998731073154E-006   1.83100000867853E-005     0.00011770012138283       0.818931592754701        60040.1258632803      0.0019045777807525        3.38316443116667        4.20212794891101        23816.8528942059        16791.0769547783                       1                       1                       1 
                    7.9                    0.15   3.20106702234078E-005        1.13732624850756        59982.7983497707      0.0665311427911871       -4495.93556202429        96829.0636872858       -4027.22142815122        296.540874146356        296.951185917799        267.114624023438                       0    0.000396559398900622  -5.65981119931541E-009       0.190621698072076        3.36624394299047  -4.66669468020124E-005  -3.32140741643266E-013        22.9714013837063    -0.00031697592456872  -1.97240896675701E-006   1.83100000867853E-005    0.000118817042592773       0.818931592754701        60040.1258632803      0.0019045777807525        3.20494683636084        3.98076917331554        24236.9929209326        16994.8048544048                       1                       1                       1 
                    7.9                    0.15   3.30110036678893E-005        1.13732664083689        59982.8026871538      0.0686102434308447       -4495.93556202429        96829.0636872858       -4012.57407569276        296.540771878384        296.963905916471        267.114624023438                       0    0.000374507906043369  -5.34508590498457E-009       0.180021790403474        3.17905709413444  -4.40719364412307E-005  -3.13671352185603E-013        23.6892585094754   -0.000326882446615761  -2.04494482619863E-006   1.83100000867853E-005    0.000119933963802716       0.818931592754701        60040.1258632803      0.0019045777807525        3.02672924155501        3.75941039772006        24657.1329476592        17198.5327540314                       1                       1                       1 
                    7.9                    0.15   3.40113371123708E-005        1.13732703316621        59982.8070245369      0.0706893440705024       -4495.93556202429        96829.0636872858       -3997.92672323429        296.540669610413        296.976625915144        267.114624023438                       0    0.000352456413186116  -5.03036061065372E-009       0.169421882734871         2.9918702452784   -4.1476926080449E-005   -2.9520196272794E-013        24.4071156352445   -0.000336788968662803  -2.11748068564024E-006   1.83100000867853E-005    0.000121050885012659       0.818931592754701        60040.1258632803      0.0019045777807525        2.84851164674918        3.53805162212459        25077.2729743859        17402.2606536579                       1                       1                       1 
                    7.9                    0.15   3.50116705568523E-005        1.13732742549553          59982.81136192        0.07276844471016       -4495.93556202429        96829.0636872858       -3983.27937077583        296.540567342442        296.989345913817        267.114624023438                       0    0.000330404920328864  -4.71563531632288E-009       0.158821975066269        2.80468339642236  -3.88819157196673E-005  -2.76732573270277E-013        25.1249727610135   -0.000346695490709844  -2.19001654508185E-006   1.83100000867853E-005    0.000122167806222602       0.818931592754701        60040.1258632803      0.0019045777807525        2.67029405194335        3.31669284652912        25497.4130011125        17605.9885532845                       1                       1                       1 
                    7.9                    0.15   3.60120040013338E-005        1.13732781782485        59982.8156993031      0.0748475453498177       -4495.93556202429        96829.0636872858       -3968.63201831736        296.540465074471         297.00206591249        267.114624023438                       0    0.000308353427471611  -4.40091002199203E-009       0.148222067397667        2.61749654756633  -3.62869053588857E-005  -2.58263183812613E-013        25.8428298867826   -0.000356602012756886  -2.26255240452347E-006   1.83100000867853E-005    0.000123284727432545       0.818931592754701        60040.1258632803      0.0019045777807525        2.49207645713752        3.09533407093365        25917.5530278391         17809.716452911                       1                       1                       1 
                    7.9                    0.15   3.70123374458153E-005        1.13732821015417        59982.8200366861      0.0769266459894753       -4495.93556202429        96829.0636872858        -3953.9846658589          296.5403628065        297.014785911163        267.114624023437                       0    0.000286301934614358  -4.08618472766118E-009       0.137622159729065        2.43030969871029   -3.3691894998104E-005   -2.3979379435495E-013        26.5606870125517   -0.000366508534803927  -2.33508826396508E-006   1.83100000867853E-005    0.000124401648642488       0.818931592754701        60040.1258632803      0.0019045777807525        2.31385886233169        2.87397529533818        26337.6930545658        18013.4443525375                       1                       1                       1 
                    7.9                    0.15   3.80126708902968E-005        1.13732860248349        59982.8243740692      0.0790057466291329       -4495.93556202429        96829.0636872858       -3939.33731340043        296.540260538528        297.027505909836        267.114624023438                       0    0.000264250441757105  -3.77145943333034E-009       0.127022252060463        2.24312284985425  -3.10968846373223E-005  -2.21324404897287E-013        27.2785441383208   -0.000376415056850969  -2.40762412340669E-006   1.83100000867853E-005    0.000125518569852431       0.818931592754701        60040.1258632803      0.0019045777807525        2.13564126752586        2.65261651974271        26757.8330812924        18217.1722521641                       1                       1                       1 
                    7.9                    0.15   3.90130043347783E-005        1.13732899481281        59982.8287114523      0.0810848472687906       -4495.93556202429        96829.0636872858       -3924.68996094197        296.540158270557        297.040225908509        267.114624023438                       0    0.000242198948899853  -3.45673413899949E-009       0.116422344391861        2.05593600099822  -2.85018742765406E-005  -2.02855015439624E-013        27.9964012640899    -0.00038632157889801   -2.4801599828483E-006   1.83100000867853E-005    0.000126635491062374       0.818931592754701        60040.1258632803      0.0019045777807525        1.95742367272003        2.43125774414724        27177.9731080191        18420.9001517906                       1                       1                       1 
                    7.9                    0.15   4.00133377792597E-005        1.13732938714213        59982.8330488354      0.0831639479084482       -4495.93556202429        96829.0636872858       -3910.04260848351        296.540056002586        297.052945907182        267.114624023437                       0      0.0002201474560426  -3.14200884466865E-009       0.105822436723259        1.86874915214218  -2.59068639157589E-005  -1.84385625981961E-013        28.7142583898589   -0.000396228100945052  -2.55269584228992E-006   1.83100000867853E-005    0.000127752412272317       0.818931592754701        60040.1258632803      0.0019045777807525         1.7792060779142        2.20989896855177        27598.1131347457        18624.6280514172                       1                       1                       1 
                    7.9                    0.15   4.10136712237413E-005        1.13732977947145        59982.8373862185      0.0852430485481059       -4495.93556202429        96829.0636872858       -3895.39525602504        296.539953734615        297.065665905855        267.114624023438                       0    0.000198095963185347   -2.8272835503378E-009      0.0952225290546572        1.68156230328615  -2.33118535549773E-005  -1.65916236524298E-013         29.432115515628   -0.000406134622992093  -2.62523170173153E-006   1.83100000867853E-005     0.00012886933348226       0.818931592754701        60040.1258632803      0.0019045777807525        1.60098848310837         1.9885401929563        28018.2531614724        18828.3559510437                       1                       1                       1 
                    7.9                    0.15   4.20140046682227E-005        1.13733017180077        59982.8417236016      0.0873221491877635       -4495.93556202429        96829.0636872858       -3880.74790356658        296.539851466644        297.078385904528        267.114624023438                       0    0.000176044470328094  -2.51255825600696E-009      0.0846226213860552        1.49437545443011  -2.07168431941956E-005  -1.47446847066634E-013        30.1499726413971   -0.000416041145039135  -2.69776756117314E-006   1.83100000867853E-005    0.000129986254692203       0.818931592754701        60040.1258632803      0.0019045777807525        1.42277088830255        1.76718141736083         28438.393188199        19032.0838506703                       1                       1                       1 
                    7.9                    0.15   4.30143381127042E-005        1.13733056413009        59982.8460609847      0.0894012498274211       -4495.93556202429        96829.0636872858       -3866.10055110811        296.539749198673        297.091105903201        267.114624023438                       0    0.000153992977470841  -2.19783296167611E-009      0.0740227137174531        1.30718860557407  -1.81218328334139E-005  -1.28977457608971E-013        30.8678297671662   -0.000425947667086176  -2.77030342061476E-006   1.83100000867853E-005    0.000131103175902146       0.818931592754701        60040.1258632803      0.0019045777807525        1.24455329349672        1.54582264176536        28858.5332149257        19235.8117502968                       1                       1                       1 
