VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Turbulent Kinetic Energy"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
  5.63286008910848E-019                    0.15                       0        1.15016543865204        21375.5273437289       0.215996012091606       -4086.07031250017           98148.0234375  -1.45208064322722E-013        297.224853515625                     300        1.17999994754276                       0     0.00194210663903367   6.24754420855559E-010       0.288934081792821        27.4641494750874    7.8081323837705E-006                       0         74.663764953603                       0                       0   1.83100000867853E-005     0.00187028769869355     0.00370728267355763         21383.214843783    -0.00151971066444262        152.783721923797        34.9058341979955        8500.99966224033        8234.49966291585                       1                       1                       1 
    0.00400200100050025                    0.15                       0        1.14752498762956        21827.6046988858         0.1620780487832       -4097.75148594519        97909.4094226091       -1031.66569561979        297.184227016983        299.266628089667        17.0853332943926                       0     0.00225609022427785   6.09715627870333E-010       0.362713109150285        26.2563738727033   6.49595956611012E-006                       0        56.0258368721879                       0                       0   1.83100000867853E-005      0.0014679186404004     0.00370728267355763         21383.214843783    -0.00151971066444262        149.258628512481        34.7844822447329        8501.24928704953        8234.62447532045                       1                       1                       1 
     0.0080040020010005                    0.15                       0        1.14488453660708        22279.6820540428       0.108160085474794       -4109.43265939021        97670.7954077183       -2063.33139123958         297.14360051834        298.533256179334        32.9906666412425                       0     0.00257007380952203   5.94676834885108E-010        0.43649213650775        25.0485982703193   5.18378674844975E-006                       0        37.3879087907727                       0                       0   1.83100000867853E-005     0.00106554958210725     0.00370728267355763         21383.214843783    -0.00151971066444262        145.733535101165        34.6631302914704        8501.49891185874        8234.74928772506                       1                       1                       1 
     0.0120060030015007                    0.15                       0         1.1422440855846        22731.7594091997      0.0542421221663883       -4121.11383283524        97432.1813928274       -3094.99708685937        297.102974019698           297.799884269        48.8959999880924                       0     0.00288405739476622   5.79638041899882E-010       0.510271163865214        23.8408226679352   3.87161393078937E-006                       0        18.7499807093576                       0                       0   1.83100000867853E-005    0.000663180523814093     0.00370728267355763         21383.214843783    -0.00151971066444262        142.208441689849        34.5417783382079        8501.74853666795        8234.87410012966                       1                       1                       1 
      0.016008004002001                    0.15                       0        1.13960363456212        23183.8367643566    0.000324158857982266       -4132.79500628026        97193.5673779366       -4126.66278247917        297.062347521055        297.066512358667        64.8013333349422                       0      0.0031980409800104   5.64599248914657E-010       0.584050191222678        22.6330470655512     2.559441113129E-006                       0       0.112052627942525                       0                       0   1.83100000867853E-005    0.000260811465520939     0.00370728267355763         21383.214843783    -0.00151971066444262        138.683348278533        34.4204263849454        8501.99816147716        8234.99891253427                       1                       1                       1 
     0.0200100050025013                    0.15                       0        1.13962038526807        24154.9576391102   1.00000000362749E-015       -4138.07692973088         97186.922207533       -4138.07692973088        297.037675531844        297.037675531844        61.8113206306551                       0     0.00303921637808533   3.42134088722772E-010        0.58523141927533        21.4894416054854   1.11165064314102E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000252011042534538     0.00236975839957023        23182.3739325908    -0.00187714312117119        134.985216210097        33.5696520738842        8502.24778628637        8235.24778696189                       1                       1                       1 
     0.0240120060030015                    0.15                       0        1.13965320789663        25129.2179169355   1.00000000362749E-015       -4143.32014770831        97181.6800865396       -4143.32014770831        297.013100042509        297.013100042509        58.7070205783909                       0      0.0028775320246879   1.18414112160611E-010       0.585973543965967        20.3462242747581  -3.36962428412939E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000245591095439326     0.00102414210316593        24992.4151253324    -0.00223672949602694        131.286037528394        32.7144658962745        8502.49741109558         8235.4974117711                       1                       1                       1 
     0.0280140070035018                    0.15                       0         1.1396860305252        26103.4781947608   1.00000000362749E-015       -4148.56336568573        97176.4379655462       -4148.56336568573        296.988524553175        296.988524553175        55.6027205261268                       0     0.00271584767129047   -1.0530586440155E-010       0.586715668656605        19.2030069440307   -1.7855754999669E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000239171148344113   -0.000321474193238374        26802.4563180741     -0.0025963158708827        127.586858846691        31.8592797186649        8502.74703590479        8235.74703658031                       1                       1                       1 
      0.032016008004002                    0.15                       0        1.13971885315376        27077.7384725861   1.00000000362749E-015       -4153.80658366316        97171.1958445528       -4153.80658366316         296.96394906384         296.96394906384        52.4984204738626                       0     0.00255416331789304  -3.29025840963711E-010       0.587457793347242        18.0597896133034  -3.23418857152086E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000232751201248901    -0.00166709048964267        28612.4975108157    -0.00295590224573846        123.887680164987        31.0040935410552          8502.996660714        8235.99666138952                       1                       1                       1 
     0.0360180090045022                    0.15                       0        1.13981071054267        27555.7045025225   1.00000000362749E-015        -4154.5949276663        97170.4064299465        -4154.5949276663        296.937604886386        296.937604886386        51.6085491184524                       0     0.00251274241264969  -3.60848831881224E-010       0.587569175009807        17.7668926920879  -4.42867507776589E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000230801751715736    -0.00380142219186944        28911.3525787843    -0.00186144917092817        122.874650470937        30.7444106485859        8503.24628549456        8236.24628617008                       1                       1                       1 
