     0.0400200100050025                    0.15                       0        1.13990328641357        28027.6303880212   1.00000000362749E-015       -4155.32905366786        97169.6712069611       -4155.32905366786         296.91123918313         296.91123918313        50.7456284467051                       0      0.0024727851725668   -3.9033668989925E-010       0.587672880220376        17.4843445874355  -5.62007206047298E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000228906710331221    -0.00594535677919413        29191.8157703155   -0.000749291749147856        121.894312527963        30.4919753232627        8503.49591027477        8236.49591095029                       1                       1                       1 
     0.0440220110055028                    0.15                       0        1.13999586228447          28499.55627352   1.00000000362749E-015       -4156.06317966942        97168.9359839756       -4156.06317966942        296.884873479874        296.884873479874        49.8827077749578                       0     0.00243282793248391  -4.19824547917275E-010       0.587776585430945         17.201796482783  -6.81146904318007E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000227011668946706    -0.00808929136651881        29472.2789618467     0.00036286567263246         120.91397458499        30.2395399979396        8503.74553505498        8236.74553573049                       1                       1                       1 
      0.048024012006003                    0.15                       0        1.14008843815536        28971.4821590188   1.00000000362749E-015       -4156.79730567097        97168.2007609901       -4156.79730567097        296.858507776618        296.858507776618        49.0197871032104                       0     0.00239287069240101    -4.493124059353E-010       0.587880290641514        16.9192483781305  -8.00286602588717E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000225116627562191     -0.0102332259538435        29752.7421533779     0.00147502309441278        119.933636642017        29.9871046726164        8503.99515983518         8236.9951605107                       1                       1                       1 
     0.0520260130065033                    0.15                       0        1.14017359194616        28670.2943953734   1.00000000362749E-015       -4156.98541204778         97168.013233271       -4156.98541204778        296.835770130686        296.835770130686        49.1510995904938                       0     0.00239450341755694  -4.16573162496005E-010       0.587906852776375        16.9307860676011  -8.01411252190005E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000225428838738656    -0.00880646894782313        29284.4664925766     0.00254709522866673        119.979258684212        30.0286953039184        8504.24478467235        8237.24478534787                       1                       1                       1 
     0.0560280140070035                    0.15                       0        1.14025860940827        28354.9060885543   1.00000000362749E-015       -4157.16348914184        97167.8357656126       -4157.16348914184        296.813099124871        296.813099124871        49.3006741414541                       0     0.00239690006673238  -3.82690811507051E-010       0.587931997948052        16.9477255216681  -8.00368265033003E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000225781592705801    -0.00731412300219623        28802.4380046988     0.00361843722250136        120.043725548023        30.0756866007479        8504.49440951056        8237.49441018608                       1                       1                       1 
     0.0600300150075038                    0.15                       0        1.14034362687037        28039.5177817353   1.00000000362749E-015       -4157.34156623589        97167.6582979542       -4157.34156623589        296.790428119057        296.790428119057        49.4502486924143                       0     0.00239929671590782  -3.48808460518098E-010       0.587957143119728        16.9646649757352  -7.99325277876002E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000226134346672946    -0.00582177705656934        28320.4095168211       0.004689779216336        120.108192411834        30.1226778975773        8504.74403434877        8237.74403502429                       1                       1                       1 
      0.064032016008004                    0.15                       0        1.14042864433248        27724.1294749162   1.00000000362749E-015       -4157.51964332995        97167.4808302957       -4157.51964332995        296.767757113243        296.767757113243        49.5998232433746                       0     0.00240169336508326  -3.14926109529145E-010       0.587982288291405        16.9816044298022     -7.98282290719E-006                       0                       0                       0                       0   1.83100000867853E-005     0.00022648710064009    -0.00432943111094245        27838.3810289434     0.00576112121017063        120.172659275646        30.1696691944068        8504.99365918698         8237.9936598625                       1                       1                       1 
     0.0680340170085043                    0.15                       0        1.14048261589391         27211.147957417   1.00000000362749E-015       -4158.05934626226         97166.941736799       -4158.05934626226        296.752067341772        296.752067341772        49.5756031652265                       0     0.00239709969129252  -3.07804426798863E-010       0.588058663480501        16.9491660280316  -7.46279295861017E-006                       0                       0                       0                       0   1.83100000867853E-005     0.00022644331390742    -0.00247699682441761        27261.2551352033     0.00635142187682718        120.060487759623        30.1638338301718        8505.24328391198         8238.2432845875                       1                       1                       1 
     0.0720360180090045                    0.15                       0         1.1405358224573        26693.2975708195   1.00000000362749E-015       -4158.60795997058         97166.393732526       -4158.60795997058        296.736549593996        296.736549593996        49.5471006353765                       0     0.00239233376982335  -3.01341764369203E-010       0.588136301021823        16.9155109126872  -6.93020273465972E-006                       0                       0                       0                       0   1.83100000867853E-005     0.00022638975606503   -0.000615683197720613        26681.7859585361     0.00692987633222792        119.943963719376        30.1566967707964        8505.49290863418         8238.4929093097                       1                       1                       1 
     0.0760380190095048                    0.15                       0        1.14058902902069        26175.4471842221   1.00000000362749E-015        -4159.1565736789         97165.845728253        -4159.1565736789         296.72103184622         296.72103184622        49.5185981055265                       0     0.00238756784835417  -2.94879101939542E-010       0.588213938563144        16.8818557973428  -6.39761251070926E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000226336198222639     0.00124563042897639        26102.3167818689     0.00750833078762865        119.827439679128        30.1495597114209        8505.74253335638         8238.7425340319                       1                       1                       1 
      0.080040020010005                    0.15                       0        1.14064223558408        25657.5967976246   1.00000000362749E-015       -4159.70518738722        97165.2977239801       -4159.70518738722        296.705514098444        296.705514098444        49.4900955756765                       0       0.002382801926885  -2.88416439509881E-010       0.588291576104465        16.8482006819984   -5.8650222867588E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000226282640380249     0.00310694405567339        25522.8476052017     0.00808678524302939        119.710915638881        30.1424226520455        8505.99215807859         8238.9921587541                       1                       1                       1 
     0.0840420210105053                    0.15                       0        1.14067290014235        25224.4505817732   1.00000000362749E-015       -4160.58707193664         97164.414911967       -4160.58707193664        296.694843486052        296.694843486052        49.2407515738977                       0      0.0023699169785526  -1.01428937298817E-010       0.588416390308854        16.7570965698578  -4.17600726134219E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000225726100467902     0.00443647062380968         25086.344277027      0.0069108213803731        119.387059833924        30.0682868691396        8506.24178291331        8239.24178358883                       1                       1                       1 
     0.0880440220110055                    0.15                       0        1.14070286604517        24793.9296440082   1.00000000362749E-015       -4161.47928571384        97163.5217230928       -4161.47928571384        296.684323103314        296.684323103314        48.9845629233929                       0     0.00235678039320899   9.11541110347618E-011       0.588542666682831        16.6642119125943  -2.45114588101992E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000225153971384046     0.00574951715128852        24654.2719598964      0.0056804755812545        119.056778093223         29.992074561729        8506.49140775152        8239.49140842704                       1                       1                       1 
     0.0920460230115058                    0.15                       0        1.14073283194798        24363.4087062432   1.00000000362749E-015       -4162.37149949105        97162.6285342186       -4162.37149949105        296.673802720575        296.673802720575        48.7283742728881                       0     0.00234364380786537   2.83737159368341E-010       0.588668943056807        16.5713272553308  -7.26284500697644E-007                       0                       0                       0                       0   1.83100000867853E-005     0.00022458184230019     0.00706256367876736        24222.1996427658     0.00445012978213589        118.726496352522        29.9158622543184        8506.74103258973        8239.74103326525                       1                       1                       1 
      0.096048024012006                    0.15                       0         1.1407627978508        23932.8877684782   1.00000000362749E-015       -4163.26371326825        97161.7353453443       -4163.26371326825        296.663282337837        296.663282337837        48.4721856223832                       0     0.00233050722252175    4.7632020770192E-010       0.588795219430784        16.4784425980674   9.98576879624625E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000224009713216335      0.0083756102062462        23790.1273256352     0.00321978398301729        118.396214611821        29.8396499469078        8506.99065742795        8239.99065810346                       1                       1                       1 
      0.100050025012506                    0.15                       0        1.14078281035626        23632.4036261967   1.00000000362749E-015       -4164.05218315752        97160.9474277314       -4164.05218315752        296.655677181842        296.655677181842        48.1648822895195                       0     0.00231560034380282   4.18906613756335E-010       0.588906823865938        16.3730089728675   4.90408333544142E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000223312756292184     0.00702007473519923        23505.1062714619     0.00259043612283843         118.01611333528        29.7468123107026        8507.24028226616        8240.24028294168                       1                       1                       1 
      0.104052026013007                    0.15                       0        1.14080245037201        23336.7858990931   1.00000000362749E-015       -4164.83677060067        97160.1634497239       -4164.83677060067        296.648181123467        296.648181123467         47.855666072618                       0     0.00230062721472813   3.52137371689245E-010        0.58901787922771        16.2671057228626  -1.01327132334069E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000222611127888704     0.00556466971100055        23225.5883713259     0.00198356600041457         117.63414764332        29.6533524985537        8507.48990710437        8240.48990777989                       1                       1                       1 
      0.108054027013507                    0.15                       0        1.14082209038776        23041.1681719895   1.00000000362749E-015       -4165.62135804382        97159.3794717164       -4165.62135804382        296.640685065093        296.640685065093        47.5464498557165                       0     0.00228565408565344   2.85368129622154E-010       0.589128934589483        16.1612024728577  -6.93062598212279E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000221909499485224     0.00410926468680187          22946.07047119     0.00137669587799072         117.25218195136        29.5598926864049        8507.73953194258         8240.7395326181                       1                       1                       1 
      0.112056028014007                    0.15                       0        1.14084173040351        22745.5504448859   1.00000000362749E-015       -4166.40594548697        97158.5954937088       -4166.40594548697        296.633189006719        296.633189006719        47.2372336388149                       0     0.00227068095657875   2.18598887555064E-010       0.589239989951255        16.0552992228528  -1.28479806409049E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000221207871081745     0.00265385966260319         22666.552571054    0.000769825755566862          116.8702162594         29.466432874256        8507.98915678079        8240.98915745631                       1                       1                       1 
      0.116058029014507                    0.15                       0        1.14085680957906        22539.1653446965   1.00000000362749E-015       -4167.00056846262        97158.0001958361       -4167.00056846262        296.627451608327        296.627451608327        46.9579228513676                       0     0.00225712757831716   3.17004180137466E-010       0.589324164861119        15.9594695006907  -5.07376598367304E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000220566367463614      0.0025886804586899        22470.9212049195     0.00155837218467103        116.520249422634        29.3809782489086          8508.238781619        8241.23878229452                       1                       1                       1 
      0.120060030015008                    0.15                       0        1.14087168837886        22336.7005865149   1.00000000362749E-015       -4167.58684554845        97157.4131874275       -4167.58684554845        296.621791474818        296.621791474818        46.6799259273767                       0     0.00224363657531248   4.22666145851991E-010       0.589407158806452        15.8640823483298   3.30196519739059E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000219927505364308     0.00258457623475516        22278.9753058871     0.00240821886188212        116.171688421701        29.2958753229755        8508.48840645721        8241.48840713273                       1                       1                       1 
      0.124062031015508                    0.15                       0        1.14088656717867        22134.2358283333   1.00000000362749E-015       -4168.17312263429        97156.8261790189       -4168.17312263429         296.61613134131         296.61613134131        46.4019290033858                       0     0.00223014557230779   5.28328111566515E-010       0.589490152751785        15.7686951959689   1.16776963784542E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000219288643265001     0.00258047201082043        22087.0294068548      0.0032580655390932        115.823127420768        29.2107723970423        8508.73803129542        8241.73803197094                       1                       1                       1 
      0.128064032016008                    0.15                       0        1.14090144597848        21931.7710701517   1.00000000362749E-015       -4168.75939972013        97156.2391706103       -4168.75939972013        296.610471207802        296.610471207802         46.123932079395                       0     0.00221665456930311   6.33990077281039E-010       0.589573146697118         15.673308043608   2.00534275595178E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000218649781165695     0.00257636778688569        21895.0835078224     0.00410791221630429        115.474566419834        29.1256694711092        8508.98765613364        8241.98765680916                       1                       1                       1 
      0.132066033016508                    0.15                       0        1.14091363376874        21777.9472117645   1.00000000362749E-015       -4169.21073980003        97155.7876793312       -4169.21073980003        296.605920563158        296.605920563158        45.8879697644037                       0     0.00220511654110506   5.35564760598089E-010       0.589637133626815         15.591692070296   2.31816818229855E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000218102011790966     0.00309718012243625        21746.1243874246     0.00348535661480149        115.173091666575        29.0527006834266        8509.23728086142        8242.23728153694                       1                       1                       1 
      0.136068034017009                    0.15                       0        1.14092568559099        21626.5810208383   1.00000000362749E-015       -4169.65526194938        97155.3430352948       -4169.65526194938          296.6014259774          296.6014259774        45.6541313224305                       0     0.00219367719042146   4.26827514380328E-010       0.589700160193515        15.5107719101711   2.60448045386517E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000217558845037387     0.00364451267648475        21599.3372499964     0.00278840059459857        114.873996029271        28.9803449945522        8509.48690558362        8242.48690625915                       1                       1                       1 
      0.140070035017509                    0.15                       0        1.14093773741323        21475.2148299122   1.00000000362749E-015       -4170.09978409874        97154.8983912583       -4170.09978409874        296.596931391643        296.596931391643        45.4202928804572                       0     0.00218223783973786   3.18090268162567E-010       0.589763186760214        15.4298517500463   2.89079272543178E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000217015678283807     0.00419184523053324        21452.5501125682     0.00209144457439565        114.574900391968        28.9079893056779        8509.73653030583        8242.73653098135                       1                       1                       1 
      0.144072036018009                    0.15                       0        1.14094978923548         21323.848638986   1.00000000362749E-015       -4170.54430624809        97154.4537472219       -4170.54430624809        296.592436805885        296.592436805885         45.186454438484                       0     0.00217079848905426   2.09353021944807E-010       0.589826213326914        15.3489315899214    3.1771049969984E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000216472511530228     0.00473917778458174        21305.7629751399     0.00139448855419273        114.275804754665        28.8356336168035        8509.98615502803        8242.98615570355                       1                       1                       1 
      0.148074037018509                    0.15                       0        1.14095933593907        21200.2128816466   1.00000000362749E-015       -4170.94789982599        97154.0515305479       -4170.94789982599         296.58872043946         296.58872043946         44.987130564332                       0     0.00216100158317701   1.22917586719156E-010       0.589883286718445        15.2796662550981   3.13891844518042E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000216005437590867     0.00494576634265108        21184.1564788983    -0.00146812917315187        114.017392694725        28.7734163964537        8510.23577975024        8243.23578042576                       1                       1                       1 
       0.15207603801901                    0.15                       0        1.14096873933617        21078.1634566791   1.00000000362749E-015         -4171.349152065        97153.6517409537         -4171.349152065        296.585048591434        296.585048591434         44.789781112113                       0     0.00215129863412038   3.77578189928839E-011        0.58994001955575        15.2110676399751   3.08216949266409E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000215542716576407     0.00513286158374701        21063.9904529578    -0.00445464244570051        113.761307957738        28.7117791519196        8510.48540447244        8243.48540514796                       1                       1                       1 
       0.15607803901951                    0.15                       0        1.14097814273328        20956.1140317116   1.00000000362749E-015       -4171.75040430402        97153.2519513596       -4171.75040430402        296.581376743409        296.581376743409        44.5924316598939                       0     0.00214159568506374  -4.74019487333873E-011       0.589996752393055         15.142469024852   3.02542054014776E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000215079995561947     0.00531995682484294        20943.8244270174    -0.00744115571824912        113.505223220751        28.6501419073855        8510.73502919464        8243.73502987016                       1                       1                       1 
       0.16008004002001                    0.15                       0        1.14098754613039        20834.0646067441   1.00000000362749E-015       -4172.15165654302        97152.8521617654       -4172.15165654302        296.577704895383        296.577704895383        44.3950822076749                       0     0.00213189273600711  -1.32561716459658E-010       0.590053485230361         15.073870409729   2.96867158763143E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000214617274547487     0.00550705206593886         20823.658401077     -0.0104276689907977        113.249138483764        28.5885046628514        8510.98465391684        8243.98465459236                       1                       1                       1 
       0.16408204102051                    0.15                       0         1.1409951315845        20730.6263132145   1.00000000362749E-015        -4172.5243839674        97152.4780330145        -4172.5243839674        296.574598678694        296.574598678694        44.2225990231449                       0      0.0021234048232156    -1.014690920767E-010       0.590106288545798         15.013879761624   3.73349608851557E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000214209773123728     0.00536832025421161        20721.2328606455     -0.0105215164847688        113.023361510639        28.5342224035129        8511.23427885712        8244.23427953264                       1                       1                       1 
      0.168084042021011                    0.15                       0        1.14100260074548        20628.3785668296   1.00000000362749E-015       -4172.89528667037        97152.1055457781       -4172.89528667037         296.57152864523         296.57152864523        44.0517065245214                       0     0.00211499463583557  -6.29398307654677E-011       0.590158840491145        14.9544397619774   4.55087817017093E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000213805804076634     0.00520874621451049        20619.9421724347     -0.0104303221860292        112.799523313927        28.4804106398431        8511.48390381134        8244.48390448686                       1                       1                       1 
      0.172086043021511                    0.15                       0        1.14101006990645        20526.1308204447   1.00000000362749E-015       -4173.26618937335        97151.7330585418       -4173.26618937335        296.568458611766        296.568458611766        43.8808140258979                       0     0.00210658444845554  -2.44105694542361E-011       0.590211392436492        14.8949997623308   5.36826025182629E-006                       0                       0                       0                       0   1.83100000867853E-005     0.00021340183502954     0.00504917217480938        20518.6514842238     -0.0103391278872896        112.575685117216        28.4265988761734        8511.73352876556        8244.73352944108                       1                       1                       1 
      0.176088044022011                    0.15                       0        1.14101753906743        20423.8830740597   1.00000000362749E-015       -4173.63709207632        97151.3605713054       -4173.63709207632        296.565388578301        296.565388578301        43.7099215272745                       0      0.0020981742610755   1.41186918569955E-011       0.590263944381838        14.8355597626843   6.18564233348164E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000212997865982446     0.00488959813510827         20417.360796013       -0.01024793358855        112.351846920504        28.3727871125037        8511.98315371978         8244.9831543953                       1                       1                       1 
      0.180090045022511                    0.15                       0        1.14102364653061         20335.727109598   1.00000000362749E-015        -4173.9809038029        97151.0172239221        -4173.9809038029        296.562745396044        296.562745396044        43.5574352416567                       0     0.00209068374368108  -3.15917321077699E-012       0.590312716893359        14.7825921279064   5.25532144973039E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000212634998240129     0.00334192501913961        20329.9014544257      -0.011292309464179        112.150957362601        28.3244506173135        8512.23277845732        8245.23277913284                       1                       1                       1 
      0.184092046023012                    0.15                       0        1.14102965756294        20248.5690776861   1.00000000362749E-015       -4174.32279703814        97150.6759401222       -4174.32279703814        296.560132441951        296.560132441951        43.4062524222115                       0     0.00208325835422265  -2.43890668908557E-011       0.590361221758194        14.7300828442673   4.20123454090544E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000212275041154129     0.00169595009872875         20243.421602179     -0.0124171038954054        111.951692950221         28.276501862242        8512.48240317953        8245.48240385505                       1                       1                       1 
      0.188094047023512                    0.15                       0        1.14103566859527        20161.4110457742   1.00000000362749E-015       -4174.66469027339        97150.3346563223       -4174.66469027339        296.557519487858        296.557519487858        43.2550696027663                       0     0.00207583296476423  -4.56189605709343E-011       0.590409726623029        14.6775735606282   3.14714763208049E-006                       0                       0                       0                       0   1.83100000867853E-005     0.00021191508406813    4.9975178317902E-005        20156.9417499324     -0.0135418983266318        111.752428537841        28.2285531071704        8512.73202790173        8245.73202857725                       1                       1                       1 
      0.192096048024012                    0.15                       0         1.1410416796276        20074.2530138624   1.00000000362749E-015       -4175.00658350863        97149.9933725224       -4175.00658350863        296.554906533765        296.554906533765        43.1038867833211                       0      0.0020684075753058  -6.68488542510129E-011       0.590458231487863        14.6250642769891   2.09306072325554E-006                       0                       0                       0                       0   1.83100000867853E-005     0.00021155512698213    -0.00159599974209294        20070.4618976857     -0.0146666927578582        111.553164125462        28.1806043520989        8512.98165262393        8245.98165329945                       1                       1                       1 
      0.196098049024512                    0.15                       0        1.14104650340102        19998.2419112823   1.00000000362749E-015        -4175.3453101316        97149.6538982155        -4175.3453101316        296.552625791281        296.552625791281        42.9665260872814                       0     0.00206167261443414  -1.27951770630957E-010       0.590506184139254        14.5774381064013   1.62603757172355E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000211226049898471    -0.00252936633483125         19995.044833347     -0.0156130158471874        111.371238331724        28.1367693663056        8513.23127734614        8246.23127802166                       1                       1                       1 
      0.200100050025013                    0.15                       0        1.14105123485716        19923.0975566748   1.00000000362749E-015       -4175.68379052884        97149.3145646088       -4175.68379052884         296.55037088046         296.55037088046        42.8302401533425                       0     0.00205499133898128  -1.92155283177821E-010       0.590554093852373        14.5301916303544   1.20466236436069E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000210899373940522     -0.0034073232483727        19920.4879744236     -0.0165454695653793        111.190660730976        28.0932542534558        8513.48090206834        8246.48090274386                       1                       1                       1 
      0.204102051025513                    0.15                       0         1.1410559663133        19847.9532020672   1.00000000362749E-015       -4176.02227092609        97148.9752310021       -4176.02227092609        296.548115969639        296.548115969639        42.6939542194035                       0     0.00204831006352841  -2.56358795724685E-010       0.590602003565492        14.4829451543074   7.83287156997833E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000210572697982573    -0.00428528016191416        19845.9311155001     -0.0174779232835712        111.010083130229         28.049739140606        8513.73052679054        8246.73052746606                       1                       1                       1 
      0.208104052026013                    0.15                       0        1.14106069776944        19772.8088474597   1.00000000362749E-015       -4176.36075132334        97148.6358973953       -4176.36075132334        296.545861058818        296.545861058818        42.5576682854646                       0     0.00204162878807554  -3.20562308271548E-010       0.590649913278611        14.4356986782605   3.61911949634978E-007                       0                       0                       0                       0   1.83100000867853E-005    0.000210246022024624    -0.00516323707545561        19771.3742565767     -0.0184103770017631        110.829505529481        28.0062240277562        8513.98015151275        8246.98015218827                       1                       1                       1 
      0.212106053026513                    0.15                       0        1.14106474343585        19706.5494436882   1.00000000362749E-015       -4176.66698456081        97148.3307210756       -4176.66698456081        296.543873002143        296.543873002143         42.432647248116                       0     0.00203551103650519  -3.95328134698123E-010       0.590693269362102        14.3924247182668  -6.99867255659515E-007                       0                       0                       0                       0   1.83100000867853E-005     0.00020994472819363    -0.00609875980278504        19705.5513365018     -0.0182928852414978        110.663153660941        27.9660889083226        8514.22977644883        8247.22977712435                       1                       1                       1 
      0.216108054027014                    0.15                       0        1.14106873095605        19641.0433702525   1.00000000362749E-015       -4176.97048365066        97148.0284408577       -4176.97048365066         296.54190757129         296.54190757129        42.3085813300122                       0     0.00202944106456545  -4.70989725924827E-010       0.590736239355919         14.349487576855  -1.81594596976298E-006                       0                       0                       0                       0   1.83100000867853E-005    0.000209645586442538    -0.00703916327390706          19640.46894292     -0.0180863785632828        110.498007952626        27.9262403691257        8514.47940140305        8247.47940207857                       1                       1                       1 
