VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Aspect Ratio"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
 -1.98982432252694E-019                    0.15                       0        1.15893173217773        148096.500000048       0.176362499594819       -4043.96582031217            99201.953125   8.24669554866375E-010        298.144134521484                     300        267.111846923828                       0     0.00161647086499445  -1.47772428683854E-010       0.238157033920223        27.4472312928032  -2.47529180195536E-006                       0         61.057773590133                       0                       0   1.83100000867853E-005     0.00186892237979908     0.00177600434408977        148293.484374768    0.000255789078813798        15.2680921554784        11.0845079421997        10200.9995946884        9884.49959536391                       1                       1                       1 
    0.00400200100050025                    0.15                       0        1.15323954852705        146542.965545907       0.123515509617266       -4058.55267955569        98611.7623856284       -1226.36046001821        297.829551598877        299.129307334289        267.111846923828                       0     0.00191337533459243  -9.45443055977634E-011        0.31124257016896        25.8554039601286  -1.29308376369313E-006                       0         42.761823167664                       0                       0   1.83100000867853E-005     0.00133383380049234     0.00177600434408977        148293.484374768    0.000255789078813798        14.8033351176024        11.0836183453874        10201.2992445011        9884.64942027028                       1                       1                       1 
     0.0080040020010005                    0.15                       0        1.14754736487636        144989.431091767       0.070668519639712       -4073.13953879921        98021.5716462568       -2452.72092003724         297.51496867627        298.258614668577        267.111846923828                       0     0.00221027980419041  -4.13161825116732E-011       0.384328106417698         24.263576627454  -1.10875725430911E-007                       0        24.4658727451949                       0                       0   1.83100000867853E-005     0.00079874522118561     0.00177600434408977        148293.484374768    0.000255789078813798        14.3385780797263        11.0827287485751        10201.5988943139        9884.79924517665                       1                       1                       1 
     0.0120060030015008                    0.15                       0        1.14185518122568        143435.896637627      0.0178215296621583       -4087.72639804273        97431.3809068852       -3679.08138005627        297.200385753662        297.387922002865        267.111846923828                       0     0.00250718427378839    1.1911940574417E-011       0.457413642666435        22.6717492947794   1.07133231283131E-006                       0        6.16992232272591                       0                       0   1.83100000867853E-005    0.000263656641878877     0.00177600434408977        148293.484374768    0.000255789078813798        13.8738210418502        11.0818391517628        10201.8985441266        9884.94907008302                       1                       1                       1 
      0.016008004002001                    0.15                       0        1.14006984922328        140209.163494195   1.00000000362749E-015       -4095.46895302166        97229.5292809598       -4095.46895302166        297.050722393361        297.050722393361        267.111846923828                       0     0.00255350967518557    8.5913237543578E-011       0.482393613207315        21.6781701592061    1.7511850473125E-006                       0                       0                       0                       0   1.83100000867853E-005   8.32056016917243E-005   -0.000508548882956072        144165.892187932   -0.000457350112452682        13.5724450781419        11.0810648989445        10202.1981939393        9885.19819461486                       1                       1                       1 
     0.0200100050025013                    0.15                       0         1.1402723875274        136131.079367737   1.00000000362749E-015       -4099.72901354299        97225.2709761991       -4099.72901354299         296.98497281592         296.98497281592        267.111846923828                       0     0.00247233632979156   1.70484080920951E-010        0.48289668156207        20.9889895354033   2.17542926919139E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31999679532785E-005    -0.00395551801830801        137938.113281849    -0.00153334509147954         13.354200089285        11.0803493350454        10202.4978437521         9885.4978444276                       1                       1                       1 
     0.0240120060030015                    0.15                       0        1.14047492583152         132052.99524128   1.00000000362749E-015       -4103.98907406431        97221.0126714384       -4103.98907406431        296.919223238479        296.919223238479        267.111846923828                       0     0.00239116298439754   2.55054924298324E-010       0.483399749916824        20.2998089116004   2.59967349107029E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31943342148328E-005    -0.00740248715365995        131710.334375766    -0.00260934007050639        13.1359551004281        11.0796337711462        10202.7974935648        9885.79749424034                       1                       1                       1 
     0.0280140070035018                    0.15                       0        1.14064454326008        127997.675687052   1.00000000362749E-015       -4107.54309741755        97217.4593083266       -4107.54309741755        296.864205564116        296.864205564116        267.111849900778                       0     0.00232225844936407   3.58564744356193E-010       0.483819152616472        19.7148031005073   3.30023923843523E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31890404515487E-005     -0.0111062173149154        126244.044836334    -0.00290816630056984        12.9489593362952        11.0789581169661        10203.0971433844        9886.09714405988                       1                       1                       1 
      0.032016008004002                    0.15                       0        1.14074595530338        123989.519715128   1.00000000362749E-015       -4109.63435477698        97215.3664415198       -4109.63435477698        296.831422218975        296.831422218975        267.111859045365                       0     0.00227877240415531   5.01312603081909E-010        0.48406521702656        19.3456263987944   4.57329211329925E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31844510474252E-005     -0.0153419176629427        122355.407009772     -0.0015968424577577        12.8267056356791        11.0783651476393         10203.396793218        9886.39679389351                       1                       1                       1 
     0.0360180090045022                    0.15                       0        1.14084736734667        119981.363743204   1.00000000362749E-015       -4111.72561213642         97213.273574713       -4111.72561213642        296.798638873834        296.798638873834        267.111868189953                       0     0.00223528635894654   6.44060461807626E-010       0.484311281436649        18.9764496970815   5.84634498816329E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31798616433016E-005       -0.01957761801097        118466.769183209   -0.000285518614945553         12.704451935063        11.0777721783126        10203.6964430516        9886.69644372715                       1                       1                       1 
