     0.0400200100050025                    0.15                       0        1.14094877938997         115973.20777128   1.00000000362749E-015       -4113.81686949585        97211.1807079063       -4113.81686949585        296.765855528693        296.765855528693         267.11187733454                       0     0.00219180031373777   7.86808320533343E-010       0.484557345846737        18.6072729953686   7.11939786302732E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31752722391781E-005     -0.0238133183589973        114578.131356647     0.00102580522786659         12.582198234447        11.0771792089858        10203.9960928853        9886.99609356078                       1                       1                       1 
     0.0440220110055028                    0.15                       0        1.14100941577122        113642.763101819   1.00000000362749E-015       -4114.91151917386        97210.0873408515       -4114.91151917386        296.746746257519        296.746746257519        267.111877441406                       0     0.00216283329020011   7.98048049298256E-010        0.48468607873696        18.3613798748372   7.08395047833611E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31719843108582E-005     -0.0243342925041279        112504.168633907     0.00119729322042009        12.4984870347654         11.076740445828        10204.2957426776        9887.29574335311                       1                       1                       1 
      0.048024012006003                    0.15                       0        1.14106957000056        111332.156533879   1.00000000362749E-015       -4115.99438446167        97209.0057923841       -4115.99438446167        296.727798675466        296.727798675466        267.111877441406                       0      0.0021340379468684   8.07733040629483E-010       0.484813424240281        18.1169445213196   7.03303371748003E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31687117718422E-005     -0.0248113497680027        110451.663541359     0.00135530743323119        12.4152315809827        11.0763035060814        10204.5953924694        9887.59539314495                       1                       1                       1 
     0.0520260130065033                    0.15                       0         1.1411297242299        109021.549965939   1.00000000362749E-015       -4117.07724974947        97207.9242439166       -4117.07724974947        296.708851093414        296.708851093414        267.111877441406                       0     0.00210524260353669    8.1741803196071E-010       0.484940769743602         17.872509167802   6.98211695662395E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31654392328262E-005     -0.0252884070318774        108399.158448811      0.0015133216460423           12.3319761272        11.0758665663348        10204.8950422613        9887.89504293679                       1                       1                       1 
     0.0560280140070035                    0.15                       0        1.14117459833545        107325.327862497   1.00000000362749E-015       -4118.05666008638         97206.944816726       -4118.05666008638        296.694196272591        296.694196272591        267.111877441406                       0     0.00208130542599853   7.51150359608508E-010        0.48505610279044        17.6693179616664   6.62822696306608E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31627941216014E-005     -0.0261250070934599        106863.332145996     0.00189969488756759        12.2619262355121        11.0755070272761        10205.1946920531        9888.19469272864                       1                       1                       1 
     0.0600300150075038                    0.15                       0         1.1412112838423        105958.353604279   1.00000000362749E-015       -4118.98062904902        97206.0201161965       -4118.98062904902        296.681841936996        296.681841936996        267.111877441406                       0     0.00205997173325201    6.4417996270053E-010       0.485164998377221        17.4882294410511   6.11197493980499E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31604852483049E-005     -0.0271542909659508        105604.393342807     0.00240844791056602        12.1989531875598        11.0751889671466         10205.494341845        9888.49434252048                       1                       1                       1 
      0.064032016008004                    0.15                       0        1.14124796934915        104591.379346061   1.00000000362749E-015       -4119.90459801166         97205.095415667       -4119.90459801166        296.669487601401        296.669487601401        267.111877441406                       0     0.00203863804050549   5.37209565792551E-010       0.485273893964001        17.3071409204357   5.59572291654389E-006                       0                       0                       0                       0   1.83100000867853E-005   8.31581763750085E-005     -0.0281835748384417        104345.454539619     0.00291720093356445        12.1359801396076        11.0748709070172        10205.7939916368        9888.79399231232                       1                       1                       1 
     0.0680340170085043                    0.15                       0        1.14128051790866        103357.394443398   1.00000000362749E-015       -4120.80767287611        97204.1920225271       -4120.80767287611        296.658272686293        296.658272686293        267.111883181565                       0     0.00201872364173409   4.49802858260308E-010       0.485380398761633        17.1380835780176   5.28182149785127E-006   2.13324057661062E-012                       0                       0                       0   1.83100000867853E-005   8.31559975149119E-005     -0.0298975186124205         103198.14766856     0.00231629015785482        12.0769331755724         11.074576973466        10206.0936414549         9889.0936421304                       1                       1                       1 
     0.0720360180090045                    0.15                       0        1.14130402235874        102414.148137885   1.00000000362749E-015       -4121.66506949231        97203.3352111645       -4121.66506949231        296.649548748879        296.649548748879        267.111901470742                       0     0.00200191207432149   4.05165786930787E-010       0.485481676865139        16.9953285502767   5.41029594305471E-006   8.93012787965061E-012                       0                       0                       0   1.83100000867853E-005    8.3154102886532E-005     -0.0331082710338856        102294.888234313   -0.000710556769648132        12.0264693355635        11.0743357849448        10206.3932913303        9889.39329200582                       1                       1                       1 
     0.0760380190095048                    0.15                       0        1.14132752680883        101470.901832372   1.00000000362749E-015       -4122.52246610852         97202.478399802       -4122.52246610852        296.640824811466        296.640824811466        267.111919759919                       0     0.00198510050690889   3.60528715601266E-010       0.485582954968645        16.8525735225358   5.53877038825814E-006   1.57270151826906E-011                       0                       0                       0   1.83100000867853E-005   8.31522082581522E-005     -0.0363190234553507        101391.628800067    -0.00373740369715109        11.9760054955546        11.0740945964235        10206.6929412057        9889.69294188125                       1                       1                       1 
      0.080040020010005                    0.15                       0        1.14135103125891        100527.655526858   1.00000000362749E-015       -4123.37986272472        97201.6215884395       -4123.37986272472        296.632100874053        296.632100874053        267.111938049096                       0      0.0019682889394963   3.15891644271744E-010       0.485684233072151        16.7098184947949   5.66724483346158E-006   2.25239024857306E-011                       0                       0                       0   1.83100000867853E-005   8.31503136297723E-005     -0.0395297758768157         100488.36936582    -0.00676425062465404        11.9255416555457        11.0738534079023        10206.9925910812        9889.99259175667                       1                       1                       1 
     0.0840420210105053                    0.15                       0        1.14136752358325        99794.6142315721   1.00000000362749E-015       -4124.11808560712        97200.8836650239       -4124.11808560712        296.625564999723        296.625564999723        267.111938476563                       0     0.00195438935139354   1.87922477234918E-010       0.485771408400695        16.5918047912869    5.2710154999653E-006   2.26046774124394E-011                       0                       0                       0   1.83100000867853E-005   8.31488469880429E-005     -0.0408236683814199        99772.2141679011     -0.0048492466845393        11.8832758055071        11.0736607810113        10207.2922407933        9890.29224146884                       1                       1                       1 
     0.0880440220110055                    0.15                       0        1.14138384809343        99066.6035602854   1.00000000362749E-015       -4124.85345642436        97200.1485868333       -4124.85345642436        296.619081490105        296.619081490105        267.111938476563                       0     0.00194055945275276   5.79587953594061E-011       0.485858246221795         16.474383196834   4.86222907904813E-006   2.25247224123085E-011                       0                       0                       0   1.83100000867853E-005   8.31473905886739E-005     -0.0420716930357346        99060.5367467279    -0.00281597968570128        11.8412061496583        11.0734693162967        10207.5918905016         9890.5918911771                       1                       1                       1 
     0.0920460230115057                    0.15                       0         1.1414001726036        98338.5928889986   1.00000000362749E-015       -4125.58882724161        97199.4135086427       -4125.58882724161        296.612597980488        296.612597980488        267.111938476563                       0     0.00192672955411197  -7.20048865161064E-011       0.485945084042895        16.3569616023812   4.45344265813097E-006   2.24447674121776E-011                       0                       0                       0   1.83100000867853E-005   8.31459341893048E-005     -0.0433197176900494        98348.8593255547   -0.000782712686863262        11.7991364938095        11.0732778515822        10207.8915402098        9890.89154088536                       1                       1                       1 
      0.096048024012006                    0.15                       0        1.14141384768607        97694.5126901312   1.00000000362749E-015        -4126.2443045628         97198.757762634        -4126.2443045628        296.607044145646        296.607044145646        267.111938476563                       0     0.00191426422567165  -1.60334419564447E-010       0.486022466158182        16.2511415612749   4.33636556243648E-006   2.23723470964524E-011                       0                       0                       0   1.83100000867853E-005   8.31446813190896E-005     -0.0437235029582473        97715.7566940858   9.43814426191849E-005        11.7609635001196        11.0731077649869         10208.191190025        9891.19119070051                       1                       1                       1 
      0.100050025012506                    0.15                       0        1.14142602856369        97097.7669862677   1.00000000362749E-015       -4126.85472413324        97198.1467578099       -4126.85472413324         296.60201462198         296.60201462198        267.111938476563                       0     0.00190256847756011  -2.25183778554207E-010       0.486094515513537        16.1518644794784   4.38380417370056E-006   2.23041761370152E-011                       0                       0                       0   1.83100000867853E-005   8.31435432339178E-005      -0.043651161136805        97126.9680990237    0.000319424314727142        11.7249881174891        11.0729497350671        10208.4908399004        9891.49084057593                       1                       1                       1 
      0.104052026013007                    0.15                       0        1.14143820944132        96501.0212824043   1.00000000362749E-015       -4127.46514370369        97197.5357529858       -4127.46514370369        296.596985098314        296.596985098314        267.111938476563                       0     0.00189087272944857  -2.90033137543967E-010       0.486166564868893        16.0525873976819   4.43124278496465E-006   2.22360051775781E-011                       0                       0                       0   1.83100000867853E-005    8.3142405148746E-005     -0.0435788193153627        96538.1795039615      0.0005444671868351        11.6890127348586        11.0727917051474        10208.7904897758        9891.79049045135                       1                       1                       1 
      0.108054027013507                    0.15                       0         1.1414494836381        95931.9555418016   1.00000000362749E-015       -4128.05098164213        97196.9495066391       -4128.05098164213        296.592267818399        296.592267818399        267.111938476563                       0     0.00187966191351188  -3.44154533324574E-010       0.486235694490633        15.9574313170206   4.24662820947631E-006   2.11749340522899E-011                       0                       0                       0   1.83100000867853E-005    8.3141319767618E-005     -0.0433586192290934        95976.0536554615    0.000701100369089404        11.6544374429669        11.0726409286843        10209.0901396007        9892.09014027627                       1                       1                       1 
      0.112056028014007                    0.15                       0        1.14145866394252        95426.8140230606   1.00000000362749E-015       -4128.58005065828         97196.420437623       -4128.58005065828        296.588271635461        296.588271635461        267.111938476563                       0     0.00186957100193628  -3.73501041583983E-010       0.486298081267495        15.8717922936483   3.52610793841383E-006   1.78208551685618E-011                       0                       0                       0   1.83100000867853E-005   8.31403561021672E-005     -0.0427969551670637        95475.5028638917    0.000699746772329718        11.6230955264981        11.0725069033841         10209.389789309        9892.38978998453                       1                       1                       1 
      0.116058029014507                    0.15                       0        1.14146784424693        94921.6725043196   1.00000000362749E-015       -4129.10911967443        97195.8913686068       -4129.10911967443        296.584275452523        296.584275452523        267.111938476563                       0     0.00185948009036067  -4.02847549843392E-010       0.486360468044357         15.786153270276   2.80558766735136E-006   1.44667762848336E-011                       0                       0                       0   1.83100000867853E-005   8.31393924367164E-005      -0.042235291105034        94974.9520723218    0.000698393175570031        11.5917536100292         11.072372878084        10209.6894390173        9892.68943969279                       1                       1                       1 
      0.120060030015008                    0.15                       0        1.14147702455134        94416.5309855787   1.00000000362749E-015       -4129.63818869057        97195.3622995907       -4129.63818869057        296.580279269585        296.580279269585        267.111938476563                       0     0.00184938917878507    -4.321940581028E-010       0.486422854821219        15.7005142469037   2.08506739628888E-006   1.11126974011055E-011                       0                       0                       0   1.83100000867853E-005   8.31384287712657E-005     -0.0416736270430043        94474.4012807519    0.000697039578810345        11.5604116935604        11.0722388527838        10209.9890887255        9892.98908940105                       1                       1                       1 
      0.124062031015508                    0.15                       0        1.14148403333639        93977.8335611356   1.00000000362749E-015       -4130.11784374965        97194.8829268987       -4130.11784374965        296.576989002237        296.576989002237        267.111938476563                       0     0.00184051031918368  -3.64357861902977E-010       0.486479502603094        15.6251217389142   2.07927674479093E-006   1.09697475618819E-011                       0                       0                       0   1.83100000867853E-005   8.31375408419968E-005     -0.0411106117001587        94038.9301881704   -0.000524948212283458        11.5325861129754        11.0721230268532        10210.2887385951        9893.28873927061                       1                       1                       1 
      0.128064032016008                    0.15                       0        1.14149096321985        93541.5503655619   1.00000000362749E-015       -4130.59570336544        97194.4053599098       -4130.59570336544        296.573724384149        296.573724384149        267.111938476563                       0     0.00183167549917002  -2.92990621892984E-010        0.48653594186014         15.550101535375   2.09945397834979E-006   1.09434732621266E-011                       0                       0                       0   1.83100000867853E-005   8.31366556646409E-005     -0.0405475463899166        93605.8237494791    -0.00179128942592601        11.5048882975327         11.072007862192        10210.5883884705        9893.58838914604                       1                       1                       1 
      0.132066033016508                    0.15                       0        1.14149789310331        93105.2671699881   1.00000000362749E-015       -4131.07356298123        97193.9277929208       -4131.07356298123         296.57045976606         296.57045976606        267.111938476563                       0     0.00182284067915636   -2.2162338188299E-010       0.486592381117186        15.4750813318359   2.11963121190865E-006   1.09171989623713E-011                       0                       0                       0   1.83100000867853E-005   8.31357704872851E-005     -0.0399844810796745        93172.7173107877    -0.00305763063956857          11.47719048209        11.0718926975308        10210.8880383459        9893.88803902146                       1                       1                       1 
      0.136068034017009                    0.15                       0        1.14150374670515        92702.6778319872   1.00000000362749E-015       -4131.53057418351        97193.4707988177       -4131.53057418351        296.567539558457        296.567539558457        267.111938476563                       0     0.00181462894014979  -1.81997432484613E-010        0.48664631464188        15.4053654173892   2.02977254530356E-006   1.08926484623516E-011                       0                       0                       0   1.83100000867853E-005   8.31349619496279E-005     -0.0389648484687446        92772.7595514297    -0.00524346181485374        11.4513293468592        11.0717863225236        10211.1876881164        9894.18768879196                       1                       1                       1 
      0.140070035017509                    0.15                       0        1.14150896197536        92320.0719748049   1.00000000362749E-015       -4131.97522040588        97193.0260062821       -4131.97522040588        296.564823617193        296.564823617193        267.111938476563                       0      0.0018067867440838   -1.6119694396016E-010       0.486698762042468        15.3387954222824   1.87464959257888E-006   1.08691203302267E-011                       0                       0                       0   1.83100000867853E-005   8.31341988661262E-005     -0.0376744162555087        92392.4619334064    -0.00797463705158806        11.4265575277821        11.0716851605699        10211.4873378247        9894.48733850022                       1                       1                       1 
      0.144072036018009                    0.15                       0        1.14151417724557        91937.4661176225   1.00000000362749E-015       -4132.41986662824        97192.5812137463       -4132.41986662824        296.562107675929        296.562107675929        267.111938476563                       0     0.00179894454801782  -1.40396455435706E-010       0.486751209443056        15.2722254271756   1.71952663985419E-006   1.08455921981018E-011                       0                       0                       0   1.83100000867853E-005   8.31334357826244E-005     -0.0363839840422728        92012.1643153829     -0.0107058122883224        11.4017857087049        11.0715839986162         10211.786987533        9894.78698820848                       1                       1                       1 
      0.148074037018509                    0.15                       0        1.14151902934728        91567.2813946019   1.00000000362749E-015        -4132.8560127356        97192.1445813176        -4132.8560127356        296.559511268673        296.559511268673        267.111938476563                       0     0.00179134037588267   -1.5471853656706E-010       0.486802681489212         15.207674221908   1.73281798945705E-006   1.08227247366429E-011                       0                       0                       0   1.83100000867853E-005   8.31326961316107E-005     -0.0355724374178252        91644.0389447397     -0.0132218225679366        11.3777192204386        11.0714862400534        10212.0866373383        9895.08663801385                       1                       1                       1 
       0.15207603801901                    0.15                       0         1.1415229943859        91227.4361080202   1.00000000362749E-015        -4133.2713967546        97191.7278804771        -4133.2713967546         296.55720683109         296.55720683109        267.111938476563                       0     0.00178431759284775  -2.54830754291395E-010        0.48685177116786        15.1480540436519   2.15746557474746E-006   1.08014710067622E-011                       0                       0                       0   1.83100000867853E-005   8.31320137161749E-005     -0.0359305623408345        91305.6450880518     -0.0152122847947812        11.3553755490882        11.0713967944974        10212.3862873809        9895.38628805644                       1                       1                       1 
       0.15607803901951                    0.15                       0        1.14152695942453        90887.5908214385   1.00000000362749E-015        -4133.6867807736        97191.3111796366        -4133.6867807736        296.554902393506        296.554902393506        267.111938476563                       0     0.00177729480981284  -3.54942972015729E-010       0.486900860846508        15.0884338653958   2.58211316003786E-006   1.07802172768814E-011                       0                       0                       0   1.83100000867853E-005   8.31313313007391E-005     -0.0362886872638437        90967.2512313638     -0.0172027470216259        11.3330318777379        11.0713073489414        10212.6859374235        9895.68593809903                       1                       1                       1 
       0.16008004002001                    0.15                       0        1.14153092446315        90547.7455348568   1.00000000362749E-015        -4134.1021647926        97190.8944787962        -4134.1021647926        296.552597955923        296.552597955923        267.111938476563                       0     0.00177027202677792  -4.55055189740063E-010       0.486949950525157        15.0288136871396   3.00676074532826E-006   1.07589635470007E-011                       0                       0                       0   1.83100000867853E-005   8.31306488853033E-005     -0.0366468121868529        90628.8573746759     -0.0191932092484706        11.3106882063876        11.0712179033854        10212.9855874661        9895.98558814162                       1                       1                       1 
       0.16408204102051                    0.15                       0        1.14153407226777        90241.0351399145   1.00000000362749E-015        -4134.4893746465        97190.5090205475        -4134.4893746465        296.550616054143        296.550616054143        267.111938476563                       0      0.0017638829900051  -4.31307252770281E-010       0.486995788258215        14.9745949160343   2.82054350001257E-006   1.07394964037066E-011                       0                       0                       0   1.83100000867853E-005   8.31301077962886E-005     -0.0359967812360022        90323.1453971953     -0.0180971353212793        11.2902443455269        11.0711374474518          10213.28523719        9896.28523786551                       1                       1                       1 
      0.168084042021011                    0.15                       0        1.14153717999728        89935.9495986646   1.00000000362749E-015       -4134.87520290855        97190.1250943588       -4134.87520290855        296.548649968716        296.548649968716        267.111938476563                       0      0.0017575250305943  -4.01485830024215E-010       0.487041466523839        14.9206410167759   2.60436882534671E-006   1.07201168702714E-011                       0                       0                       0   1.83100000867853E-005   8.31295736378373E-005     -0.0352973020958771        90019.0360585106     -0.0168497048081395        11.2698936467467        11.0710574323472        10213.5848868982        9896.58488757377                       1                       1                       1 
      0.172086043021511                    0.15                       0        1.14154028772679        89630.8640574147   1.00000000362749E-015       -4135.26103117061          97189.74116817       -4135.26103117061        296.546683883289        296.546683883289        267.111938476563                       0      0.0017511670711835   -3.7166440727815E-010       0.487087144789463        14.8666871175175   2.38819415068086E-006   1.07007373368361E-011                       0                       0                       0   1.83100000867853E-005   8.31290394793861E-005     -0.0345978229557521        89714.9267198259     -0.0156022742949997        11.2495429479666        11.0709774172426        10213.8845366065        9896.88453728203                       1                       1                       1 
      0.176088044022011                    0.15                       0        1.14154288934041        89343.5252705025   1.00000000362749E-015       -4135.63108622322        97189.3716631995       -4135.63108622322        296.544886796543        296.544886796543        267.111938476563                       0      0.0017451565291809  -3.12264913211859E-010       0.487130875609324        14.8156665775934   1.82883772391987E-006   9.70086948587046E-012                       0                       0                       0   1.83100000867853E-005   8.31284986053709E-005     -0.0334346468675369        89428.4026179958     -0.0137440772821376        11.2302307108484        11.0709021552263        10214.1841863148        9897.18418699029                       1                       1                       1 
      0.180090045022511                    0.15                       0        1.14154517548626        89067.2482394859   1.00000000362749E-015        -4135.9913096518        97189.0111471443        -4135.9913096518        296.543195048617        296.543195048617        267.111938476563                       0     0.00173936253644314  -2.34429150986613E-010       0.487173392563896         14.766474434363   1.05556937393184E-006   8.08984908451826E-012                       0                       0                       0   1.83100000867853E-005   8.31279535457268E-005     -0.0319824296495747        89152.8395960497     -0.0115051701251766        11.2115657588611        11.0708298558639         10214.483836023        9897.48383669855                       1                       1                       1 
      0.184092046023011                    0.15                       0         1.1415474616321        88790.9712084693   1.00000000362749E-015       -4136.35153308039         97188.650631089       -4136.35153308039        296.541503300692        296.541503300692        267.111938476563                       0     0.00173356854370538  -1.56593388761367E-010       0.487215909518468        14.7172822911325   2.82301023943816E-007   6.47882868316603E-012                       0                       0                       0   1.83100000867853E-005   8.31274084860827E-005     -0.0305302124316124        88877.2765741035    -0.00926626296821558        11.1929008068737        11.0707575565015        10214.7834857313        9897.78348640681                       1                       1                       1 
      0.188094047023512                    0.15                       0        1.14154957847834        88521.4791744707   1.00000000362749E-015       -4136.70726956412        97188.2946835616       -4136.70726956412        296.539867640443        296.539867640443        267.111938476563                       0     0.00172790825442903  -1.25045107550192E-010       0.487257916095434        14.6692185095805  -2.91729061396097E-007   5.31466217984215E-012                       0                       0                       0   1.83100000867853E-005   8.31268524854086E-005     -0.0294116292528788        88608.4730953988    -0.00709975150171922        11.1746376287261        11.0706870895441        10215.0831355328        9898.08313620828                       1                       1                       1 
      0.192096048024012                    0.15                       0        1.14155125736857        88269.5390371013   1.00000000362749E-015        -4137.0513989099        97187.9505542158        -4137.0513989099        296.538377071689        296.538377071689        267.111938476563                       0     0.00172259383848102  -2.13237076460428E-010       0.487298602392673        14.6240736514321   -3.5036243614816E-007    5.3064416451751E-012                       0                       0                       0   1.83100000867853E-005   8.31262681808182E-005     -0.0291560930065826        88357.1556682741    -0.00512048838805081        11.1574137867091        11.0706213627777        10215.3827855754        9898.38278625087                       1                       1                       1 
      0.196098049024512                    0.15                       0         1.1415529362588        88017.5988997318   1.00000000362749E-015       -4137.39552825569          97187.60642487       -4137.39552825569        296.536886502934        296.536886502934        267.111938476563                       0     0.00171727942253301  -3.01429045370664E-010       0.487339288689911        14.5789287932836  -4.08995810900223E-007   5.29822111050805E-012                       0                       0                       0   1.83100000867853E-005   8.31256838762278E-005     -0.0289005567602864        88105.8382411494     -0.0031412252743824        11.1401899446921        11.0705556360113        10215.6824356179        9898.68243629346                       1                       1                       1 
      0.200100050025013                    0.15                       0        1.14155461514902        87765.6587623624   1.00000000362749E-015       -4137.73965760147        97187.2622955242       -4137.73965760147         296.53539593418         296.53539593418        267.111938476563                       0       0.001711965006585  -3.89621014280901E-010        0.48737997498715        14.5337839351352  -4.67629185652286E-007     5.290000575841E-012                       0                       0                       0   1.83100000867853E-005   8.31250995716374E-005     -0.0286450205139902        87854.5208140247      -0.001161962160714        11.1229661026751        11.0704899092449        10215.9820856605        9898.98208633605                       1                       1                       1 
      0.204102051025513                    0.15                       0        1.14155585679819        87533.2417035406   1.00000000362749E-015       -4138.07262770014         97186.929187661       -4138.07262770014        296.534060351507        296.534060351507        267.111938476563                       0     0.00170703009313267  -3.80905639984676E-010       0.487419341115366        14.4918652778895  -3.96319257893987E-007   9.73791011451957E-012                       0                       0                       0   1.83100000867853E-005   8.31246138044028E-005     -0.0292353774409528        87622.7000139075    -0.00130815796590993        11.1068957833386        11.0704295639544        10216.2817353883        9899.28173606384                       1                       1                       1 
      0.208104052026013                    0.15                       0        1.14155707131317        87302.0362024704   1.00000000362749E-015        -4138.4049052819        97186.5967637659        -4138.4049052819        296.532734386916        296.532734386916        267.111938476563                       0     0.00170211873073827   -3.6617655416871E-010       0.487458625316828        14.4501468311962  -3.16947042294594E-007   1.44623626058945E-011                       0                       0                       0   1.83100000867853E-005    8.3124134151916E-005     -0.0298782208898585        87392.0891302272    -0.00158625608240142        11.0908970489436        11.0703695526259        10216.5813850966         9899.5813857721                       1                       1                       1 
