                    7.9                    0.15     0.00326884589726484        1.13733969212157        2080.11055565906       0.170967795274141       -4495.93330547261        96829.0636872858       -2514.29619786308        296.537369124144        298.272089747932        42.2474889625614                       0                       0                       0                       0                       0                       0                       0        59.0303832240321   -0.000783301101359612    0.000911806577647366   1.83100000867853E-005     0.00440036572456301      0.0121440752541136        2081.01406699027    -0.00633825720402532                       0                       0        479463.406312723        454814.008839464                       1                       1                       1 
                    7.9                    0.15     0.00350233488992662        1.13734010694673        1944.61224353645       0.172347695331556       -4495.93312674965        96829.0637356632       -2482.23474778764        296.537263117876        298.300045491731        39.7616644259349                       0                       0                       0                       0                       0                       0                       0        59.5068110323071   -0.000786207503052797    0.000987481651307807   1.83100000867853E-005     0.00469324071827925      0.0100438392978133        1945.44562277923    -0.00623693151065909                       0                       0         494052.58181741        468962.730188438                       1                       1                       1 
                    7.9                    0.15     0.00373582388258839         1.1373405270003          1833.007219736       0.173604929995477       -4495.93281503145        96829.0663268384       -2452.69175299899        296.537165705939        298.325810568453        37.6642076480312                       0                       0                       0                       0                       0                       0                       0        59.9408912084629   -0.000788910480850639     0.00105719597056382   1.83100000867853E-005     0.00498261279314408       0.009093882640611         1833.7943301391    -0.00655280236445679                       0                       0        507458.958078273        481964.361565997                       1                       1                       1 
                    7.9                    0.15     0.00396931287525017        1.13734092992704         1730.3632075113       0.174811417299698       -4495.93251496101        96829.0687274026       -2424.20327331568        296.537063836744        298.350641612998        35.7176233907406                       0                       0                       0                       0                       0                       0                       0         60.357448162987   -0.000791424675428137     0.00113213530553669   1.83100000867853E-005     0.00527024093714756     0.00797191069098613         1731.1021137156    -0.00678868613912719                       0                       0        520364.391306213        494480.173619341                       1                       1                       1 
                    7.9                    0.15     0.00420280186791194        1.13734131247999        1638.54072098375       0.175956616272124       -4495.93222895623        96829.0709180112       -2396.98845573569        296.536956584954         298.37434425857        33.9532331324359                       0                       0                       0                       0                       0                       0                       0        60.7528421071229     -0.0007937169184256     0.00121369210862136   1.83100000867853E-005     0.00555576444833198     0.00661703471927222         1639.2289060794    -0.00694779269796329                       0                       0        532664.884588418        506409.309151978                       1                       1                       1 
                    7.9                    0.15     0.00443629086057372          1.137341768472        1558.73378613599       0.177026815479498       -4495.93196053142        96829.0714997858       -2371.34995899926        296.536843694151        298.396663367266        32.3977510654463                       0                       0                       0                       0                       0                       0                       0        61.1223394392437   -0.000795550001881269     0.00129272833576396   1.83100000867853E-005     0.00583819576036931     0.00533674485615728        1559.38246218429    -0.00697150854484061                       0                       0        544209.306052326        517605.199034548                       1                       1                       1 
                    7.9                    0.15     0.00466977985323549        1.13734224751064        1483.02384613486       0.178071439015192       -4495.93169810054        96829.0714997858       -2346.24907970133         296.53672888064         298.41851073811        30.9134994092438                       0                       0                       0                       0                       0                       0                       0        61.4830057011084   -0.000797208420528211     0.00137096348062633   1.83100000867853E-005     0.00611957386640971     0.00406623928411132        1483.63686949459    -0.00693914752011088                       0                       0        555495.933382539        528551.077711077                       1                       1                       1 
                    7.9                    0.15     0.00490326884589727         1.1373426930031        1418.95676980131       0.179035983793972       -4495.93145480234        96829.0714997858       -2322.85024819504        296.536615776676        298.438891878588        29.6375951639971                       0                       0                       0                       0                       0                       0                       0        61.8160236518741   -0.000798407987311465     0.00144914546027748   1.83100000867853E-005     0.00639700403344416     0.00302999865067927        1419.53392610095    -0.00709395083703595                       0                       0        565959.705974611        538698.944025845                       1                       1                       1 
                    7.9                    0.15     0.00513675783855904        1.13734313543541        1356.40095759758       0.179990131916522       -4495.93121398722        96829.0714997858       -2299.67244119537        296.536503275172        298.459082340806        28.3887317091687                       0                       0                       0                       0                       0                       0                       0         62.145452141852   -0.000799531477927086     0.00152734272377295   1.83100000867853E-005      0.0066739230221132     0.00202172732490539        1356.94229638238    -0.00728214142589026                       0                       0        576316.682699066        548743.238691096                       1                       1                       1 
                    7.9                    0.15     0.00537024683122081        1.13734352213276        1303.09010715073       0.180874362996806       -4495.93108491855        96829.0714997858       -2277.99727049148        296.536398358562        298.477955022825        27.3097815444159                       0                       0                       0                       0                       0                       0                       0        62.4507405563704    -0.00080013203136372     0.00160878731246419   1.83100000867853E-005     0.00694672824001369     0.00140615742491084        1303.60617417787     -0.0074116656690483                       0                       0         585942.82368186        558078.761893742                       1                       1                       1 
                    7.9                    0.15     0.00560373582388259        1.13734389981537        1251.31558186027       0.181746972263103       -4495.93098050876        96829.0714997858       -2256.57194066505        296.536294385034        298.496609039363        26.2590668106461                       0                       0                       0                       0                       0                       0                       0        62.7520163239206   -0.000800634253907031      0.0016910318556155   1.83100000867853E-005     0.00721885137955138    0.000866733552699797        1251.80812953916    -0.00752496717281212                       0                       0        595447.517648153        567296.504623148                       1                       1                       1 
                    7.9                    0.15     0.00583722481654436        1.13734430551232        1205.27852192909       0.182571889741721       -4495.93074444977        96829.0714997858       -2236.18216551576        296.536192203839        298.514350956144        25.3162968554267                       0                       0                       0                       0                       0                       0                       0        63.0368255410096   -0.000801152358829982     0.00177202056186339   1.83100000867853E-005      0.0074876339551914    0.000311116557833781        1205.75116308565    -0.00744527017619034                       0                       0        604445.797438485        576023.122061715                       1                       1                       1 
                    7.9                    0.15     0.00607071380920614        1.13734472493566        1162.35731241634       0.183370904315209       -4495.93044629546        96829.0714997858       -2216.35493723156        296.536090789288        298.531597387747        24.4321457790654                       0                       0                       0                       0                       0                       0                       0        63.3126910900714     -0.0008016737818406      0.0018523139316753   1.83100000867853E-005     0.00775460488726818   -0.000244590686025208        1162.81193012505    -0.00725407888707833                       0                       0        613169.071511713        584483.036336732                       1                       1                       1 
                    7.9                    0.15     0.00630420280186791        1.13734513752442        1121.18965150114       0.184153908428202       -4495.93012565957        96829.0714997858       -2196.87895920757        296.535988578767        298.548538247664        23.5817212068161                       0                       0                       0                       0                       0                       0                       0        63.5830287994006   -0.000802074019248133     0.00193439094897027   1.83100000867853E-005     0.00802024232305223   -0.000856654552086715        1121.62657847568    -0.00717096276830502                       0                       0        621719.889472503        592775.701031468                       1                       1                       1 
                    7.9                    0.15     0.00653769179452969        1.13734552386573        1085.55360178775        0.18488640302977       -4495.92975331745        96829.0714997858       -2178.51132247613        296.535883857546        298.564514051709        22.8376791134775                       0                       0                       0                       0                       0                       0                       0        63.8359269119028   -0.000802090753011216     0.00202161282610455   1.83100000867853E-005     0.00828167891939536    -0.00163803136630095        1085.97365701002    -0.00742175314039591                       0                       0        629726.734399993        600540.815497813                       1                       1                       1 
                    7.9                    0.15     0.00677118078719146         1.1373459116937        1049.91748661383       0.185618894100524       -4495.92938097533        96829.0714997858        -2160.1438075317        296.535779136325        298.580489855753         22.093637020139                       0                       0                       0                       0                       0                       0                       0        64.0888239302247   -0.000802111675259089     0.00210870013165057   1.83100000867853E-005     0.00854311760635134    -0.00242749303013891        1050.32066247215    -0.00767888359795791                       0                       0        637733.579327482        608305.929964158                       1                       1                       1 
                    7.9                    0.15     0.00700466977985323        1.13734629134137        1017.99608973151        0.18631417804916        -4495.9291859216        96829.0714997858       -2142.60119518415        296.535679723874        298.595748184999        21.4224193754135                       0                       0                       0                       0                       0                       0                       0        64.3288747346363   -0.000801748533509596     0.00219678130426054   1.83100000867853E-005      0.0088008874202322    -0.00307634570383883         1018.3851962991    -0.00780579716030228                       0                       0        645334.522835789        615677.397368453                       1                       1                       1 
                    7.9                    0.15     0.00723815877251501        1.13734666685085        988.371252289252       0.186986453837946       -4495.92909438298        96829.0714997858       -2125.56876607867        296.535583593446        298.610562951979        20.7962237685662                       0                       0                       0                       0                       0                       0                       0        64.5609817498562   -0.000801132508865414     0.00228566577152503   1.83100000867853E-005     0.00905639286228106     -0.0036448865327862        988.748054848926    -0.00785265151569568                       0                       0        652684.527141436         622805.50154411                       1                       1                       1 
                    7.9                    0.15     0.00747164776517678        1.13734704236034        958.746353953485       0.187658733157545       -4495.92900893371        96829.0714997858       -2108.53620605213        296.535487463019        298.625377718958        20.1700281617189                       0                       0                       0                       0                       0                       0                       0        64.7930900019756   -0.000800534519386673     0.00237427818617677   1.83100000867853E-005     0.00931189577236546    -0.00421180985456488        959.110819774976    -0.00790298143947214                       0                       0        660034.531447082        629933.605719767                       1                       1                       1 
                    7.9                    0.15     0.00770513675783856        1.13734740903445        932.898077766346        0.18828949839566       -4495.92892881073        96829.0714997858       -2092.43299775833        296.535389864129        298.639377205114        19.6192609744273                       0                       0                       0                       0                       0                       0                       0        65.0108643674446   -0.000799740403033148     0.00246333388086867   1.83100000867853E-005      0.0095625598099407     -0.0046703236563806        933.251677141844     -0.0079664109326691                       0                       0        666926.382412913        636617.388423105                       1                       1                       1 
                    7.9                    0.15     0.00793862575050033        1.13734777144431        908.237128550838       0.188907209387231       -4495.92884427295        96829.0714997858       -2076.62209250503        296.535291803594        298.653120008502        19.0922064369905                       0                       0                       0                       0                       0                       0                       0        65.2241313107153   -0.000798870710149256     0.00255263316735668   1.83100000867853E-005     0.00981170572666501     -0.0050986359454228         908.58030162968    -0.00803625209428024                       0                       0        673674.202391607        643161.488503395                       1                       1                       1 
                    7.9                    0.15     0.00817211474316211        1.13734813534083        883.576119964156       0.189524923723782       -4495.92876582453        96829.0714997858       -2060.81104719665        296.535193743059        298.666863192473        18.5651518995536                       0                       0                       0                       0                       0                       0                       0        65.4373994908854   -0.000798014937988555     0.00264182821356466   1.83100000867853E-005      0.0100608485539281    -0.00552306923587281         883.90888882024    -0.00810380008587581                       0                       0          680422.0223703        649705.588583684                       1                       1                       1 
                    7.9                    0.15     0.00840560373582388        1.13734852555118        861.581092108497       0.190110537003145       -4495.92859808936        96829.0714997858       -2045.72546762512        296.535089206446        298.679967385199        18.0921504501992                       0                       0                       0                       0                       0                       0                       0        65.6395819611447   -0.000796826971455323     0.00272834799935582   1.83100000867853E-005      0.0103055739089745    -0.00587044982420789        861.905060347426    -0.00804785691509744                       0                       0         686811.65153219        655902.311798496                       1                       1                       1 
                    7.9                    0.15     0.00863909272848566        1.13734893001148        841.029793522308       0.190678766347481       -4495.92838200205        96829.0714997858       -2031.03275515333        296.534981162791        298.692725540029        17.6484207898142                       0                       0                       0                       0                       0                       0                       0        65.8357611007414    -0.00079545911016538     0.00281341902322718   1.83100000867853E-005      0.0105479070359504    -0.00617610393041142        841.345829556293    -0.00792503843905038                       0                       0         693007.30683667        661910.917319022                       1                       1                       1 
                    7.9                    0.15     0.00887258172114743        1.13734933595843        820.478524621706       0.191246991417675        -4495.9281720041        96829.0714997858       -2016.34020100467        296.534873119137        298.705483694858        17.2046911294291                       0                       0                       0                       0                       0                       0                       0        66.0319388131464   -0.000794065250507544     0.00289857220237662   1.83100000867853E-005      0.0107902439144149    -0.00647978031685072        820.786601809836    -0.00779917504925461                       0                       0         699202.96214115        667919.522839547                       1                       1                       1 
                    7.9                    0.15     0.00910607071380921        1.13734973185222        800.809627217561       0.191803564990395       -4495.92796049345        96829.0714997858       -2001.91335438169         296.53476950718        298.718009139084        16.7791514115346                       0                       0                       0                       0                       0                       0                       0        66.2240946768904    -0.00079269685042735     0.00298527190485632   1.83100000867853E-005      0.0110306884000297    -0.00675023191198296         801.10984375855    -0.00774490400477047                       0                       0        705267.392958823         673800.86560301                       1                       1                       1 
                    7.9                    0.15     0.00933955970647098        1.13735010326668        783.662248224294       0.192326831442428       -4495.92776206124        96829.0714997858       -1988.24623660438        296.534678559083         298.72986959772        16.4055906299081                       0                       0                       0                       0                       0                       0                       0        66.4047537698693   -0.000791326912673227     0.00307662563705941   1.83100000867853E-005      0.0112657359708901     -0.0069200910728748        783.954808589126    -0.00788651125491623                       0                       0        710956.841324511        679318.546813277                       1                       1                       1 
                    7.9                    0.15     0.00957304869913276        1.13735047319448        766.514965899479       0.192850093806152       -4495.92756971838        96829.0714997858       -1974.57928628424        296.534587610986        298.741729675772        16.0320298482817                       0                       0                       0                       0                       0                       0                       0        66.5854114356565   -0.000789947986735626     0.00316810348488285   1.83100000867853E-005      0.0115007880017246    -0.00708392300850981        766.799967517775    -0.00803014529034856                       0                       0        716646.289690198        684836.228023543                       1                       1                       1 
                    7.9                    0.15     0.00980653769179453        1.13735084460894        749.367586906212       0.193373360258185       -4495.92737128617        96829.0714997858       -1960.91216850693        296.534496662889        298.753590134409        15.6584690666553                       0                       0                       0                       0                       0                       0                       0        66.7660705286355   -0.000788578048981503     0.00325945721708594   1.83100000867853E-005       0.011735835572585    -0.00725378216940164        749.644932348351    -0.00817175254049431                       0                       0        722335.738055885        690353.909233809                       1                       1                       1 
                    7.9                    0.15      0.0100400266844563        1.13735121566229        733.827105574492       0.193873414310528       -4495.92718205102        96829.0714997858       -1947.77945194693        296.534401301062        298.764989315686        15.3184333831943                       0                       0                       0                       0                       0                       0                       0        66.9387142782525   -0.000787018376982883     0.00335339885504339   1.83100000867853E-005      0.0119664596712794     -0.0074127198736452        734.098862578526    -0.00822750358903271                       0                       0        727761.483541067        695615.848879105                       1                       1                       1 
                    7.9                    0.15      0.0102735156771181        1.13735158644122        719.507837388332       0.194355827359183       -4495.92699980576        96829.0714997858       -1935.05287064113         296.53430258488        298.776037934517        15.0038761676459                       0                       0                       0                       0                       0                       0                       0        67.1052665119701   -0.000785314510211404     0.00344930725566896   1.83100000867853E-005      0.0121937220111744    -0.00756335756152676        719.775577403114    -0.00821800504395632                       0                       0        732986.819609212        700683.429563097                       1                       1                       1 
                    7.9                    0.15      0.0105070046697799        1.13735195870681        705.188537233078       0.194838235576199       -4495.92682364985        96829.0714997858       -1922.32646897119        296.534203868698        298.787086553348        14.6893189520976                       0                       0                       0                       0                       0                       0                       0        67.2718171282038   -0.000783613385191579     0.00354530889182076   1.83100000867853E-005      0.0124209897053613    -0.00770598955525098        705.452069205211    -0.00820570566998971                       0                       0        738212.155677357        705751.010247089                       1                       1                       1 
                    7.9                    0.15      0.0107404936624416        1.13735232948574        690.869269046918       0.195320648624854       -4495.92664140459        96829.0714997858       -1909.59988766538        296.534105152516         298.79813517218        14.3747617365492                       0                       0                       0                       0                       0                       0                       0        67.4383693619214     -0.0007819095184201     0.00364121729244632   1.83100000867853E-005      0.0126482520452563    -0.00785662724313253        691.128784029799    -0.00819620712491332                       0                       0        743437.491745502        710818.590931082                       1                       1                       1 
                    7.9                    0.15      0.0109739826551034        1.13735268367951        677.840042738455       0.195782647665318       -4495.92652861559        96829.0714997858       -1897.34750594409        296.534010851968        298.808766210352        14.0874779461582                       0                       0                       0                       0                       0                       0                       0        67.5978729684163    -0.00078017519089745     0.00373705158573722   1.83100000867853E-005      0.0128709495312346     -0.0080281716826262        678.095628454579    -0.00822334669172969                       0                       0        748429.095437383        715659.495730551                       1                       1                       1 
                    7.9                    0.15      0.0112074716477652        1.13735302426558        665.869262643475       0.196227897536619       -4495.92647281397        96829.0714997858       -1885.48419279709        296.533920174332        298.819054634333        13.8225713003345                       0                       0                       0                       0                       0                       0                       0        67.7515933573943   -0.000778415870939536     0.00383282508023444   1.83100000867853E-005      0.0130899016718606    -0.00821686855160308        666.120991072507    -0.00828054567410303                       0                       0        753228.927720152        720314.418791068                       1                       1                       1 
                    7.9                    0.15      0.0114409606404269        1.13735336336499        653.898556381881       0.196673142018785        -4495.9264231017        96829.0714997858       -1873.62108059869        296.533829496697        298.829343058314        13.5576646545108                       0                       0                       0                       0                       0                       0                       0        67.9053119385962   -0.000776660528227404      0.0039282543146737   1.83100000867853E-005      0.0133088601307832    -0.00839926772228455        654.146632278257    -0.00834670847269955                       0                       0        758028.760002921        724969.341851586                       1                       1                       1 
                    7.9                    0.15      0.0116744496330887        1.13735370395106        641.927776286901       0.197118391890086       -4495.92636730008        96829.0714997858       -1861.75776745169        296.533738819062        298.839631482295        13.2927580086871                       0                       0                       0                       0                       0                       0                       0        68.0590323275743    -0.00077490120826949     0.00402402780917092   1.83100000867853E-005      0.0135278122714092    -0.00858796459126143        642.171994896186     -0.0084039074550729                       0                       0         762828.59228569        729624.264912104                       1                       1                       1 
                    7.9                    0.15      0.0119079386257505        1.13735404843558        630.297617170615       0.197557748762901       -4495.92627657515        96829.0714997858       -1850.03243756407        296.533647192785         298.84979939686        13.0351285921718                       0                       0                       0                       0                       0                       0                       0        68.2107180286782   -0.000773134726068393     0.00412006963177972   1.83100000867853E-005      0.0137452214846885     -0.0087473362073907        630.538092238618    -0.00847263995147363                       0                       0        767560.488718868        734213.303138681                       1                       1                       1 
                    7.9                    0.15      0.0121414276184123         1.1373544114067         620.28269197894       0.197969160876948       -4495.92602024244        96829.0714997858       -1838.96142803621        296.533551068021        298.859395852502        12.8120079945851                       0                       0                       0                       0                       0                       0                       0        68.3527551846634   -0.000771334287396846     0.00421738387947866   1.83100000867853E-005      0.0139553140945783    -0.00876764264208944        620.519962888131    -0.00859606548268129                       0                       0        771970.231509087        738489.913694186                       1                       1                       1 
                    7.9                    0.15       0.012374916611074        1.13735477437781        610.267766787264       0.198380572990996       -4495.92576390974        96829.0714997858       -1827.89041850836        296.533454943256        298.868992308144        12.5888873969984                       0                       0                       0                       0                       0                       0                       0        68.4947923406486   -0.000769533848725299      0.0043146981271776   1.83100000867853E-005      0.0141654067044681    -0.00878794907678818        610.501833537643    -0.00871949101388896                       0                       0        776379.974299306        742766.524249691                       1                       1                       1 
                    7.9                    0.15      0.0126084056037358        1.13735513883559        600.252856057798       0.198791980273405       -4495.92550148768        96829.0714997858       -1816.81958557169        296.533358818492        298.878588383203        12.3657667994117                       0                       0                       0                       0                       0                       0                       0        68.6368277840038   -0.000767729155511404     0.00441229188400847   1.83100000867853E-005      0.0143755069334802     -0.0088088722422802         600.48375670781     -0.0088372146888877                       0                       0        780789.717089526        747043.134805196                       1                       1                       1 
                    7.9                    0.15      0.0128418945963976         1.1373555018067        590.237930866123       0.199203392387452       -4495.92524515497        96829.0714997858       -1805.74857604384        296.533262693728        298.888184838845        12.1426462018249                       0                       0                       0                       0                       0                       0                       0        68.7788649399891   -0.000765928716839858     0.00450960613170741   1.83100000867853E-005        0.01458559954337    -0.00882917867697894        590.465627357323    -0.00896064022009537                       0                       0        785199.459879745          751319.7453607                       1                       1                       1 
