VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Absolute Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Aspect Ratio"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.13731369248265        59982.6583356449   1.00000000362749E-015       -4495.93556202429        96829.0636872858       -4495.93556202429        296.544147102018        296.544147102018        267.114624023438                       0      0.0011022055457513  -1.57297133732178E-008       0.529819527679463         9.3562096907809   -0.000129696840854152  -8.93556978162929E-013                       0                       0                       0   1.83100000867853E-005   8.30755903701596E-005       0.818931592754701        60040.1258632803      0.0019045777807525        8.90790312666622        11.0642499923706        10792.5120656799        10475.5120663554                       1                       1                       1 
                    7.9                    0.15    0.000233488992661775        1.13733366933804        23495.8896179819       0.122980166880161       -4495.93559020322        96829.0636872858       -3470.55292648869        296.538941474304        297.436550176492        204.810723252189                       0                       0                       0                       0                       0                       0                       0        42.4617142814719   -0.000585065945284732   2.78786573194724E-005   1.83100000867853E-005    0.000381568328626173       0.331010167168906        23512.0156348537    -0.00143265034950212                       0                       0        96168.8089190203         83091.257862314                       1                       1                       1 
                    7.9                    0.15    0.000466977985323549        1.13733415034552        12964.4243772853       0.134558992484357       -4495.93559056355        96829.0636872858       -3268.42970114692        296.538818336389        297.613380031996        157.894541712215                       0                       0                       0                       0                       0                       0                       0        46.4595591525691   -0.000641717777367681    0.000100678739307213   1.83100000867853E-005    0.000702418820125371       0.183368243727735        12972.2173537664    -0.00328215168354052                       0                       0        159199.810522598        144219.323512717                       1                       1                       1 
                    7.9                    0.15    0.000700466977985323        1.13733460062942        8981.80492594991       0.141751528875119       -4495.93547923103        96829.0636872858       -3133.61236725602        296.538703063712        297.731259538966        128.653229102698                       0                       0                       0                       0                       0                       0                       0        48.9429350233204   -0.000676413429061141    0.000160997777535839   1.83100000867853E-005      0.0010234148622318       0.121304846107286        8986.83248852903    -0.00389136380612114                       0                       0        209009.162416071        192524.907353787                       1                       1                       1 
                    7.9                    0.15    0.000933955970647098        1.13733509536096        6857.71728533116       0.147028825967199       -4495.93509810053        96829.0636872858       -3030.32251620513        296.538576412437        297.821562020456        108.450471322246                       0                       0                       0                       0                       0                       0                       0        50.7650332134611   -0.000700602851364124    0.000215792408614332   1.83100000867853E-005     0.00134261284432389      0.0858876400355213        6861.37857045726    -0.00466311945534576                       0                       0        250426.747674661        232692.075990761                       1                       1                       1 
                    7.9                    0.15     0.00116744496330887         1.1373355410428        5539.34695493766       0.151206959433332        -4495.9348478708        96829.0636872858       -2945.91961863167        296.538447439681        297.895313735086        93.6331065650832                       0                       0                       0                       0                       0                       0                       0        52.2076154891902   -0.000718063034063126    0.000263028036306292   1.83100000867853E-005      0.0016595972491163      0.0632477580439418        5542.23144040516    -0.00530893750939965                       0                       0        285926.653519304        267120.222773236                       1                       1                       1 
                    7.9                    0.15     0.00140093395597065        1.13733597406535        4668.12824922833       0.154617420450048       -4495.93497961953        96829.0636872858       -2875.15903781569        296.538335824739        297.957148848621        82.5485616830609                       0                       0                       0                       0                       0                       0                       0        53.3851444963192   -0.000731286911454574    0.000329318588522708   1.83100000867853E-005     0.00197399614584011      0.0509556975913725        4670.47109020891    -0.00538304195120677                       0                       0        316648.800160722        296914.853177957                       1                       1                       1 
                    7.9                    0.15     0.00163442294863242        1.13733651767117        4023.12829224507        0.15756032160481       -4495.93486642298        96829.0636872858       -2812.92730164939        296.538196661651        298.011492632156        73.6713351449445                       0                       0                       0                       0                       0                       0                       0        54.4012352943761   -0.000742438204191075    0.000394919281667094   1.83100000867853E-005     0.00228609018943105      0.0421754823249478        4025.10354842877    -0.00542871817474205                       0                       0        344149.142936376        323584.947509812                       1                       1                       1 
                    7.9                    0.15      0.0018679119412942         1.1373370747378        3539.08176512638       0.160118646473924       -4495.93435917578        96829.0636872858       -2757.85295290707        296.538068956632        298.059591047625        66.5432826543606                       0                       0                       0                       0                       0                       0                       0        55.2845395875731   -0.000751734513842776    0.000466535192835586   1.83100000867853E-005     0.00259564440293646       0.034304720879473        3540.77849907835    -0.00591915132939047                       0                       0        368804.520140714        347495.967135696                       1                       1                       1 
                    7.9                    0.15     0.00210140093395597        1.13733746382974        3164.71345297944       0.162375983268004       -4495.93457088467        96829.0636872858       -2708.48658566374        296.537953533992        298.102679798837        60.7226731318146                       0                       0                       0                       0                       0                       0                       0        56.0639275822444    -0.00075932066825188    0.000547837646880554   1.83100000867853E-005      0.0029025911219575      0.0284020991233872        3166.20501487961    -0.00593896292786102                       0                       0        391093.934064688        369112.453039298                       1                       1                       1 
                    7.9                    0.15     0.00233488992661774        1.13733787418695        2861.45505804408       0.164413288407033       -4495.93433893693        96829.0636872858       -2663.35882478695        296.537834515407        298.142064624309        55.8137357388263                       0                       0                       0                       0                       0                       0                       0        56.7673401170574   -0.000765630150728163    0.000616618020020941   1.83100000867853E-005     0.00320713732944803      0.0233904278420954        2862.77929143479    -0.00615373995307212                       0                       0        411568.939269476        388969.308086951                       1                       1                       1 
                    7.9                    0.15     0.00256837891927952        1.13733830398219        2611.23846792127       0.166269544959101       -4495.93411279241        96829.0636872858       -2621.76352990726        296.537724487825        298.178373726237        51.6229948957634                       0                       0                       0                       0                       0                       0                       0        57.4082449087381   -0.000770874364339388    0.000690214138274955   1.83100000867853E-005     0.00350930390272323      0.0197340263518577        2612.41431714911    -0.00606456001276351                       0                       0        430497.204187271        407326.119673418                       1                       1                       1 
                    7.9                    0.15     0.00280186791194129        1.13733884284477        2406.98843009965       0.167951719448998       -4495.93391673896        96829.0636872858       -2583.61063623853        296.537598577766        298.211652760421        48.0876570821737                       0                       0                       0                       0                       0                       0                       0         57.989039487555   -0.000775391754699584    0.000757715678375297   1.83100000867853E-005     0.00380867361087094       0.017352969969929        2408.07521454367    -0.00612103241837047                       0                       0        447884.713153249        424188.691463947                       1                       1                       1 
                    7.9                    0.15     0.00303535690460307        1.13733928164685        2232.46031885249       0.169509388010133       -4495.93358430738        96829.0636872858       -2547.95105983393        296.537480495695        298.242746229861        44.9969922362309                       0                       0                       0                       0                       0                       0                       0        58.5268477109549   -0.000779678841826084    0.000834180302140043   1.83100000867853E-005     0.00410562131704977      0.0146529055105607        2233.45012502275    -0.00628016616107504                       0                       0        464135.829696864        439949.179060484                       1                       1                       1 
