VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0        1.12200844287872                       0                       0                       0                       0                       0        -4224.5517578125                       0   1.83128449862124E-005      0.0469315610826015        297.045440673828            300965.15625       0.245379880070686                    1007       0.271679878234863   9.99999974737875E-005    0.000219306748476811        22.1469287872314 
    0.00400200100050025                    0.15                       0        1.12168566753651                       0                       0                       0                       0                       0       -4227.54518348041       -245.325674617095   1.83164816255736E-005      0.0437706406151372        297.312462612532        300702.119888069       0.228898347229168                    1007       0.255198345393345   9.99999974737875E-005    0.000204576479697697        22.0354997091976 
     0.0080040020010005                    0.15                       0        1.12136289219429                       0                       0                       0                       0                       0       -4230.53860914832       -490.651349234189   1.83201182649348E-005      0.0406097201476728        297.579484551236        300439.083526138        0.21241681438765                    1007       0.238716812551827   9.99999974737875E-005    0.000189846210918583        21.9240706311637 
     0.0120060030015008                    0.15                       0        1.12104011685208                       0                       0                       0                       0                       0       -4233.53203481624       -735.977023851284   1.83237549042959E-005      0.0374487996802084        297.846506489939        300176.047164207       0.195935281546131                    1007       0.222235279710308   9.99999974737875E-005    0.000175115942139469        21.8126415531298 
      0.016008004002001                    0.15                       0        1.12061762290934                       0                       0                       0                       0                       0       -4236.94806582979       -899.093400826392    1.8328592338729E-005      0.0338840193984999        298.023944192555        300163.841717734       0.177719184842749                    1007       0.204019183006926   9.99999974737875E-005    0.000158835419467599        21.6435525855045 
     0.0200100050025013                    0.15                       0        1.12014439053509                       0                       0                       0                       0                       0       -4240.57912525599       -1020.38036187283   1.83340407570524E-005      0.0301137487327175        298.155799991671        300279.263084667       0.158620514083707                    1007       0.184920512247884   9.99999974737875E-005    0.000141766102623596        21.4451253365254 
     0.0240120060030015                    0.15                       0        1.11967115816085                       0                       0                       0                       0                       0       -4244.21018468218       -1141.66732291928   1.83394891753759E-005      0.0263434780669352        298.287655790786        300394.684451601       0.139521843324666                    1007       0.165821841488843   9.99999974737875E-005    0.000124696785779593        21.2466980875463 
     0.0280140070035018                    0.15                       0        1.11927733831611                       0                       0                       0                       0                       0       -4247.02222497968       -1251.17360236515   1.83440558934105E-005      0.0235244770417397        298.395963896865        300491.437421836       0.125556167380967                    1007       0.151856166271939   9.99999974737875E-005    0.000112215050114361        21.0632685384135 
      0.032016008004002                    0.15                       0        1.11904804494275                       0                       0                       0                       0                       0       -4248.13742564642       -1336.27272608472   1.83467959093081E-005       0.022676311579606         298.45548601327        300549.513303527       0.122225003772643                    1007        0.14852500489618   9.99999974737875E-005    0.000109237841609248         20.910911146911 
     0.0360180090045022                    0.15                       0        1.11881875156939                       0                       0                       0                       0                       0       -4249.25262631316        -1421.3718498043   1.83495359252056E-005      0.0218281461174724        298.515008129675        300607.589185218       0.118893840164319                    1007       0.145193843520421   9.99999974737875E-005    0.000106260633104135        20.7585537554086 
     0.0400200100050025                    0.15                       0        1.11858945819603                       0                       0                       0                       0                       0        -4250.3678269799       -1506.47097352387   1.83522759411032E-005      0.0209799806553387         298.57453024608        300665.665066908       0.115562676555995                    1007       0.141862682144662   9.99999974737875E-005    0.000103283424599023        20.6061963639061 
     0.0440220110055027                    0.15                       0        1.11846544016236                       0                       0                       0                       0                       0       -4251.25151736024       -1567.24026045005   1.83537182522884E-005      0.0206000281049646        298.605167803018         300696.24545085       0.114544805707694                    1007       0.140844806909501   9.99999974737875E-005     0.00010237370911434         20.490812857906 
      0.048024012006003                    0.15                       0        1.11834266693846                       0                       0                       0                       0                       0       -4252.13247028788       -1627.72186349523   1.83551452189921E-005      0.0202256118559119        298.635463819556         300726.50071911       0.113554287983245                    1007       0.139854284719922   9.99999974737875E-005    0.000101488440337669        20.3758665431196 
     0.0520260130065033                    0.15                       0        1.11821989371456                       0                       0                       0                       0                       0       -4253.01342321551        -1688.2034665404   1.83565721856959E-005      0.0198511956068591        298.665759836095        300756.755987369       0.112563770258796                    1007       0.138863762530343   9.99999974737875E-005    0.000100603171560998        20.2609202283332 
     0.0560280140070035                    0.15                       0        1.11813096006612                       0                       0                       0                       0                       0       -4253.78892058334       -1738.16349593254   1.83575853618837E-005      0.0195723336409887        298.687214304174        300778.237962731        0.11194946924751                    1007       0.138249461414696   9.99999974737875E-005    0.000100054143421448        20.1633265687562 
     0.0600300150075038                    0.15                       0        1.11806016095941                       0                       0                       0                       0                       0       -4254.50790458706       -1782.48504098241   1.83583767887951E-005      0.0193446789704647        298.703930609103        300795.018352926       0.111536781808148                    1007         0.1378367762079   9.99999974737875E-005   9.96853057771752E-005        20.0750321526119 
      0.064032016008004                    0.15                       0        1.11798936185269                       0                       0                       0                       0                       0       -4255.22688859078       -1826.80658603228   1.83591682157064E-005      0.0191170242999407        298.720646914033        300811.798743122       0.111124094368786                    1007       0.137424091001103   9.99999974737875E-005   9.93164681329025E-005        19.9867377364677 
     0.0680340170085043                    0.15                       0        1.11792665728931                       0                       0                       0                       0                       0       -4255.89894092554       -1867.81808225891   1.83598640141863E-005      0.0189100139731986        298.735336937267        300826.554183342       0.110770938820157                    1007       0.137070937685039   9.99999974737875E-005   9.90008375320149E-005        19.9042068145584 
     0.0720360180090045                    0.15                       0        1.11788164877546                       0                       0                       0                       0                       0       -4256.46839264359       -1901.59324834537    1.8360350752638E-005      0.0187481356958946        298.745597163816        300836.882738244       0.110547930117754                    1007       0.136847931215201   9.99999974737875E-005    9.8801526584485E-005        19.8342758720669 
     0.0760380190095048                    0.15                       0         1.1178366402616                       0                       0                       0                       0                       0       -4257.03784436163       -1935.36841443183   1.83608374910896E-005      0.0185862574185906        298.755857390365        300847.211293147       0.110324921415352                    1007       0.136624924745364   9.99999974737875E-005   9.86022156369551E-005        19.7643449295754 
