VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11177400350571                       0                       0                       0                       0                       0        -4495.9606262207         -4346.244921875   1.84025748012573E-005     0.00946855787187815        299.635451889038         301732.90546875      0.0442455898504704                    1007      0.0705455898307264           3277086.59375                       0   3.95442210447072E-005        4.97792508602142 
                    7.9                    0.15   1.00033344448149E-006        1.11178074942386       0.404373205832923    3.7136369782346E-010   1.19389116274604E-007       0.404373205832923     0.00116705326795074        -4495.9606262207       -4344.52919860005   1.84024886251938E-005     0.00927912328273022        299.633102778364        301735.307206829      0.0448300745200474                    1007      0.0711300745375687        3256149.22962863       0.689538203306381   4.00666006536551E-005        4.87833337537603 
                    7.9                    0.15   2.00066688896299E-006        1.11178749534201       0.808746411665847   7.42727395646921E-010   2.38778232549208E-007       0.808746411665847     0.00233410653590149        -4495.9606262207       -4342.81347532511   1.84024024491303E-005      0.0090896886935823        299.630753667691        301737.708944909      0.0454145591896243                    1007      0.0717145592444109        3235211.86550726        1.37907640661276    4.0588980262603E-005        4.77874166473063 
                    7.9                    0.15   3.00100033344448E-006        1.11179424126015        1.21311961749877   1.11409109347038E-009   3.58167348823812E-007        1.21311961749877     0.00350115980385223        -4495.9606262207       -4341.09775205016   1.84023162730668E-005     0.00890025410443438        299.628404557017        301740.110682988      0.0459990438592013                    1007      0.0722990439512532        3214274.50138589        2.06861460991914   4.11113598715508E-005        4.67914995408523 
                    7.9                    0.15   4.00133377792597E-006         1.1118009871783        1.61749282333169   1.48545479129384E-009   4.77556465098416E-007        1.61749282333169     0.00466821307180298        -4495.9606262207       -4339.38202877522   1.84022300970033E-005     0.00871081951528646        299.626055446344        301742.512421067      0.0465835285287782                    1007      0.0728835286580955        3193337.13726452        2.75815281322553   4.16337394804987E-005        4.57955824343984 
                    7.9                    0.15   5.00166722240747E-006        1.11180773309645        2.02186602916462    1.8568184891173E-009   5.96945581373021E-007        2.02186602916462     0.00583526633975372        -4495.9606262207       -4337.66630550027   1.84021439209398E-005     0.00852138492613854         299.62370633567        301744.914159147      0.0471680131983552                    1007      0.0734680133649378        3172399.77314316        3.44769101653191   4.21561190894465E-005        4.47996653279444 
                    7.9                    0.15   6.00200066688896E-006         1.1118144790146        2.42623923499754   2.22818218694076E-009   7.16334697647625E-007        2.42623923499754     0.00700231960770447        -4495.9606262207       -4335.95058222533   1.84020577448762E-005     0.00833195033699061        299.621357224996        301747.315897226      0.0477524978679321                    1007        0.07405249807178        3151462.40902179        4.13722921983829   4.26784986983944E-005        4.38037482214904 
                    7.9                    0.15   7.00233411137046E-006        1.11182122493275        2.83061244083046   2.59954588476422E-009   8.35723813922229E-007        2.83061244083046     0.00816937287565521        -4495.9606262207       -4334.23485895038   1.84019715688127E-005     0.00814251574784269        299.619008114323        301749.717635306      0.0483369825375091                    1007      0.0746369827786223        3130525.04490042        4.82676742314467   4.32008783073423E-005        4.28078311150365 
                    7.9                    0.15   8.00266755585195E-006         1.1118279708509        3.23498564666339   2.97090958258768E-009   9.55112930196833E-007        3.23498564666339     0.00933642614360596        -4495.9606262207       -4332.51913567544   1.84018853927492E-005     0.00795308115869477        299.616659003649        301752.119373385       0.048921467207086                    1007      0.0752214674854646        3109587.68077905        5.51630562645105   4.37232579162901E-005        4.18119140085825 
                    7.9                    0.15   9.00300100033344E-006        1.11183471676905        3.63935885249631   3.34227328041114E-009   1.07450204647144E-006        3.63935885249631      0.0105034794115567        -4495.9606262207       -4330.80341240049   1.84017992166857E-005     0.00776364656954685        299.614309892976        301754.521111464       0.049505951876663                    1007      0.0758059521923069        3088650.31665768        6.20584382975743    4.4245637525238E-005        4.08159969021285 
