VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15   3.70123374458153E-005        1.11210730237766         14.911345028699   1.56043092252047E-005   9.31710730600364E-006         14.911345028699      0.0430381548086226       -4500.42352294922       -4288.01933869927    1.8397653054742E-005    0.000630871667385773        299.498567332121        301796.601679857      0.0155267431714962                    1007      0.0418267424894066    4.4344418351584E-005   1.38769302468776E-005        1.15839581888625 
                    7.9                    0.15   3.80126708902968E-005        1.11211485203434        15.3143556663899   1.60259843888586E-005    9.5689117438179E-006        15.3143556663899      0.0442013519725632       -4500.42352294922       -4284.88410416797   1.83975566343534E-005    0.000582280781579466        299.495639720508        301799.100637843      0.0159427130739032                    1007      0.0422427123728899   4.48672404862633E-005   1.42487007635633E-005        1.06917423323074 
                    7.9                    0.15   3.90130043347783E-005        1.11212240169101        15.7173663040808   1.64476595525124E-005   9.82071618163215E-006        15.7173663040808      0.0453645491365038       -4500.42352294922       -4281.74886963667   1.83974602139648E-005    0.000533689895773159        299.492712108896        301801.599595829      0.0163586829763103                    1007      0.0426586822563731   4.53900626209427E-005    1.4620471280249E-005       0.979952647575238 
                    7.9                    0.15   4.00133377792598E-005        1.11212995134769        16.1203769417717   1.68693347161663E-005   1.00725206194464E-005        16.1203769417717      0.0465277463004444       -4500.42352294922       -4278.61363510537   1.83973637935761E-005    0.000485099009966852        299.489784497283        301804.098553815      0.0167746528787173                    1007      0.0430746521398564   4.59128847556221E-005   1.49922417969347E-005       0.890731061919732 
                    7.9                    0.15   4.10136712237412E-005        1.11213750100436        16.5233875794626   1.72910098798201E-005   1.03243250572607E-005        16.5233875794626       0.047690943464385       -4500.42352294922       -4275.47840057406   1.83972673731875E-005    0.000436508124160545         299.48685688567        301806.597511801      0.0171906227811244                    1007      0.0434906220233396   4.64357068903015E-005   1.53640123136204E-005       0.801509476264225 
                    7.9                    0.15   4.20140046682227E-005        1.11214505066103        16.9263982171535    1.7712685043474E-005   1.05761294950749E-005        16.9263982171535      0.0488541406283256       -4500.42352294922       -4272.34316604276   1.83971709527989E-005    0.000387917238354238        299.483929274058        301809.096469787      0.0176065926835314                    1007      0.0439065919068229   4.69585290249809E-005   1.57357828303061E-005       0.712287890608719 
                    7.9                    0.15   4.30143381127042E-005        1.11215260031771        17.3294088548444   1.81343602071278E-005   1.08279339328892E-005        17.3294088548444      0.0500173377922662       -4500.42352294922       -4269.20793151146   1.83970745324103E-005    0.000339326352547931        299.481001662445        301811.595427773      0.0180225625859385                    1007      0.0443225617903061   4.74813511596602E-005   1.61075533469919E-005       0.623066304953213 
                    7.9                    0.15   4.40146715571857E-005        1.11216014997438        17.7324194925353   1.85560353707817E-005   1.10797383707034E-005        17.7324194925353      0.0511805349562068       -4500.42352294922       -4266.07269698016   1.83969781120217E-005    0.000290735466741623        299.478074050832        301814.094385759      0.0184385324883455                    1007      0.0447385316737894   4.80041732943396E-005   1.64793238636776E-005       0.533844719297706 
                    7.9                    0.15   4.50150050016672E-005        1.11216769963105        18.1354301302262   1.89777105344355E-005   1.13315428085177E-005        18.1354301302262      0.0523437321201474       -4500.42352294922       -4262.93746244886    1.8396881691633E-005    0.000242144580935316        299.475146439219        301816.593343745      0.0188545023907526                    1007      0.0451545015572726    4.8526995429019E-005   1.68510943803633E-005       0.444623133642199 
                    7.9                    0.15   4.60153384461487E-005        1.11217524928773        18.5384407679171   1.93993856980894E-005   1.15833472463319E-005        18.5384407679171       0.053506929284088       -4500.42352294922       -4259.80222791756   1.83967852712444E-005    0.000193553695129009        299.472218827607        301819.092301731      0.0192704722931596                    1007      0.0455704714407559   4.90498175636984E-005    1.7222864897049E-005       0.355401547986693 
                    7.9                    0.15   4.70156718906302E-005         1.1121827989444         18.941451405608   1.98210608617432E-005   1.18351516841462E-005         18.941451405608      0.0546701264480286       -4500.42352294922       -4256.66699338626   1.83966888508558E-005    0.000144962809322702        299.469291215994        301821.591259717      0.0196864421955667                    1007      0.0459864413242391   4.95726396983778E-005   1.75946354137347E-005       0.266179962331188 
                    7.9                    0.15   4.80160053351117E-005        1.11219034860107        19.3444620432989   2.02427360253971E-005   1.20869561219604E-005        19.3444620432989      0.0558333236119692       -4500.42352294922       -4253.53175885496   1.83965924304672E-005   9.63719235163947E-005        299.466363604381        301824.090217703      0.0201024120979737                    1007      0.0464024112077224   5.00954618330571E-005   1.79664059304204E-005        0.17695837667568 
                    7.9                    0.15   4.90163387795932E-005        1.11219789825775        19.7474726809898   2.06644111890509E-005   1.23387605597747E-005        19.7474726809898      0.0569965207759098       -4500.42352294922       -4250.39652432365   1.83964960100785E-005   4.77810377100878E-005        299.463435992769        301826.589175689      0.0205183820003808                    1007      0.0468183810912056   5.06182839677365E-005   1.83381764471061E-005      0.0877367910201743 
                    7.9                    0.15   5.00166722240747E-005        1.11220551939694        20.1467011888879   2.10821135504143E-005   1.25922365771107E-005        20.1467011888879      0.0581488093094099       -4500.42352294922       -4247.23897207241   1.83963986776187E-005                       0        299.460507591689        301829.059817778      0.0209515511834163                    1007      0.0472515502542091   5.11490959259462E-005   1.87253187139769E-005   2.23110888232461E-006 
                    7.9                    0.15   5.10170056685562E-005         1.1122173580045        20.3227840388555   2.12654205764795E-005   1.29443357862973E-005        20.3227840388555      0.0586574886464715       -4500.42352294922       -4242.76467434336   1.83962475329556E-005                       0        299.457532612042        301829.859821939      0.0223994779242389                    1007      0.0486994769096071   5.21513074727674E-005    2.0019394242398E-005   2.19016710246521E-006 
                    7.9                    0.15   5.20173391130377E-005        1.11222919661207         20.498866888823   2.14487276025447E-005    1.3296434995484E-005         20.498866888823      0.0591661679835331       -4500.42352294922       -4238.29037661431   1.83960963882925E-005                       0        299.454557632396        301830.659826101      0.0238474046650615                    1007      0.0501474035650052   5.31535190195887E-005   2.13134697708191E-005   2.14922532260581E-006 
                    7.9                    0.15   5.30176725575192E-005        1.11224103521964        20.6749497387905   2.16320346286099E-005   1.36485342046707E-005        20.6749497387905      0.0596748473205948       -4500.42352294922       -4233.81607888526   1.83959452436295E-005                       0        299.451582652749        301831.459830263      0.0252953314058841                    1007      0.0515953302204032     5.415573056641E-005   2.26075452992402E-005   2.10828354274641E-006 
                    7.9                    0.15   5.40180060020007E-005         1.1122528738272         20.851032588758   2.18153416546751E-005   1.40006334138573E-005         20.851032588758      0.0601835266576564       -4500.42352294922       -4229.34178115621   1.83957940989664E-005                       0        299.448607673103        301832.259834424      0.0267432581467067                    1007      0.0530432568758013   5.51579421132312E-005   2.39016208276613E-005   2.06734176288701E-006 
                    7.9                    0.15   5.50183394464822E-005        1.11226471243477        21.0271154387255   2.19986486807403E-005    1.4352732623044E-005        21.0271154387255      0.0606922059947181       -4500.42352294922       -4224.86748342717   1.83956429543033E-005                       0        299.445632693456        301833.059838586      0.0281911848875292                    1007      0.0544911835311994   5.61601536600525E-005   2.51956963560824E-005   2.02639998302761E-006 
                    7.9                    0.15   5.60186728909637E-005        1.11227655104234        21.2031982886931   2.21819557068055E-005   1.47048318322306E-005        21.2031982886931      0.0612008853317797       -4500.42352294922       -4220.39318569812   1.83954918096403E-005                       0         299.44265771381        301833.859842748      0.0296391116283518                    1007      0.0559391101865975   5.71623652068738E-005   2.64897718845036E-005   1.98545820316821E-006 
                    7.9                    0.15   5.70190063354451E-005        1.11228838964991        21.3792811386606   2.23652627328707E-005   1.50569310414173E-005        21.3792811386606      0.0617095646688414       -4500.42352294922       -4215.91888796907   1.83953406649772E-005                       0        299.439682734163        301834.659846909      0.0310870383691744                    1007      0.0573870368419955    5.8164576753695E-005   2.77838474129247E-005   1.94451642330881E-006 
                    7.9                    0.15   5.80193397799267E-005        1.11230022825747        21.5553639886281   2.25485697589359E-005    1.5409030250604E-005        21.5553639886281       0.062218244005903       -4500.42352294922       -4211.44459024003   1.83951895203141E-005                       0        299.436707754517        301835.459851071       0.032534965109997                    1007      0.0588349634973936   5.91667883005163E-005   2.90779229413458E-005   1.90357464344941E-006 
                    7.9                    0.15   5.90196732244081E-005        1.11231206686504        21.7314468385956   2.27318767850011E-005   1.57611294597906E-005        21.7314468385956      0.0627269233429647       -4500.42352294922       -4206.97029251098   1.83950383756511E-005                       0         299.43373277487        301836.259855233      0.0339828918508196                    1007      0.0602828901527916   6.01689998473376E-005   3.03719984697669E-005   1.86263286359001E-006 
                    7.9                    0.15   6.00200066688896E-005        1.11232390547261        21.9075296885631   2.29151838110663E-005   1.61132286689773E-005        21.9075296885631      0.0632356026800263       -4500.42352294922       -4202.49599478193    1.8394887230988E-005                       0        299.430757795224        301837.059859394      0.0354308185916421                    1007      0.0617308168081897   6.11712113941588E-005    3.1666073998188E-005   1.82169108373061E-006 
                    7.9                    0.15   6.10203401133711E-005        1.11233574408017        22.0836125385306   2.30984908371315E-005   1.64653278781639E-005        22.0836125385306       0.063744282017088       -4500.42352294922       -4198.02169705288   1.83947360863249E-005                       0        299.427782815577        301837.859863556      0.0368787453324647                    1007      0.0631787434635878   6.21734229409801E-005   3.29601495266091E-005   1.78074930387121E-006 
                    7.9                    0.15   6.20206735578526E-005        1.11234758268774        22.2596953884982   2.32817978631967E-005   1.68174270873506E-005        22.2596953884982      0.0642529613541496       -4500.42352294922       -4193.54739932384   1.83945849416619E-005                       0        299.424807835931        301838.659867717      0.0383266720732873                    1007      0.0646266701189858   6.31756344878014E-005   3.42542250550302E-005   1.73980752401181E-006 
                    7.9                    0.15   6.30210070023341E-005        1.11235942129531        22.4357782384657   2.34651048892619E-005   1.71695262965373E-005        22.4357782384657      0.0647616406912113       -4500.42352294922       -4189.07310159479   1.83944337969988E-005                       0        299.421832856284        301839.459871879      0.0397745988141099                    1007      0.0660745967743839   6.41778460346226E-005   3.55483005834513E-005   1.69886574415241E-006 
                    7.9                    0.15   6.40213404468156E-005        1.11237125990287        22.6118610884332   2.36484119153271E-005   1.75216255057239E-005        22.6118610884332      0.0652703200282729       -4500.42352294922       -4184.59880386574   1.83942826523357E-005                       0        299.418857876638        301840.259876041      0.0412225255549325                    1007       0.067522523429782   6.51800575814439E-005   3.68423761118724E-005   1.65792396429301E-006 
                    7.9                    0.15   6.50216738912971E-005        1.11238309851044        22.7879439384007   2.38317189413923E-005   1.78737247149106E-005        22.7879439384007      0.0657789993653345       -4500.42352294922       -4180.12450613669   1.83941315076727E-005                       0        299.415882896991        301841.059880202      0.0426704522957551                    1007        0.06897045008518   6.61822691282652E-005   3.81364516402935E-005   1.61698218443361E-006 
                    7.9                    0.15   6.60220073357786E-005        1.11239493711801        22.9640267883682   2.40150259674575E-005   1.82258239240972E-005        22.9640267883682      0.0662876787023962       -4500.42352294922       -4175.65020840765   1.83939803630096E-005                       0        299.412907917345        301841.859884364      0.0441183790365776                    1007      0.0704183767405781   6.71844806750864E-005   3.94305271687146E-005   1.57604040457421E-006 
                    7.9                    0.15   6.70223407802601E-005        1.11240677572557        23.1401096383358   2.41983329935227E-005   1.85779231332839E-005        23.1401096383358      0.0667963580394578       -4500.42352294922        -4171.1759106786   1.83938292183465E-005                       0        299.409932937698        301842.659888526      0.0455663057774002                    1007      0.0718663033959762   6.81866922219077E-005   4.07246026971357E-005   1.53509862471481E-006 
                    7.9                    0.15   6.80226742247416E-005        1.11241861433314        23.3161924883033   2.43816400195879E-005   1.89300223424706E-005        23.3161924883033      0.0673050373765195       -4500.42352294922       -4166.70161294955   1.83936780736835E-005                       0        299.406957958052        301843.459892687      0.0470142325182228                    1007      0.0733142300513742    6.9188903768729E-005   4.20186782255568E-005   1.49415684485541E-006 
                    7.9                    0.15   6.90230076692231E-005        1.11243045294071        23.4922753382708   2.45649470456531E-005   1.92821215516572E-005        23.4922753382708      0.0678137167135811       -4500.42352294922        -4162.2273152205   1.83935269290204E-005                       0        299.403982978405        301844.259896849      0.0484621592590454                    1007      0.0747621567067723   7.01911153155502E-005   4.33127537539779E-005   1.45321506499601E-006 
                    7.9                    0.15   7.00233411137046E-005        1.11244229154828        23.6683581882383   2.47482540717182E-005   1.96342207608439E-005        23.6683581882383      0.0683223960506428       -4500.42352294922       -4157.75301749146   1.83933757843573E-005                       0        299.401007998759        301845.059901011      0.0499100859998679                    1007      0.0762100833621704   7.11933268623715E-005    4.4606829282399E-005   1.41227328513661E-006 
                    7.9                    0.15   7.10236745581861E-005        1.11245413015584        23.8444410382058   2.49315610977835E-005   1.99863199700305E-005        23.8444410382058      0.0688310753877044       -4500.42352294922       -4153.27871976241   1.83932246396942E-005                       0        299.398033019112        301845.859905172      0.0513580127406905                    1007      0.0776580100175685   7.21955384091928E-005   4.59009048108202E-005   1.37133150527721E-006 
