VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0        1.11704313755035                       0                       0                       0                       0                       0        -4387.2412109375                       0    1.8351607650402E-005      0.0134637420997024          297.3916015625               301375.75     0.00769694987684488                    1007      0.0339969508349895   2.49999993684469E-005   6.87910096530686E-006        9.05096817016602 
    0.00400200100050025                    0.15                       0        1.11665324236883                       0                       0                       0                       0                       0       -4397.13067935335       -943.893071169377   1.83550976686618E-005      0.0126735797970033        297.809308004832        301232.742121061     0.00688475383032838                    1007       0.033184754788473   2.49999993684469E-005   6.15320578290557E-006         8.8673694404499 
     0.0080040020010005                    0.15                       0         1.1162633471873                       0                       0                       0                       0                       0        -4407.0201477692       -1887.78614233875   1.83585876869217E-005      0.0118834174943043        298.227014447165        301089.734242121     0.00607255778381188                    1007      0.0323725587419565   2.49999993684469E-005   5.42731060050428E-006        8.68377071073378 
     0.0120060030015008                    0.15                       0        1.11587345200577                       0                       0                       0                       0                       0       -4416.90961618505       -2831.67921350813   1.83620777051815E-005      0.0110932551916053        298.644720889497        300946.726363182     0.00526036173729537                    1007        0.03156036269544   2.49999993684469E-005   4.70141541810298E-006        8.50017198101767 
      0.016008004002001                    0.15                       0        1.11542827597614                       0                       0                       0                       0                       0       -4427.36317255307       -3247.65001165134   1.83661883509784E-005      0.0101962698818748        298.851482244418        300960.723643072      0.0043995358659492                    1007      0.0306995365928939   2.49999993684469E-005    3.9320577037262E-006        8.27103035541818 
     0.0200100050025013                    0.15                       0        1.11495497215981                       0                       0                       0                       0                       0       -4438.10374596478       -3395.00544669308   1.83706147820714E-005     0.00924493130408282        298.950911338238        301054.607678839     0.00351396635577282                    1007      0.0298139667338792   2.49999993684469E-005   3.14058555242486E-006        8.01871577020047 
     0.0240120060030015                    0.15                       0        1.11448166834348                       0                       0                       0                       0                       0       -4448.84431937649       -3542.36088173482   1.83750412131643E-005     0.00829359272629088        299.050340432057        301148.491714607     0.00262839684559644                    1007      0.0289283968748645   2.49999993684469E-005   2.34911340112351E-006        7.76640118498274 
     0.0280140070035018                    0.15                       0        1.11411956997738                       0                       0                       0                       0                       0       -4456.67914914488       -3656.51403387241   1.83784851579422E-005     0.00757213245882555        299.127103010734        301221.539941846     0.00199469066092911                    1007      0.0282946905571261   2.49999993684469E-005    1.7827424920139E-006        7.56124547864867 
      0.032016008004002                    0.15                       0        1.11398786649279                       0                       0                       0                       0                       0       -4458.49387413433        -3701.8788665573   1.83798935926108E-005     0.00732693289583171        299.156905219578        301251.420647824     0.00188279362244456                    1007       0.028182793832596   2.49999993684469E-005   1.68273518211172E-006        7.45379329574531 
     0.0360180090045022                    0.15                       0         1.1138561630082                       0                       0                       0                       0                       0       -4460.30859912378        -3747.2436992422   1.83813020272795E-005     0.00708173333283787        299.186707428421        301281.301353802        0.00177089658396                    1007       0.028070897108066   2.49999993684469E-005   1.58272787220953E-006        7.34634111284196 
     0.0400200100050025                    0.15                       0        1.11372445952362                       0                       0                       0                       0                       0       -4462.12332411323        -3792.6085319271   1.83827104619481E-005     0.00683653376984403        299.216509637265         301311.18205978     0.00165899954547545                    1007      0.0279590003835359   2.49999993684469E-005   1.48272056230735E-006         7.2388889299386 
     0.0440220110055027                    0.15                       0        1.11364242820635                       0                       0                       0                       0                       0        -4463.8585171492       -3818.06955333135   1.83834983254965E-005     0.00669458896697886        299.233152922897        301327.911940345     0.00159400354845103                    1007      0.0278940039419901   2.49999993684469E-005   1.42463079128916E-006        7.17221268920555 
      0.048024012006003                    0.15                       0         1.1135609842289                       0                       0                       0                       0                       0       -4465.59276977356       -3843.29522561574   1.83842788512107E-005     0.00655386508188549        299.249640613153        301344.486321286     0.00152956212455199                    1007      0.0278295620646013   2.49999993684469E-005   1.36703666684561E-006        7.10601859643735 
     0.0520260130065033                    0.15                       0        1.11347954025145                       0                       0                       0                       0                       0       -4467.32702239792       -3868.52089790012   1.83850593769249E-005     0.00641314119679211         299.26612830341        301361.060702226     0.00146512070065294                    1007      0.0277651201872124   2.49999993684469E-005   1.30944254240206E-006        7.03982450366914 
     0.0560280140070035                    0.15                       0         1.1134136089866                       0                       0                       0                       0                       0       -4468.81930833581       -3888.54471510658    1.8385678432069E-005     0.00629961697884153        299.279192498471        301374.202585668     0.00141339773510682                    1007      0.0277133972224234   2.49999993684469E-005   1.26321545813407E-006        6.98501241606673 
