VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11176418960094                       0                       0                       0                       0                       0       -4500.50087280274       -4389.42672729492   1.84020245797001E-005     0.00304487789107952         299.62385597229        301721.203515625     0.00361447695177049                    1007      0.0299144762801006           2692519.59375                       0   3.23041640513111E-006        5.00928763747215 
                    7.9                    0.15    0.000233488992661775        1.11313704444356        31.9333432982613   6.45392535254786E-006   7.13149048514158E-005        31.9333432982613      0.0922069070080597       -4500.50087280274       -3930.75832232288   1.83844967897877E-005                       0        299.249278874855        301859.845929381       0.373668601306836                    1007       0.399968599843542         389574.46253734        35.5051447922002    0.000333963989046146                       0 
                    7.9                    0.15    0.000466977985323549        1.11378852865667        37.5670121933235   7.30326086726263E-006    0.000163856526360794        37.5670121933235       0.108505726483277       -4500.50038452148       -3711.85007227811   1.83761898022184E-005                       0        299.076825448373        301878.819219627       0.785581692958934                    1007       0.811881706024272        186324.459024098        35.9075711136945    0.000702108758806609                       0 
                    7.9                    0.15    0.000700466977985324        1.11420663439353         40.768080325769   7.54657544918101E-006    0.000266075365747849         40.768080325769       0.117773589082707       -4500.50017022047       -3570.93408542069   1.83708626090788E-005                       0        298.965294199235        301891.213496228        1.20272352514874                    1007        1.22902351354441        123031.657474423        36.0853366033397     0.00107492668940633                       0 
                    7.9                    0.15    0.000933955970647098        1.11452277360168        43.0322175802393   7.54637093157487E-006    0.000374601020577498        43.0322175802393       0.124332005099594       -4500.49989624023       -3464.25507931821    1.8366836604198E-005                       0        298.880797904202        301900.591475114        1.62017406440881                    1007        1.64647407896426         91560.356936783         36.178581089698     0.00144802053795657                       0 
                    7.9                    0.15     0.00116744496330887        1.11477961547054        44.7872585740751   7.41799093788354E-006    0.000487951744427006        44.7872585740751       0.129417674197054       -4500.49940795899       -3377.54890234698   1.83635677714556E-005                       0        298.812121455903        301908.209848426        2.03682856867135                    1007        2.06312854636159        72762.6586387799        36.2314121560278     0.00182040286353375                       0 
                    7.9                    0.15     0.00140093395597065        1.11499417456521        46.1987091336113   7.21080806752813E-006    0.000605621260230374        46.1987091336113       0.133509085695924       -4500.49913228244       -3305.05505514875   1.83608371454681E-005                       0        298.754720378902        301914.565797325         2.4520873681968                    1007        2.47838749575246         60652.558002661        36.2601158136377     0.00219153794108862                       0 
                    7.9                    0.15     0.00163442294863242        1.11518259487913        47.4055216127282   6.96309859903994E-006    0.000726519180477023        47.4055216127282       0.137008192518701       -4500.49849285861       -3241.37054853469   1.83584400715495E-005                       0         298.70430635965        301920.138484805        2.86589080249157                    1007        2.89219087218132        51819.8544030663        36.2758156334896     0.00256137215950371                       0 
                    7.9                    0.15      0.0018679119412942        1.11534926475124        48.4465018358285    6.6882743338917E-006    0.000850560404120429        48.4465018358285        0.14002720447266       -4500.49840786547       -3185.04137700593   1.83563201128756E-005                       0        298.659734138892        301925.059280369        3.27794386951661                    1007         3.3042438229773        45272.6244466291        36.2817358213631     0.00292964189057496                       0 
                    7.9                    0.15     0.00210140093395597         1.1154985456042        49.3593155106057   6.39776572126286E-006    0.000977496505481372        49.3593155106057       0.142675112566167       -4500.49788960346       -3134.55481443872   1.83544223120678E-005                       0        298.619801497624        301929.467301852        3.68807811373548                    1007        3.71437806719617        40256.8565821918        36.2805695624761     0.00329619689536812                       0 
                    7.9                    0.15     0.00233488992661774        1.11563496828339        50.1793116496355     6.099822060258E-006     0.00110687460411884        50.1793116496355       0.145054207442967       -4500.49741352918       -3088.39758826605   1.83526873666098E-005                       0        298.583304168013        301933.486533888        4.09635803168794                    1007        4.12265798514863        36221.5791353414        36.2745206735188     0.00366109450804653                       0 
                    7.9                    0.15     0.00256837891927952        1.11576079081093        50.9234916238072    5.7987686670674E-006     0.00123851336266876        50.9234916238072       0.147213707913651       -4500.49697341895       -3045.84197949088   1.83510880196875E-005                       0        298.549677377649         301937.17641801        4.50273586790263                    1007        4.52903582136332        32911.0712243642        36.2646146094904     0.00402429214627347                       0 
                    7.9                    0.15     0.00280186791194129        1.11587612742984        51.5952585581854   5.49812508991243E-006     0.00137262383045507        51.5952585581854       0.149163442918472       -4500.49656913335       -3006.79201131808   1.83496225386935E-005                       0        298.518824688735        301940.565948519        4.90679693223388                    1007        4.93309688569457        30222.9588844218        36.2511357869185     0.00438541944480645                       0 
                    7.9                    0.15     0.00303535690460307        1.11598402856701        52.2155616820275   5.20029597345032E-006     0.00150873935647679        52.2155616820275       0.150964065478277       -4500.49619127065       -2970.27885246202   1.83482518278103E-005                       0        298.489980454681        301943.733949336        5.30879010819313                    1007        5.33509006165383        27934.4208030651        36.2351646387381     0.00474469819687566                       0 
