VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15   2.80093364454818E-005        1.11352325099812        6.15971433277505   1.51079435279771E-009   7.64352722612985E-006        6.15971433277505      0.0177947503600568       -4497.50758056641       -3553.44027082209   1.83800183033534E-005     0.00691516343518191        299.138905636062        301390.333413091       0.093486540760807                    1007       0.119786537881555    0.000114711183001884     8.355301471538E-005        13.4845516688696 
                    7.9                    0.15   2.90096698899633E-005        1.11352754903162        6.37970413037416   1.56475129396906E-009   7.91651034134877E-006        6.37970413037416      0.0184302771586303       -4497.50758056641       -3552.59829399616   1.83799635653587E-005      0.0068749432869242         299.13700062789        301394.038945143      0.0943759460994314                    1007       0.120675943182914     0.00011523658248503   8.43479152257872E-005        13.4061227073452 
                    7.9                    0.15   3.00100033344448E-005        1.11353184706511        6.59969392797327   1.61870823514041E-009    8.1894934565677E-006        6.59969392797327      0.0190658039572037       -4497.50758056641       -3551.75631717022   1.83799088273639E-005     0.00683472313866651        299.135095619718        301397.744477196      0.0952653514380559                    1007       0.121565348484273    0.000115761981968176   8.51428157361945E-005        13.3276937458208 
                    7.9                    0.15   3.10103367789263E-005        1.11353614509861        6.81968372557238   1.67266517631175E-009   8.46247657178662E-006        6.81968372557238      0.0197013307557772       -4497.50758056641       -3550.91434034429   1.83798540893692E-005      0.0067945029904088        299.133190611546        301401.450009248      0.0961547567766804                    1007       0.122454753785632    0.000116287381451323   8.59377162466017E-005        13.2492647842964 
                    7.9                    0.15   3.20106702234078E-005        1.11354044313211        7.03967352317149    1.7266221174831E-009   8.73545968700554E-006        7.03967352317149      0.0203368575543506       -4497.50758056641       -3550.07236351835   1.83797993513745E-005      0.0067542828421511        299.131285603375          301405.1555413      0.0970441621153048                    1007       0.123344159086991    0.000116812780934469   8.67326167570089E-005         13.170835822772 
                    7.9                    0.15   3.30110036678893E-005         1.1135447411656        7.25966332077059   1.78057905865445E-009   9.00844280222446E-006        7.25966332077059      0.0209723843529241       -4497.50758056641       -3549.23038669242   1.83797446133797E-005      0.0067140626938934        299.129380595203        301408.861073353      0.0979335674539293                    1007       0.124233564388351    0.000117338180417615   8.75275172674162E-005        13.0924068612476 
                    7.9                    0.15   3.40113371123708E-005         1.1135490391991         7.4796531183697   1.83453599982579E-009   9.28142591744339E-006         7.4796531183697      0.0216079111514976       -4497.50758056641       -3548.38840986649    1.8379689875385E-005      0.0066738425456357        299.127475587031        301412.566605405      0.0988229727925538                    1007        0.12512296968971    0.000117863579900762   8.83224177778235E-005        13.0139778997232 
                    7.9                    0.15   3.50116705568523E-005         1.1135533372326        7.69964291596881   1.88849294099714E-009   9.55440903266231E-006        7.69964291596881       0.022243437950071       -4497.50758056641       -3547.54643304055   1.83796351373903E-005       0.006633622397378         299.12557057886        301416.272137457      0.0997123781311783                    1007       0.126012374991069    0.000118388979383908   8.91173182882307E-005        12.9355489381988 
                    7.9                    0.15   3.60120040013338E-005        1.11355763526609        7.91963271356792   1.94244988216849E-009   9.82739214788123E-006        7.91963271356792      0.0228789647486445       -4497.50758056641       -3546.70445621462   1.83795803993955E-005      0.0065934022491203        299.123665570688         301419.97766951       0.100601783469803                    1007       0.126901780292428    0.000118914378867054   8.99122187986379E-005        12.8571199766744 
                    7.9                    0.15   3.70123374458153E-005        1.11356193329959        8.13962251116703   1.99640682333984E-009   1.01003752631002E-005        8.13962251116703      0.0235144915472179       -4497.50758056641       -3545.86247938869   1.83795256614008E-005      0.0065531821008626        299.121760562516        301423.683201562       0.101491188808427                    1007       0.127791185593787      0.0001194397783502   9.07071193090452E-005          12.77869101515 
                    7.9                    0.15   3.80126708902968E-005        1.11356623133308        8.35961230876614   2.05036376451118E-009   1.03733583783191E-005        8.35961230876614      0.0241500183457914       -4497.50758056641       -3545.02050256275   1.83794709234061E-005      0.0065129619526049        299.119855554345        301427.388733614       0.102380594147052                    1007       0.128680590895146    0.000119965177833347   9.15020198194524E-005        12.7002620536256 
                    7.9                    0.15   3.90130043347783E-005        1.11357052936658        8.57960210636525   2.10432070568253E-009    1.0646341493538E-005        8.57960210636525      0.0247855451443649       -4497.50758056641       -3544.17852573682   1.83794161854114E-005      0.0064727418043472        299.117950546173        301431.094265667       0.103269999485676                    1007       0.129569996196505    0.000120490577316493   9.22969203298596E-005        12.6218330921012 
                    7.9                    0.15   4.00133377792598E-005        1.11357482740008        8.79959190396436   2.15827764685388E-009   1.09193246087569E-005        8.79959190396436      0.0254210719429383       -4497.50758056641       -3543.33654891088   1.83793614474166E-005      0.0064325216560895        299.116045538001        301434.799797719       0.104159404824301                    1007       0.130459401497865    0.000121015976799639   9.30918208402669E-005        12.5434041305768 
                    7.9                    0.15   4.10136712237413E-005        1.11357912543357        9.01958170156347   2.21223458802522E-009   1.11923077239759E-005        9.01958170156347      0.0260565987415118       -4497.50758056641       -3542.49457208495   1.83793067094219E-005      0.0063923015078318         299.11414052983        301438.505329771       0.105048810162925                    1007       0.131348806799224    0.000121541376282786   9.38867213506742E-005        12.4649751690524 
                    7.9                    0.15   4.20140046682227E-005        1.11358342346707        9.23957149916258   2.26619152919657E-009   1.14652908391948E-005        9.23957149916258      0.0266921255400852       -4497.50758056641       -3541.65259525902   1.83792519714272E-005      0.0063520813595741        299.112235521658        301442.210861824        0.10593821550155                    1007       0.132238212100583    0.000122066775765932   9.46816218610814E-005         12.386546207528 
                    7.9                    0.15   4.30143381127042E-005        1.11358772150057        9.45956129676168   2.32014847036792E-009   1.17382739544137E-005        9.45956129676168      0.0273276523386587       -4497.50758056641       -3540.81061843308   1.83791972334324E-005     0.00631186121131639        299.110330513486        301445.916393876       0.106827620840174                    1007       0.133127617401942    0.000122592175249078   9.54765223714886E-005        12.3081172460037 
                    7.9                    0.15   4.40146715571857E-005        1.11359201953406         9.6795510943608   2.37410541153926E-009   1.20112570696326E-005         9.6795510943608      0.0279631791372321       -4497.50758056641       -3539.96864160715   1.83791424954377E-005     0.00627164106305869        299.108425505315        301449.621925928       0.107717026178798                    1007       0.134017022703301    0.000123117574732224   9.62714228818959E-005        12.2296882844793 
                    7.9                    0.15   4.50150050016672E-005        1.11359631756756         9.8995408919599   2.42806235271061E-009   1.22842401848515E-005         9.8995408919599      0.0285987059358056        -4497.5075805664       -3539.12666478121    1.8379087757443E-005     0.00623142091480099        299.106520497143        301453.327457981       0.108606431517423                    1007        0.13490642800466    0.000123642974215371   9.70663233923031E-005        12.1512593229549 
                    7.9                    0.15   4.60153384461487E-005        1.11360061560106         10.119530689559   2.48201929388196E-009   1.25572233000705E-005         10.119530689559      0.0292342327343791       -4497.50758056641       -3538.28468795528   1.83790330194482E-005     0.00619120076654329        299.104615488971        301457.032990033       0.109495836856047                    1007       0.135795833306019    0.000124168373698517   9.78612239027104E-005        12.0728303614305 
                    7.9                    0.15   4.70156718906302E-005        1.11360491363455        10.3395204871581    2.5359762350533E-009   1.28302064152894E-005        10.3395204871581      0.0298697595329525       -4497.50758056641       -3537.44271112935   1.83789782814535E-005     0.00615098061828559          299.1027104808        301460.738522085       0.110385242194672                    1007       0.136685238607379    0.000124693773181663   9.86561244131176E-005        11.9944013999061 
                    7.9                    0.15   4.80160053351117E-005        1.11360921166805        10.5595102847572   2.58993317622465E-009   1.31031895305083E-005        10.5595102847572       0.030505286331526       -4497.50758056641       -3536.60073430341   1.83789235434588E-005     0.00611076047002789        299.100805472628        301464.444054138       0.111274647533296                    1007       0.137574643908738     0.00012521917266481   9.94510249235248E-005        11.9159724383817 
                    7.9                    0.15   4.90163387795932E-005        1.11361350970155        10.7795000823563     2.643890117396E-009   1.33761726457272E-005        10.7795000823563      0.0311408131300994       -4497.50758056641       -3535.75875747748    1.8378868805464E-005     0.00607054032177019        299.098900464456         301468.14958619       0.112164052871921                    1007       0.138464049210097    0.000125744572147956    0.000100245925433932        11.8375434768573 
                    7.9                    0.15   5.00166722240747E-005        1.11361780773504        10.9994898799554   2.69784705856734E-009   1.36491557609462E-005        10.9994898799554      0.0317763399286729       -4497.50758056641       -3534.91678065154   1.83788140674693E-005     0.00603032017351249        299.096995456285        301471.855118243       0.113053458210545                    1007       0.139353454511456    0.000126269971631102    0.000101040825944339        11.7591145153329 
                    7.9                    0.15   5.10170056685562E-005        1.11362210576854        11.2194796775546   2.75180399973869E-009   1.39221388761651E-005        11.2194796775546      0.0324118667272463       -4497.50758056641       -3534.07480382561   1.83787593294746E-005     0.00599010002525479        299.095090448113        301475.560650295        0.11394286354917                    1007       0.140242859812815    0.000126795371114249    0.000101835726454747        11.6806855538085 
                    7.9                    0.15   5.20173391130377E-005        1.11362640380204        11.4394694751537   2.80576094091004E-009    1.4195121991384E-005        11.4394694751537      0.0330473935258198       -4497.50758056641       -3533.23282699968   1.83787045914799E-005     0.00594987987699709        299.093185439941        301479.266182347       0.114832268887794                    1007       0.141132265114174    0.000127320770597395    0.000102630626965154        11.6022565922841 
                    7.9                    0.15   5.30176725575192E-005        1.11363070183553        11.6594592727528   2.85971788208138E-009   1.44681051066029E-005        11.6594592727528      0.0336829203243933       -4497.50758056641       -3532.39085017374   1.83786498534851E-005     0.00590965972873938         299.09128043177        301482.971714399       0.115721674226419                    1007       0.142021670415533    0.000127846170080541    0.000103425527475561        11.5238276307597 
                    7.9                    0.15   5.40180060020007E-005        1.11363499986903        11.8794490703519   2.91367482325273E-009   1.47410882218219E-005        11.8794490703519      0.0343184471229667       -4497.50758056641       -3531.54887334781   1.83785951154904E-005     0.00586943958048168        299.089375423598        301486.677246452       0.116611079565043                    1007       0.142911075716892    0.000128371569563687    0.000104220427985968        11.4453986692353 
                    7.9                    0.15   5.50183394464822E-005        1.11363929790252         12.099438867951   2.96763176442408E-009   1.50140713370408E-005         12.099438867951      0.0349539739215402       -4497.50758056641       -3530.70689652188   1.83785403774957E-005     0.00582921943222399        299.087470415426        301490.382778504       0.117500484903668                    1007       0.143800481018252    0.000128896969046834    0.000105015328496376        11.3669697077109 
                    7.9                    0.15   5.60186728909637E-005        1.11364359593602        12.3194286655501   3.02158870559543E-009   1.52870544522597E-005        12.3194286655501      0.0355895007201136       -4497.50758056641       -3529.86491969594   1.83784856395009E-005     0.00578899928396628        299.085565407255        301494.088310557       0.118389890242292                    1007       0.144689886319611     0.00012942236852998    0.000105810229006783        11.2885407461865 
                    7.9                    0.15   5.70190063354451E-005        1.11364789396952        12.5394184631492   3.07554564676677E-009   1.55600375674786E-005        12.5394184631492      0.0362250275186871       -4497.50758056641       -3529.02294287001   1.83784309015062E-005     0.00574877913570858        299.083660399083        301497.793842609       0.119279295580917                    1007        0.14557929162097    0.000129947768013126     0.00010660512951719        11.2101117846621 
                    7.9                    0.15   5.80193397799266E-005        1.11365219200301        12.7594082607483   3.12950258793812E-009   1.58330206826975E-005        12.7594082607483      0.0368605543172606       -4497.50758056641       -3528.18096604407   1.83783761635115E-005     0.00570855898745088        299.081755390911        301501.499374661       0.120168700919541                    1007       0.146468696922329    0.000130473167496273    0.000107400030027597        11.1316828231377 
                    7.9                    0.15   5.90196732244081E-005        1.11365649003651        12.9793980583474   3.18345952910947E-009   1.61060037979165E-005        12.9793980583474       0.037496081115834       -4497.50758056641       -3527.33898921814   1.83783214255167E-005     0.00566833883919318         299.07985038274        301505.204906714       0.121058106258165                    1007       0.147358102223688    0.000130998566979419    0.000108194930538005        11.0532538616133 
                    7.9                    0.15   6.00200066688896E-005        1.11366078807001        13.1993878559465   3.23741647028081E-009   1.63789869131354E-005        13.1993878559465      0.0381316079144075       -4497.50758056641        -3526.4970123922    1.8378266687522E-005     0.00562811869093548        299.077945374568        301508.910438766        0.12194751159679                    1007       0.148247507525047    0.000131523966462565    0.000108989831048412        10.9748249000889 
                    7.9                    0.15   6.10203401133711E-005         1.1136650861035        13.4193776535456   3.29137341145216E-009   1.66519700283543E-005        13.4193776535456      0.0387671347129809       -4497.50758056641       -3525.65503556627   1.83782119495273E-005     0.00558789854267778        299.076040366396        301512.615970818       0.122836916935414                    1007       0.149136912826407    0.000132049365945711    0.000109784731558819        10.8963959385645 
                    7.9                    0.15   6.20206735578526E-005          1.113669384137        13.6393674511448   3.34533035262351E-009   1.69249531435732E-005        13.6393674511448      0.0394026615115544       -4497.50758056641       -3524.81305874034   1.83781572115326E-005     0.00554767839442008        299.074135358225        301516.321502871       0.123726322274039                    1007       0.150026318127766    0.000132574765428858    0.000110579632069226        10.8179669770401 
                    7.9                    0.15   6.30210070023341E-005         1.1136736821705        13.8593572487439   3.39928729379485E-009   1.71979362587922E-005        13.8593572487439      0.0400381883101278       -4497.50758056641        -3523.9710819144   1.83781024735378E-005     0.00550745824616238        299.072230350053        301520.027034923       0.124615727612663                    1007       0.150915723429125    0.000133100164912004    0.000111374532579633        10.7395380155157 
                    7.9                    0.15   6.40213404468156E-005        1.11367798020399         14.079347046343    3.4532442349662E-009   1.74709193740111E-005         14.079347046343      0.0406737151087013       -4497.50758056641       -3523.12910508847   1.83780477355431E-005     0.00546723809790468        299.070325341881        301523.732566975       0.125505132951288                    1007       0.151805128730484     0.00013362556439515    0.000112169433090041        10.6611090539913 
                    7.9                    0.15   6.50216738912971E-005        1.11368227823749        14.2993368439421   3.50720117613755E-009     1.774390248923E-005        14.2993368439421      0.0413092419072748       -4497.50758056641       -3522.28712826253   1.83779929975484E-005     0.00542701794964697         299.06842033371        301527.438099028       0.126394538289912                    1007       0.152694534031843    0.000134150963878297    0.000112964333600448        10.5826800924669 
                    7.9                    0.15   6.60220073357786E-005        1.11368657627099        14.5193266415412   3.56115811730889E-009   1.80168856044489E-005        14.5193266415412      0.0419447687058482       -4497.50758056641        -3521.4451514366   1.83779382595536E-005     0.00538679780138927        299.066515325538         301531.14363108       0.127283943628537                    1007       0.153583939333202    0.000134676363361443    0.000113759234110855        10.5042511309425 
                    7.9                    0.15   6.70223407802601E-005        1.11369087430448        14.7393164391403   3.61511505848024E-009   1.82898687196679E-005        14.7393164391403      0.0425802955044217       -4497.50758056641       -3520.60317461067   1.83778835215589E-005     0.00534657765313157        299.064610317366        301534.849163132       0.128173348967161                    1007       0.154473344634561    0.000135201762844589    0.000114554134621262        10.4258221694181 
                    7.9                    0.15   6.80226742247416E-005        1.11369517233798        14.9593062367394   3.66907199965159E-009   1.85628518348868E-005        14.9593062367394      0.0432158223029951       -4497.50758056641       -3519.76119778473   1.83778287835642E-005     0.00530635750487387        299.062705309195        301538.554695185       0.129062754305786                    1007       0.155362749935921    0.000135727162327736     0.00011534903513167        10.3473932078937 
                    7.9                    0.15   6.90230076692231E-005        1.11369947037147        15.1792960343385   3.72302894082294E-009   1.88358349501057E-005        15.1792960343385      0.0438513491015686       -4497.50758056641        -3518.9192209588   1.83777740455694E-005     0.00526613735661617        299.060800301023        301542.260227237        0.12995215964441                    1007        0.15625215523728    0.000136252561810882    0.000116143935642077        10.2689642463693 
                    7.9                    0.15   7.00233411137046E-005        1.11370376840497        15.3992858319376   3.77698588199428E-009   1.91088180653246E-005        15.3992858319376       0.044486875900142       -4497.50758056641       -3518.07724413286   1.83777193075747E-005     0.00522591720835847        299.058895292851         301545.96575929       0.130841564983035                    1007       0.157141560538639    0.000136777961294028    0.000116938836152484        10.1905352848449 
                    7.9                    0.15   7.10236745581861E-005        1.11370806643847        15.6192756295367   3.83094282316563E-009   1.93818011805435E-005        15.6192756295367      0.0451224026987155       -4497.50758056641       -3517.23526730693     1.837766456958E-005     0.00518569706010077         299.05699028468        301549.671291342       0.131730970321659                    1007       0.158030965839998    0.000137303360777174    0.000117733736662891        10.1121063233205 
                    7.9                    0.15   7.20240080026676E-005        1.11371236447196        15.8392654271358   3.88489976433698E-009   1.96547842957625E-005        15.8392654271358       0.045757929497289       -4497.50758056641         -3516.393290481   1.83776098315853E-005     0.00514547691184307        299.055085276508        301553.376823394       0.132620375660284                    1007       0.158920371141357    0.000137828760260321    0.000118528637173299        10.0336773617961 
