VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0        1.12000095844269                       0                       0                       0                       0                       0       -4134.63037109375                       0   1.83515239768894E-005      0.0451939031481743        297.497344970703            301374.84375       0.269370585680008                    1007       0.295670598745346             1412747.625                       0    0.000240748297073878        30.8777141571045 
    0.00400200100050025                    0.15                       0        1.11950907968413                       0                       0                       0                       0                       0        -4141.3378158806       -506.763014075399   1.83567723582457E-005      0.0437661185581097        297.920922237852        301268.889444722       0.265287134678976                    1007       0.291587138814053        1722842.15657829                       0    0.000237098733253398        30.3391185615467 
     0.0080040020010005                    0.15                       0        1.11901720092558                       0                       0                       0                       0                       0       -4148.04526066744        -1013.5260281508   1.83620207396019E-005      0.0423383339680452        298.344499505002        301162.935139445       0.261203683677943                    1007        0.28750367888276        2032936.68815658                       0    0.000233449169432918        29.8005229659889 
     0.0120060030015008                    0.15                       0        1.11852532216702                       0                       0                       0                       0                       0       -4154.75270545429        -1520.2890422262   1.83672691209581E-005      0.0409105493779806        298.768076772151        301056.980834167       0.257120232676911                    1007       0.283420218951467        2343031.21973487                       0    0.000229799605612438        29.2619273704311 
      0.016008004002001                    0.15                       0        1.11797688411676                       0                       0                       0                       0                       0       -4162.30691248945       -1800.65220024563   1.83731117585999E-005      0.0389718534485467         298.99983674088        301107.646901576       0.251313457463967                    1007       0.277613440726983        2331717.70904202                       0    0.000224609836429803        28.5273583036712 
     0.0200100050025013                    0.15                       0         1.1173996677871                       0                       0                       0                       0                       0       -4170.29196580712       -1965.81946173282   1.83792567634197E-005      0.0367731975932876        299.133996975905         301238.00393947       0.244629827110454                    1007       0.270929810373469        2156866.60505252                       0    0.000218636385929396        27.6930747754935 
     0.0240120060030015                    0.15                       0        1.11682245145743                       0                       0                       0                       0                       0        -4178.2770191248       -2130.98672322001   1.83854017682395E-005      0.0345745417380285         299.26815721093        301368.360977364        0.23794619675694                    1007       0.264246180019956        1982015.50106303                       0    0.000212662935428989        26.8587912473158 
     0.0280140070035018                    0.15                       0        1.11640958382882                       0                       0                       0                       0                       0       -4184.29604548368       -2267.86374461645   1.83897519655684E-005      0.0327185866259422        299.363218153877        301460.646557654        0.23216023091497                    1007       0.258460217085166        1834819.15757879                       0    0.000207491767248374        26.1502458134432 
      0.032016008004002                    0.15                       0        1.11633721299622                       0                       0                       0                       0                       0       -4186.24186727153       -2346.12919167103   1.83903836899419E-005      0.0315726371561216        299.377273384006        301474.055887319       0.228234041804609                    1007       0.254534036905065        1744917.80509004                       0    0.000203982763463634         25.702203918541 
     0.0360180090045022                    0.15                       0        1.11626484216363                       0                       0                       0                       0                       0       -4188.18768905937       -2424.39463872562   1.83910154143153E-005      0.0304266876863011        299.391328614136        301487.465216983       0.224307852694247                    1007       0.250607856724965         1655016.4526013                       0    0.000200473759678894        25.2541620236388 
