VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11379762291908                       0                       0                       0                       0                       0       -4498.60374145508       -2552.85706787109   1.83763559562067E-005      0.0183948330814019        299.082779693603         301176.36015625       0.330960275232792                    1007       0.357260265573859    0.000250000011874363    0.000295793692930601        29.8734970092773 
                    7.9                    0.15   1.00033344448149E-006        1.11380202666685       0.122210113077664   1.11436365970136E-010   3.38070298380202E-007       0.122210113077664    0.000353328448885837       -4498.60374145508       -2552.54570041006   1.83762999999925E-005      0.0183580296659325        299.081143558626        301178.911412919       0.331415499198254                    1007       0.357715489569133    0.000250518234252477    0.000296200546546449        29.8137294108596 
                    7.9                    0.15   2.00066688896299E-006        1.11380643041462       0.244420226155328   2.22872731940313E-010   6.76140596760404E-007       0.244420226155328    0.000706656897771673       -4498.60374145508       -2552.23433294904   1.83762440437783E-005      0.0183212262504632        299.079507423648        301181.462669588       0.331870723163716                    1007       0.358170713564408    0.000251036456630591    0.000296607400162297        29.7539618124418 
                    7.9                    0.15   3.00100033344448E-006        1.11381083416239       0.366630339232992   3.34309097910489E-010   1.01421089514061E-006       0.366630339232992     0.00105998534665751       -4498.60374145508       -2551.92296548801    1.8376188087564E-005      0.0182844228349938         299.07787128867        301184.013926257       0.332325947129178                    1007       0.358625937559682    0.000251554679008705    0.000297014253778144        29.6941942140241 
                    7.9                    0.15   4.00133377792597E-006        1.11381523791016       0.488840452310656   4.45745463880666E-010   1.35228119352081E-006       0.488840452310656     0.00141331379554335       -4498.60374145508       -2551.61159802698   1.83761321313498E-005      0.0182476194195245        299.076235153692        301186.565182925        0.33278117109464                    1007       0.359081161554956    0.000252072901386819    0.000297421107393992        29.6344266156063 
                    7.9                    0.15   5.00166722240747E-006        1.11381964165793        0.61105056538832   5.57181829850843E-010   1.69035149190101E-006        0.61105056538832     0.00176664224442918       -4498.60374145508       -2551.30023056595   1.83760761751356E-005      0.0182108160040551        299.074599018714        301189.116439594       0.333236395060102                    1007       0.359536385550231    0.000252591123764934     0.00029782796100984        29.5746590171886 
                    7.9                    0.15   6.00200066688896E-006         1.1138240454057       0.733260678465985   6.68618195821019E-010   2.02842179028121E-006       0.733260678465985     0.00211997069331502       -4498.60374145508       -2550.98886310492   1.83760202189214E-005      0.0181740125885858        299.072962883736        301191.667696263       0.333691619025564                    1007       0.359991609545505    0.000253109346143048    0.000298234814625687        29.5148914187708 
                    7.9                    0.15   7.00233411137046E-006        1.11382844915347       0.855470791543649   7.80054561791196E-010   2.36649208866141E-006       0.855470791543649     0.00247329914220086       -4498.60374145508       -2550.67749564389   1.83759642627072E-005      0.0181372091731164        299.071326748758        301194.218952932       0.334146842991026                    1007       0.360446833540779    0.000253627568521162    0.000298641668241535        29.4551238203531 
                    7.9                    0.15   8.00266755585195E-006        1.11383285290124       0.977680904621313   8.91490927761372E-010   2.70456238704162E-006       0.977680904621313     0.00282662759108669       -4498.60374145508       -2550.36612818286    1.8375908306493E-005      0.0181004057576471         299.06969061378        301196.770209601       0.334602066956488                    1007       0.360902057536054    0.000254145790899276    0.000299048521857383        29.3953562219353 
                    7.9                    0.15   9.00300100033344E-006        1.11383725664901        1.09989101769898   1.00292729373155E-009   3.04263268542182E-006        1.09989101769898     0.00317995603997253       -4498.60374145508       -2550.05476072184   1.83758523502788E-005      0.0180636023421777        299.068054478802         301199.32146627        0.33505729092195                    1007       0.361357281531328     0.00025466401327739     0.00029945537547323        29.3355886235175 
                    7.9                    0.15   1.00033344448149E-005        1.11384166039678        1.22210113077664   1.11436365970173E-009   3.38070298380202E-006        1.22210113077664     0.00353328448885837       -4498.60374145508       -2549.74339326081   1.83757963940646E-005      0.0180267989267084        299.066418343824        301201.872722939       0.335512514887412                    1007       0.361812505526602    0.000255182235655504    0.000299862229089078        29.2758210250998 
                    7.9                    0.15   1.10036678892964E-005        1.11384606414455        1.34431124385431    1.2258000256719E-009   3.71877328218222E-006        1.34431124385431      0.0038866129377442       -4498.60374145508       -2549.43202579978   1.83757404378504E-005       0.017989995511239        299.064782208846        301204.423979608       0.335967738852874                    1007       0.362267729521876    0.000255700458033618    0.000300269082704926         29.216053426682 
                    7.9                    0.15   1.20040013337779E-005        1.11385046789232        1.46652135693197   1.33723639164208E-009   4.05684358056242E-006        1.46652135693197     0.00423994138663004       -4498.60374145508       -2549.12065833875   1.83756844816362E-005      0.0179531920957697        299.063146073868        301206.975236277       0.336422962818336                    1007       0.362722953517151    0.000256218680411733    0.000300675936320773        29.1562858282643 
                    7.9                    0.15   1.30043347782594E-005        1.11385487164009        1.58873147000963   1.44867275761226E-009   4.39491387894262E-006        1.58873147000963     0.00459326983551588       -4498.60374145508       -2548.80929087772    1.8375628525422E-005      0.0179163886803003         299.06150993889        301209.526492946       0.336878186783798                    1007       0.363178177512425    0.000256736902789847    0.000301082789936621        29.0965182298465 
                    7.9                    0.15   1.40046682227409E-005        1.11385927538786         1.7109415830873   1.56010912358243E-009   4.73298417732283E-006         1.7109415830873     0.00494659828440171       -4498.60374145508       -2548.49792341669   1.83755725692078E-005       0.017879585264831        299.059873803912        301212.077749614        0.33733341074926                    1007       0.363633401507699    0.000257255125167961    0.000301489643552469        29.0367506314287 
                    7.9                    0.15   1.50050016672224E-005        1.11386367913563        1.83315169616496   1.67154548955261E-009   5.07105447570303E-006        1.83315169616496     0.00529992673328755       -4498.60374145508       -2548.18655595566   1.83755166129935E-005      0.0178427818493616        299.058237668934        301214.629006283       0.337788634714722                    1007       0.364088625502974    0.000257773347546075    0.000301896497168316         28.976983033011 
                    7.9                    0.15   1.60053351117039E-005         1.1138680828834        1.95536180924263   1.78298185552278E-009   5.40912477408323E-006        1.95536180924263     0.00565325518217338       -4498.60374145508       -2547.87518849463   1.83754606567793E-005      0.0178059784338923        299.056601533956        301217.180262952       0.338243858680184                    1007       0.364543849498248    0.000258291569924189    0.000302303350784164        28.9172154345932 
                    7.9                    0.15   1.70056685561854E-005        1.11387248663117        2.07757192232029   1.89441822149296E-009   5.74719507246343E-006        2.07757192232029     0.00600658363105923       -4498.60374145508       -2547.56382103361   1.83754047005651E-005      0.0177691750184229        299.054965398979        301219.731519621       0.338699082645647                    1007       0.364999073493522    0.000258809792302303    0.000302710204400012        28.8574478361755 
                    7.9                    0.15   1.80060020006669E-005        1.11387689037894        2.19978203539795   2.00585458746314E-009   6.08526537084363E-006        2.19978203539795     0.00635991207994506       -4498.60374145508       -2547.25245357258   1.83753487443509E-005      0.0177323716029536        299.053329264001         301222.28277629       0.339154306611109                    1007       0.365454297488797    0.000259328014680417    0.000303117058015859        28.7976802377577 
                    7.9                    0.15   1.90063354451484E-005        1.11388129412671        2.32199214847562   2.11729095343332E-009   6.42333566922384E-006        2.32199214847562      0.0067132405288309       -4498.60374145508       -2546.94108611155   1.83752927881367E-005      0.0176955681874842        299.051693129023        301224.834032959       0.339609530576571                    1007       0.365909521484071    0.000259846237058532    0.000303523911631707          28.73791263934 
                    7.9                    0.15   2.00066688896299E-005        1.11388569787448        2.44420226155328   2.22872731940349E-009   6.76140596760404E-006        2.44420226155328     0.00706656897771673       -4498.60374145508       -2546.62971865052   1.83752368319225E-005      0.0176587647720149        299.050056994045        301227.385289628       0.340064754542033                    1007       0.366364745479345    0.000260364459436646    0.000303930765247554        28.6781450409222 
                    7.9                    0.15   2.10070023341114E-005        1.11389010162225        2.56641237463095   2.34016368537367E-009   7.09947626598424E-006        2.56641237463095     0.00741989742660257       -4498.60374145508       -2546.31835118949   1.83751808757083E-005      0.0176219613565455        299.048420859067        301229.936546297       0.340519978507495                    1007        0.36681996947462     0.00026088268181476    0.000304337618863402        28.6183774425045 
                    7.9                    0.15   2.20073357785929E-005        1.11389450537002        2.68862248770861   2.45160005134384E-009   7.43754656436444E-006        2.68862248770861     0.00777322587548841       -4498.60374145508       -2546.00698372846   1.83751249194941E-005      0.0175851579410762        299.046784724089        301232.487802966       0.340975202472957                    1007       0.367275193469894    0.000261400904192874     0.00030474447247925        28.5586098440867 
                    7.9                    0.15   2.30076692230744E-005        1.11389890911779        2.81083260078627   2.56303641731402E-009   7.77561686274464E-006        2.81083260078627     0.00812655432437424       -4498.60374145508       -2545.69561626743   1.83750689632799E-005      0.0175483545256068        299.045148589111        301235.039059634       0.341430426438419                    1007       0.367730417465168    0.000261919126570988    0.000305151326095097        28.4988422456689 
                    7.9                    0.15   2.40080026675559E-005        1.11390331286556        2.93304271386394    2.6744727832842E-009   8.11368716112485E-006        2.93304271386394     0.00847988277326008       -4498.60374145508       -2545.38424880641   1.83750130070657E-005      0.0175115511101375        299.043512454133        301237.590316303       0.341885650403881                    1007       0.368185641460442    0.000262437348949102    0.000305558179710945        28.4390746472512 
                    7.9                    0.15   2.50083361120373E-005        1.11390771661333         3.0552528269416   2.78590914925437E-009   8.45175745950505E-006         3.0552528269416     0.00883321122214592       -4498.60374145508       -2545.07288134538   1.83749570508514E-005      0.0174747476946681        299.041876319155        301240.141572972       0.342340874369343                    1007       0.368640865455717    0.000262955571327216    0.000305965033326793        28.3793070488334 
                    7.9                    0.15   2.60086695565188E-005         1.1139121203611        3.17746294001927   2.89734551522455E-009   8.78982775788525E-006        3.17746294001927     0.00918653967103176       -4498.60374145508       -2544.76151388435   1.83749010946372E-005      0.0174379442791988        299.040240184177        301242.692829641       0.342796098334805                    1007       0.369096089450991    0.000263473793705331     0.00030637188694264        28.3195394504157 
                    7.9                    0.15   2.70090030010003E-005        1.11391652410887        3.29967305309693   3.00878188119473E-009   9.12789805626545E-006        3.29967305309693     0.00953986811991759       -4498.60374145508       -2544.45014642332    1.8374845138423E-005      0.0174011408637294        299.038604049199         301245.24408631       0.343251322300267                    1007       0.369551313446265    0.000263992016083445    0.000306778740558488        28.2597718519979 
                    7.9                    0.15   2.80093364454818E-005        1.11392092785664         3.4218831661746    3.1202182471649E-009   9.46596835464565E-006         3.4218831661746     0.00989319656880343       -4498.60374145508       -2544.13877896229   1.83747891822088E-005      0.0173643374482601        299.036967914221        301247.795342979       0.343706546265729                    1007        0.37000653744154    0.000264510238461559    0.000307185594174336        28.2000042535801 
                    7.9                    0.15   2.90096698899633E-005        1.11392533160441        3.54409327925226   3.23165461313508E-009   9.80403865302585E-006        3.54409327925226      0.0102465250176893       -4498.60374145508       -2543.82741150126   1.83747332259946E-005      0.0173275340327907        299.035331779243        301250.346599648       0.344161770231191                    1007       0.370461761436814    0.000265028460839673    0.000307592447790183        28.1402366551624 
