VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11171376407146                       0                       0                       0                       0                       0       -4500.49627685547        -4354.7395324707   1.84026703209383E-005     0.00930046354187653        299.637466812134        301734.922265625      0.0439477905631065                    1007      0.0702477887272835            3211883.3125                       0   3.92780644233426E-005        4.94462531208992 
                    7.9                    0.15   1.00033344448149E-006        1.11172035615835       0.399436581806475   3.38627767986853E-007   2.67564258445156E-007       0.399436581806475     0.00115279797694386       -4500.49627685547       -4353.05787328483   1.84025860918425E-005     0.00911439154272662         299.63517234614        301737.264296302      0.0445277725752888                    1007      0.0708277707394657        3191355.36234995           0.68017427267   3.97964197411356E-005        4.84569974055418 
                    7.9                    0.15   2.00066688896299E-006        1.11172694824524        0.79887316361295   6.77255535973706E-007   5.35128516890313E-007        0.79887316361295     0.00230559595388772       -4500.49627685547       -4351.37621409895   1.84025018627466E-005     0.00892831954357672        299.632877880146        301739.606326979       0.045107754587471                    1007      0.0714077527516479        3170827.41219991           1.36034854534   4.03147750589286E-005        4.74677416901844 
                    7.9                    0.15   3.00100033344448E-006        1.11173354033213        1.19830974541942   1.01588330396056E-006   8.02692775335469E-007        1.19830974541942     0.00345839393083157       -4500.49627685547       -4349.69455491308   1.84024176336508E-005     0.00874224754442682        299.630583414152        301741.948357656      0.0456877365996532                    1007      0.0719877347638302        3150299.46204986           2.04052281801   4.08331303767216E-005         4.6478485974827 
                    7.9                    0.15   4.00133377792597E-006        1.11174013241902         1.5977463272259   1.35451107194741E-006   1.07025703378063E-006         1.5977463272259     0.00461119190777543       -4500.49627685547       -4348.01289572721   1.84023334045549E-005     0.00855617554527692        299.628288948158        301744.290388333      0.0462677186118355                    1007      0.0725677167760124        3129771.51189982           2.72069709068   4.13514856945147E-005        4.54892302594696 
                    7.9                    0.15   5.00166722240747E-006        1.11174672450591        1.99718290903237   1.69313883993427E-006   1.33782129222578E-006        1.99718290903237     0.00576398988471929       -4500.49627685547       -4346.33123654133   1.84022491754591E-005     0.00837010354612702        299.625994482164        301746.632419009      0.0468477006240177                    1007      0.0731476987881946        3109243.56174977           3.40087136335   4.18698410123077E-005        4.44999745441123 
                    7.9                    0.15   6.00200066688896E-006         1.1117533165928        2.39661949083885   2.03176660792112E-006   1.60538555067094E-006        2.39661949083885     0.00691678786166315       -4500.49627685547       -4344.64957735546   1.84021649463632E-005     0.00818403154697711        299.623700016171        301748.974449686      0.0474276826361999                    1007      0.0737276808003769        3088715.61159973           4.08104563602   4.23881963301007E-005        4.35107188287549 
                    7.9                    0.15   7.00233411137046E-006        1.11175990867969        2.79605607264532   2.37039437590797E-006    1.8729498091161E-006        2.79605607264532     0.00806958583860701       -4500.49627685547       -4342.96791816958   1.84020807172674E-005     0.00799795954782721        299.621405550177        301751.316480363      0.0480076646483822                    1007      0.0743076628125591        3068187.66144968           4.76121990869   4.29065516478937E-005        4.25214631133975 
                    7.9                    0.15   8.00266755585195E-006        1.11176650076657         3.1954926544518   2.70902214389482E-006   2.14051406756125E-006         3.1954926544518     0.00922238381555086       -4500.49627685547       -4341.28625898371   1.84019964881715E-005     0.00781188754867731        299.619111084183         301753.65851104      0.0485876466605644                    1007      0.0748876448247413        3047659.71129964           5.44139418136   4.34249069656867E-005        4.15322073980401 
                    7.9                    0.15   9.00300100033344E-006        1.11177309285346        3.59492923625827   3.04764991188168E-006   2.40807832600641E-006        3.59492923625827      0.0103751817924947       -4500.49627685547       -4339.60459979784   1.84019122590756E-005     0.00762581554952741        299.616816618189        301756.000541717      0.0491676286727466                    1007      0.0754676268369236        3027131.76114959           6.12156845403   4.39432622834798E-005        4.05429516826827 
                    7.9                    0.15   1.00033344448149E-005        1.11177968494035        3.99436581806475   3.38627767986853E-006   2.67564258445156E-006        3.99436581806475      0.0115279797694386       -4500.49627685547       -4337.92294061196   1.84018280299798E-005     0.00743974355037751        299.614522152195        301758.342572394      0.0497476106849289                    1007      0.0760476088491058        3006603.81099955            6.8017427267   4.44616176012728E-005        3.95536959673253 
                    7.9                    0.15   1.10036678892964E-005        1.11178627702724        4.39380239987123   3.72490544785538E-006   2.94320684289672E-006        4.39380239987123      0.0126807777463824       -4500.49627685547       -4336.24128142609   1.84017438008839E-005     0.00725367155122761        299.612227686201        301760.684603071      0.0503275926971111                    1007      0.0766275908612881         2986075.8608495           7.48191699937   4.49799729190658E-005        3.85644402519679 
                    7.9                    0.15   1.20040013337779E-005        1.11179286911413         4.7932389816777   4.06353321584224E-006   3.21077110134188E-006         4.7932389816777      0.0138335757233263       -4500.49627685547       -4334.55962224021   1.84016595717881E-005      0.0070675995520777        299.609933220207        301763.026633748      0.0509075747092933                    1007      0.0772075728734703        2965547.91069946           8.16209127204   4.54983282368588E-005        3.75751845366105 
                    7.9                    0.15   1.30043347782594E-005        1.11179946120102        5.19267556348417   4.40216098382909E-006   3.47833535978703E-006        5.19267556348417      0.0149863737002702       -4500.49627685547       -4332.87796305434   1.84015753426922E-005      0.0068815275529278        299.607638754213        301765.368664425      0.0514875567214756                    1007      0.0777875548856525        2945019.96054941           8.84226554471   4.60166835546518E-005        3.65859288212532 
                    7.9                    0.15   1.40046682227409E-005        1.11180605328791        5.59211214529065   4.74078875181594E-006   3.74589961823219E-006        5.59211214529065       0.016139171677214       -4500.49627685547       -4331.19630386847   1.84014911135964E-005      0.0066954555537779         299.60534428822        301767.710695102      0.0520675387336578                    1007      0.0783675368978348        2924492.01039936           9.52243981738   4.65350388724449E-005        3.55966731058958 
                    7.9                    0.15   1.50050016672224E-005        1.11181264537479        5.99154872709712    5.0794165198028E-006   4.01346387667735E-006        5.99154872709712      0.0172919696541579       -4500.49627685547       -4329.51464468259   1.84014068845005E-005       0.006509383554628        299.603049822226        301770.052725778        0.05264752074584                    1007       0.078947518910017        2903964.06024932          10.20261409005   4.70533941902379E-005        3.46074173905384 
                    7.9                    0.15   1.60053351117039E-005        1.11181923746168         6.3909853089036   5.41804428778965E-006    4.2810281351225E-006         6.3909853089036      0.0184447676311017       -4500.49627685547       -4327.83298549672   1.84013226554047E-005      0.0063233115554781        299.600755356232        301772.394756455      0.0532275027580223                    1007      0.0795275009221992        2883436.11009927          10.88278836272   4.75717495080309E-005         3.3618161675181 
                    7.9                    0.15   1.70056685561854E-005        1.11182582954857        6.79042189071007    5.7566720557765E-006   4.54859239356766E-006        6.79042189071007      0.0195975656080456       -4500.49627685547       -4326.15132631084   1.84012384263088E-005     0.00613723955632819        299.598460890238        301774.736787132      0.0538074847702045                    1007      0.0801074829343814        2862908.15994923          11.56296263539   4.80901048258239E-005        3.26289059598236 
                    7.9                    0.15   1.80060020006669E-005        1.11183242163546        7.18985847251655   6.09529982376336E-006   4.81615665201282E-006        7.18985847251655      0.0207503635849894       -4500.49627685547       -4324.46966712497   1.84011541972129E-005     0.00595116755717829        299.596166424244        301777.078817809      0.0543874667823867                    1007      0.0806874649465637        2842380.20979918          12.24313690806   4.86084601436169E-005        3.16396502444662 
                    7.9                    0.15   1.90063354451484E-005        1.11183901372235        7.58929505432302   6.43392759175021E-006   5.08372091045797E-006        7.58929505432302      0.0219031615619333       -4500.49627685547        -4322.7880079391   1.84010699681171E-005     0.00576509555802839         299.59387195825        301779.420848486       0.054967448794569                    1007      0.0812674469587459        2821852.25964914          12.92331118073   4.91268154614099E-005        3.06503945291088 
                    7.9                    0.15   2.00066688896299E-005        1.11184560580924         7.9887316361295   6.77255535973706E-006   5.35128516890313E-006         7.9887316361295      0.0230559595388772       -4500.49627685547       -4321.10634875322   1.84009857390212E-005     0.00557902355887849        299.591577492256        301781.762879163      0.0555474308067512                    1007      0.0818474289709281        2801324.30949909           13.6034854534    4.9645170779203E-005        2.96611388137514 
                    7.9                    0.15   2.10070023341114E-005        1.11185219789613        8.38816821793597   7.11118312772391E-006   5.61884942734829E-006        8.38816821793597       0.024208757515821       -4500.49627685547       -4319.42468956735   1.84009015099254E-005     0.00539295155972858        299.589283026262         301784.10490984      0.0561274128189334                    1007      0.0824274109831104        2780796.35934905          14.28365972607    5.0163526096996E-005        2.86718830983941 
                    7.9                    0.15   2.20073357785929E-005        1.11185878998302        8.78760479974245   7.44981089571077E-006   5.88641368579344E-006        8.78760479974245      0.0253615554927649       -4500.49627685547       -4317.74303038147   1.84008172808295E-005     0.00520687956057868        299.586988560269        301786.446940517      0.0567073948311157                    1007      0.0830073929952926          2760268.409199          14.96383399874    5.0681881414789E-005        2.76826273830367 
                    7.9                    0.15   2.30076692230744E-005         1.1118653820699        9.18704138154892   7.78843866369762E-006    6.1539779442386E-006        9.18704138154892      0.0265143534697087       -4500.49627685547        -4316.0613711956   1.84007330517337E-005     0.00502080756142878        299.584694094275        301788.788971193      0.0572873768432979                    1007      0.0835873750074748        2739740.45904896          15.64400827141    5.1200236732582E-005        2.66933716676793 
                    7.9                    0.15   2.40080026675559E-005        1.11187197415679         9.5864779633554   8.12706643168447E-006   6.42154220268376E-006         9.5864779633554      0.0276671514466526       -4500.49627685547       -4314.37971200973   1.84006488226378E-005     0.00483473556227888        299.582399628281         301791.13100187      0.0578673588554801                    1007      0.0841673570196571        2719212.50889891          16.32418254408    5.1718592050375E-005        2.57041159523219 
