VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11188541799784                       0                       0                       0                       0                       0        -4496.6567199707       -4395.12015380859   1.84010468501583E-005     0.00249351856764406        299.603255844116            301700.46875    0.000145798897210625                    1007      0.0264457989251241   2.49999993684469E-005   1.30306857393236E-007        4.51788772940636 
                    7.9                    0.15    0.000233488992661774         1.1137127971445        36.8918224362949   5.07829793356051E-008   3.22277449717729E-005        36.8918224362949       0.106549807442876       -4496.65670397017       -3735.83493364082   1.83777262742254E-005                       0        299.106056027649        301886.631804504       0.339291963957606                    1007       0.365591963470907    0.000234965993749348    0.000303240097865444                       0 
                    7.9                    0.15    0.000466977985323549        1.11437178727949        41.8935144590839   6.59683531997748E-008   7.11260004868146E-005        41.8935144590839       0.121031302415276       -4496.65623168945       -3514.84871618079   1.83693307898224E-005                       0          298.9324378006        301905.146954002       0.710865723615433                    1007       0.737165734683585    0.000468892939470744    0.000635331823837878                       0 
                    7.9                    0.15    0.000700466977985323        1.11478943834485        44.7827131255003    7.0566096650003E-008    0.000114249778379578        44.7827131255003         0.1294025457146       -4496.65623168945       -3373.76392556838   1.83640134899596E-005                       0        298.821103050683        301917.603730603        1.06914113843409                    1007        1.09544110787215    0.000702819381660947    0.000955538264628883                       0 
                    7.9                    0.15    0.000933955970647098        1.11510605738852        46.8551013374707   7.10249165319401E-008    0.000160155457362447        46.8551013374707       0.135410062697308       -4496.65623168945       -3266.70150124396   1.83599847033837E-005                       0        298.736531898851        301927.050633777        1.42416640308954                    1007        1.45046638105695    0.000936745065381634     0.00127283990495812                       0 
                    7.9                    0.15     0.00116744496330887        1.11536368086379         48.475738471902   6.96535726157657E-008    0.000208203887697613         48.475738471902       0.140109808841973        -4496.6562068784       -3179.54913687055   1.83567076244667E-005                       0        298.667697581871        301934.711436333         1.7771284012884                    1007        1.80342841584386     0.00117067017928475     0.00158829747391591                       0 
                    7.9                    0.15     0.00140093395597065        1.11557914411208        49.7872341530369   6.73518641152599E-008    0.000258189038652532        49.7872341530369       0.143914360630537       -4496.65584971056       -3106.62831422603   1.83539681753521E-005                       0        298.610108924587        301941.099456249        2.12803273086784                    1007        2.15433271028126     0.00140459471930192     0.00190191605621832                       0 
                    7.9                    0.15     0.00163442294863242        1.11576842451744        50.9128048983511   6.46327625531497E-008       0.000309647078723        50.9128048983511       0.147180380547386        -4496.6557434082       -3042.55786633174   1.83515615475403E-005                       0        298.559515448852        301946.712285604        2.47710024574912                    1007        2.50340019920981     0.00163851861523927     0.00221389292849076                       0 
                    7.9                    0.15      0.0018679119412942        1.11593580169009        51.8867154214511   6.16601267451835E-008    0.000362563826759642        51.8867154214511       0.150007029403359        -4496.6557316427       -2985.89209561577   1.83494347947495E-005                       0        298.514797253461        301951.637767737        2.82405332091091                    1007        2.85035327437161     0.00187244188123751     0.00252398004465075                       0 
                    7.9                    0.15     0.00210140093395597        1.11608571816734        52.7427869738329   5.85544052592597E-008    0.000416854398690792        52.7427869738329       0.152492226004058       -4496.65546640817       -2935.11605727886   1.83475302138367E-005                       0        298.474721814018        301956.062764229        3.16870767638985                    1007        3.19500764291494     0.00210636461382419     0.00283201275627989                       0 
                    7.9                    0.15     0.00233488992661774        1.11622271694981        53.5131849017433   5.53949687173263E-008    0.000472333186827135        53.5131849017433       0.154729120244688       -4496.65525512695       -2888.70724332974   1.83457892376864E-005                       0        298.438119433852        301960.096840017        3.51112230961816                    1007        3.53742236922373     0.00234028627221093     0.00313804383154285                       0 
                    7.9                    0.15     0.00256837891927952        1.11634902150676        54.2134131639199   5.22247922634663E-008     0.00052894116525817        54.2134131639199       0.156762633093077       -4496.65525512695       -2845.93180881703   1.83441857691808E-005                       0        298.404381852993        301963.801198291        3.85120916099103                    1007        3.87750911612805     0.00257420836368125     0.00344199434529706                       0 
                    7.9                    0.15     0.00280186791194129        1.11646480377722        54.8464687792696   4.90898854554607E-008    0.000586825578403282        54.8464687792696       0.158601408285388       -4496.65505031374        -2806.6923166522   1.83427150652185E-005                       0        298.373452931389        301967.190948519        4.18840877371401                    1007        4.21470891526668     0.00280812869493376     0.00374336436983147                       0 
                    7.9                    0.15     0.00303535690460307         1.1165730149439        55.4316959486466   4.60193579136503E-008    0.000645782422651288        55.4316959486466       0.160301513759018       -4496.65486748591       -2770.00946411883   1.83413410313086E-005                       0        298.344546435387        301970.349374684        4.52297896488401                    1007        4.54927901662616     0.00304204870499657     0.00404238433610815                       0 
                    7.9                    0.15     0.00326884589726484         1.1166751711911        55.9789037848736    4.3031352489708E-008    0.000705702816181911        55.9789037848736       0.161891371760891       -4496.65468929145       -2735.37950961387   1.83400440870828E-005                       0        298.317268140665        301973.330898517        4.85507274181914                    1007        4.88137269527983     0.00327596817352186     0.00433919107090438                       0 
                    7.9                    0.15     0.00350233488992662        1.11677252816524        56.4960925803491   4.01117620403139E-008    0.000766426458400401        56.4960925803491       0.163394173543552       -4496.65451357795       -2702.38003306723   1.83388081279342E-005                       0        298.291284692926         301976.17491862        5.18503000632923                    1007        5.21132995978993     0.00350988708087555     0.00463408837948651                       0 
                    7.9                    0.15     0.00373582388258839         1.1168623298096        56.9665826940399   3.73627415923838E-008     0.00082864114268082        56.9665826940399       0.164761547862131       -4496.65436382234       -2671.95262010637   1.83376689505392E-005                       0        298.267321352438         301978.78836443        5.51080406613975                    1007        5.53710401960045     0.00374380508435338     0.00492524686586306                       0 
                    7.9                    0.15     0.00396931287525017        1.11694893405805        57.4178380828348   3.47209468308678E-008    0.000891596914961357        57.4178380828348        0.16607312480678        -4496.6541490097        -2642.5995501407   1.83365701680133E-005                       0         298.24420484725        301981.304155771        5.83440577430987                    1007        5.86070572777057     0.00397772248550765     0.00521446388740759                       0 
                    7.9                    0.15     0.00420280186791194        1.11703167713839        57.8458631922958   3.21910128762358E-008    0.000955435567525038        57.8458631922958       0.167317313791556       -4496.65386300493       -2614.54409626002   1.83355201889779E-005                       0        298.222110978466        301983.702019795        6.15538616064264                    1007        6.18168611410334     0.00421163915929736     0.00550133818805747                       0 
                    7.9                    0.15     0.00443629086057372        1.11710966872949        58.2455917140973   2.98670779247732E-008     0.00102057926294279        58.2455917140973       0.168479412714054        -4496.6537902832       -2588.09035520035   1.83345299885013E-005                       0        298.201289526432         301985.96502007        6.47237076697666                    1007        6.49867072043736     0.00444555553270914     0.00578464122860479                       0 
                    7.9                    0.15     0.00466977985323549        1.11718604023636        58.6356705510867   2.75996257568339E-008     0.00108615938466036        58.6356705510867       0.169613517242453        -4496.6537902832       -2562.18290026096   1.83335601780818E-005                       0         298.18090192202        301988.182036734        6.78799468298878                    1007        6.81429463644947     0.00467947180370302     0.00606672814183302                       0 
                    7.9                    0.15     0.00490326884589726        1.11725736423896        58.9956772125509   2.56099720916092E-008     0.00115340641901701        58.9956772125509       0.170660366567909        -4496.6535771319       -2537.99962530108   1.83326555136994E-005                       0        298.161874124929        301990.237420971        7.09834504747837                    1007        7.12464500093907      0.0049133862065013     0.00634410183750394                       0 
