VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11340290606022                       0                       0                       0                       0                       0       -4497.50758056641       -3577.01562194824   1.83815509672058E-005     0.00804132758639753        299.192245864868        301286.578515625      0.0685831912793219                    1007      0.0948831894434989   9.99999974737875E-005   6.12958004239772E-005        15.6805625915527 
                    7.9                    0.15    0.000233488992661774        1.11443918603139        44.7488980286209   1.13336527537331E-008   6.52811901735427E-005        44.7488980286209       0.129285986681046       -4497.50754343354       -3369.20826478713   1.83683539098822E-005                       0        298.783710713775        302014.582212962       0.296014408018923                    1007       0.322314397785579    0.000238610874118261    0.000264561038485922   6.65488989811234E-006 
                    7.9                    0.15    0.000466977985323549        1.11552491744282        49.5616144322149   1.45800113939316E-008    0.000138874966428615        49.5616144322149       0.143259586613488       -4497.50728318975       -3118.24728616888   1.83545318527235E-005                       0        298.604870619546         301943.50969816        0.63347297245317                    1007       0.659772962214724    0.000472636458966479    0.000566162523959665                       0 
                    7.9                    0.15    0.000700466977985324        1.11599367758455        52.1363753452431   1.64746264790169E-008    0.000209020629578676        52.1363753452431        0.15073349856061       -4497.50709228516       -2971.03819867852   1.83485725744016E-005                       0        298.487967561779         301947.20166784        0.93762994278587                    1007       0.963929964315576    0.000706660586742063    0.000838000933872207                       0 
                    7.9                    0.15    0.000933955970647098        1.11632525784959        53.9713516010243   1.76422461855808E-008    0.000283213225824733        53.9713516010243       0.156061742993056       -4497.50708471313       -2861.17198462944   1.83443598999033E-005                       0        298.402440100682        301954.780740339        1.24332373702431                    1007        1.26962380876997    0.000940684530368644     0.00111121289941593                       0 
                    7.9                    0.15     0.00116744496330887        1.11657895226923        55.3358954560927   1.82370710281932E-008    0.000359498387927395        55.3358954560927       0.160025685145805       -4497.50669654266       -2776.35886132942   1.83411388514366E-005                       0        298.336099723105        301961.203023186        1.54638464474985                    1007        1.57268466762131     0.00117470677856577     0.00138207168658075                       0 
                    7.9                    0.15     0.00140093395597065        1.11679379468988        56.4708742294361   1.85052890813545E-008    0.000437045951155795        56.4708742294361       0.163323656756117       -4497.50660400391       -2704.25972847742   1.83384118067213E-005                       0        298.279625981323        301966.833399777        1.84719574704363                    1007        1.87349578991598     0.00140872801502851     0.00165091976284777                       0 
                    7.9                    0.15     0.00163442294863242        1.11698306036084        57.4561476502213   1.85541170709857E-008    0.000515633404796495        57.4561476502213       0.166187265122473       -4497.50648317693        -2640.5887464283   1.83360099705322E-005                       0        298.229719228831        301971.903428483        2.14595820308547                    1007        2.17225824327644     0.00164274861318742     0.00191793684012512                       0 
                    7.9                    0.15      0.0018679119412942        1.11715016350514        58.3128124010546   1.84083878787498E-008    0.000595254654297038        58.3128124010546       0.168677668547818       -4497.50616273944       -2584.26713259846   1.83338899190641E-005                       0        298.185558937214        301976.456204343        2.44250012469123                    1007        2.46880008963063     0.00187676868003453     0.00218296925267816                       0 
                    7.9                    0.15     0.00210140093395597        1.11729481163004         59.041774994993   1.80742448542096E-008    0.000676356175645608         59.041774994993       0.170797400058916       -4497.50598629078       -2535.43723462541   1.83320549519505E-005                       0        298.147254814881        301980.439874569        2.73537241936385                    1007        2.76167237282454     0.00211078679185374     0.00244472205165756                       0 
