VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11188541799784                       0                       0                       0                       0                       0        -4496.6567199707       -4395.12015380859   1.84010468501583E-005     0.00249351856764406        299.603255844116            301700.46875    0.000145798897210625                    1007      0.0264457989251241   2.49999993684469E-005   1.30306857393236E-007        4.51788772940636 
                    7.9                    0.15   1.00033344448149E-006        1.11189317037788       0.410249893885434    2.9455799364601E-010   1.12900778342764E-007       0.410249893885434     0.00118410427815174        -4496.6567199707       -4391.92072795831   1.84009478459435E-005     0.00244363149602114        299.600225353972        301703.062114455    0.000581651824856823                    1007      0.0268816518344288   2.55228215031263E-005   5.19847693126478E-007         4.4274998219514 
                    7.9                    0.15   2.00066688896299E-006        1.11190092275792       0.820499787770867    5.8911598729202E-010   2.25801556685527E-007       0.820499787770867     0.00236820855630348        -4496.6567199707       -4388.72130210803   1.84008488417286E-005     0.00239374442439822        299.597194863829         301705.65547891     0.00101750475250302                    1007      0.0273175047437335   2.60456436378056E-005    9.0938852885972E-007        4.33711191449644 
                    7.9                    0.15   3.00100033344448E-006        1.11190867513796         1.2307496816563    8.8367398093803E-010   3.38702335028291E-007         1.2307496816563     0.00355231283445522        -4496.6567199707       -4385.52187625775   1.84007498375138E-005      0.0023438573527753        299.594164373685        301708.248843364     0.00145335768014922                    1007      0.0277533576530381    2.6568465772485E-005   1.29892936459296E-006        4.24672400704149 
                    7.9                    0.15   4.00133377792597E-006          1.111916427518        1.64099957554173   1.17823197458404E-009   4.51603113371054E-007        1.64099957554173     0.00473641711260696        -4496.6567199707       -4382.32245040746   1.84006508332989E-005     0.00229397028115238        299.591133883541        301710.842207819     0.00188921060779542                    1007      0.0281892105623428   2.70912879071644E-005    1.6884702003262E-006        4.15633609958653 
                    7.9                    0.15   5.00166722240747E-006        1.11192417989804        2.05124946942717   1.47278996823005E-009   5.64503891713818E-007        2.05124946942717     0.00592052139075871       -4496.65671997071       -4379.12302455718   1.84005518290841E-005     0.00224408320952945        299.588103393397        301713.435572274     0.00232506353544162                    1007      0.0286250634716475   2.76141100418438E-005   2.07801103605944E-006        4.06594819213157 
                    7.9                    0.15   6.00200066688896E-006        1.11193193227808         2.4614993633126   1.76734796187606E-009   6.77404670056582E-007         2.4614993633126     0.00710462566891045        -4496.6567199707        -4375.9235987069   1.84004528248692E-005     0.00219419613790653        299.585072903253        301716.028936729     0.00276091646308782                    1007      0.0290609163809521   2.81369321765232E-005   2.46755187179269E-006        3.97556028467661 
                    7.9                    0.15   7.00233411137046E-006        1.11193968465812        2.87174925719804   2.06190595552207E-009   7.90305448399346E-007        2.87174925719804     0.00828872994706219        -4496.6567199707       -4372.72417285662   1.84003538206543E-005     0.00214430906628361        299.582042413109        301718.622301184     0.00319676939073401                    1007      0.0294967692902568   2.86597543112025E-005   2.85709270752593E-006        3.88517237722166 
                    7.9                    0.15   8.00266755585195E-006        1.11194743703816        3.28199915108347   2.35646394916808E-009   9.03206226742109E-007        3.28199915108347     0.00947283422521393        -4496.6567199707       -4369.52474700633   1.84002548164395E-005     0.00209442199466069        299.579011922965        301721.215665639     0.00363262231838021                    1007      0.0299326221995615   2.91825764458819E-005   3.24663354325917E-006         3.7947844697667 
                    7.9                    0.15   9.00300100033344E-006         1.1119551894182         3.6922490449689   2.65102194281409E-009   1.01610700508487E-006         3.6922490449689      0.0106569385033657        -4496.6567199707       -4366.32532115605   1.84001558122246E-005     0.00204453492303777        299.575981432822        301723.809030093     0.00406847524602641                    1007      0.0303684751088662   2.97053985805613E-005   3.63617437899241E-006        3.70439656231174 
