VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0        1.12677025794983                       0                       0                       0                       0                       0        -3921.2138671875                       0   1.82976564246928E-005     0.00387559621594846        297.021514892578            300804.40625     0.00361855886876583                    1007      0.0299185588955879         5049.4072265625                       0   3.23406447932939E-006        23.0416240692139 
    0.00400200100050025                    0.15                       0         1.1259634981995                       0                       0                       0                       0                       0       -3925.76713991762       -496.215391448167   1.83071551828084E-005     0.00483034329284812        297.447442318571        300617.396667084      0.0134804516978536                    1007      0.0397804511665344        142408.521475582                       0   1.20480694843037E-005        25.1569779259137 
     0.0080040020010005                    0.15                       0        1.12515673844918                       0                       0                       0                       0                       0       -3930.32041264773       -992.430782896335    1.8316653940924E-005     0.00578509036974778        297.873369744565        300430.387084167      0.0233423445269414                    1007      0.0496423434374809        279767.635724602                       0   2.08620744892781E-005        27.2723317826134 
     0.0120060030015008                    0.15                       0        1.12434997869886                       0                       0                       0                       0                       0       -3934.87368537785        -1488.6461743445   1.83261526990395E-005     0.00673983744664744        298.299297170558        300243.377501251      0.0332042373560292                    1007      0.0595042357084274        417126.749973621                       0   2.96760794942524E-005        29.3876856393132 
      0.016008004002001                    0.15                       0        1.12337841809899                       0                       0                       0                       0                       0       -3942.52449625692       -1865.30284795719   1.83372806947526E-005     0.00760244017419383        298.541922679479        300348.228207854      0.0439988195247626                    1007      0.0702988191686196        576225.530546526                       0   3.93236710012903E-005        31.3236683668525 
     0.0200100050025013                    0.15                       0        1.12232300417014                       0                       0                       0                       0                       0        -3951.7513844813       -2181.12611854023     1.834923767282E-005     0.00841815837133881        298.691281218002        300601.582134817      0.0552679690653055                    1007      0.0815679709417277        746385.803808158                       0   4.93954047587483E-005        33.1683841722497 
     0.0240120060030015                    0.15                       0        1.12126759024129                       0                       0                       0                       0                       0       -3960.97827270569       -2496.94938912328   1.83611946508875E-005     0.00923387656848378        298.840639756524        300854.936061781      0.0665371186058485                    1007      0.0928371227148358        916546.077069789                       0   5.94671385162063E-005         35.013099977647 
     0.0280140070035018                    0.15                       0        1.12044357621354                       0                       0                       0                       0                       0       -3969.59574306196       -2745.12126290196   1.83703264262985E-005     0.00970803663505426        298.963146184909        301048.456009255      0.0747312522600925                    1007       0.101031257148055        1046035.28495498                       0   6.67905956163424E-005        36.1083914741031 
      0.032016008004002                    0.15                       0        1.12009897531421                       0                       0                       0                       0                       0       -3976.95062460429       -2853.13331971162    1.8373604961334E-005     0.00947455831828073        299.030020549215        301118.012224862      0.0765545837704154                    1007       0.102854586425813        1091262.38816283                       0   6.84201872315661E-005         35.651029530497 
     0.0360180090045022                    0.15                       0        1.11975437441488                       0                       0                       0                       0                       0       -3984.30550614663       -2961.14537652127   1.83768834963696E-005      0.0092410800015072        299.096894913521         301187.56844047      0.0783779152807384                    1007       0.104677915703571        1136489.49137069                       0   7.00497788467898E-005         35.193667586891 
