VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                      0                    0.15                       0         1.1228814125061                       0                       0                       0                       0                       0            -4353.984375                       0   1.82826970558381E-005      0.0476757511496544        296.668975830078            300646.15625       0.610501527786255                    1007       0.636801540851593    0.000250000011874363    0.000545631977729499          36.28271484375 
    0.00400200100050025                    0.15                       0        1.12263784657841                       0                       0                       0                       0                       0        -4354.9834836852       -59.4071668173564   1.82856212337208E-005      0.0459561089315583        296.831298996056        300345.116527013       0.588551595516358                    1007       0.614851608581696    0.000250000011874363     0.00052601436212514        36.2395572824559 
     0.0080040020010005                    0.15                       0        1.12239428065072                       0                       0                       0                       0                       0        -4355.9825923704       -118.814333634713   1.82885454116036E-005      0.0442364667134621        296.993622162033        300044.076804027        0.56660166324646                    1007       0.592901676311798    0.000250000011874363     0.00050639674652078        36.1963997211618 
     0.0120060030015008                    0.15                       0        1.12215071472303                       0                       0                       0                       0                       0       -4356.98170105561       -178.221500452069   1.82914695894864E-005       0.042516824495366        297.155945328011        299743.037081041       0.544651730976563                    1007       0.570951744041901    0.000250000011874363    0.000486779130916421        36.1532421598678 
      0.016008004002001                    0.15                       0        1.12190714879534                       0                       0                       0                       0                       0       -4357.98080974081       -237.628667269425   1.82943937673692E-005      0.0407971822772699        297.318268493988        299441.997358054       0.522701798706665                    1007       0.549001811772004    0.000250000011874363    0.000467161515312062        36.1100845985737 
     0.0200100050025012                    0.15                       0        1.12149998311581                       0                       0                       0                       0                       0       -4359.23519059334       -272.738682092816   1.82993489529301E-005      0.0385998728190767        297.430562494993        299544.694253377       0.495044413568259                    1007       0.521344426633597    0.000250000011874363    0.000442442896647431        36.0285353133415 
     0.0240120060030015                    0.15                       0        1.12109182792166                       0                       0                       0                       0                       0       -4360.49111543076       -307.701738335598   1.83043164228117E-005       0.036399674244512        297.542553900241        299649.833104052       0.467352507545568                    1007       0.493652520610906    0.000250000011874363     0.00041769342514171        35.9467538201016 
     0.0280140070035017                    0.15                       0         1.1206836727275                       0                       0                       0                       0                       0       -4361.74704026818        -342.66479457838   1.83092838926933E-005      0.0341994756699473         297.65454530549        299754.971954727       0.439660601522876                    1007       0.465960614588214    0.000250000011874363    0.000392943953635989        35.8649723268617 
      0.032016008004002                    0.15                       0        1.12027551753334                       0                       0                       0                       0                       0        -4363.0029651056       -377.627850821162   1.83142513625749E-005      0.0319992770953826        297.766536710738        299860.110805403       0.411968695500185                    1007       0.438268708565523    0.000250000011874363    0.000368194482130268        35.7831908336218 
     0.0360180090045022                    0.15                       0        1.11999022406062                       0                       0                       0                       0                       0       -4363.42713837387       -408.029139722449   1.83177976512128E-005      0.0313123004001311        297.842853235089        299935.207853927         0.4040590627692                    1007       0.430359075834538    0.000250000011874363    0.000361125294841605        35.7104466005586 
     0.0400200100050025                    0.15                       0        1.11970642586241                       0                       0                       0                       0                       0         -4363.841188905       -438.374910157105   1.83213266435272E-005      0.0306437401983397        297.918735582391        300009.939282141       0.396390187928174                    1007       0.422690200993513    0.000250000011874363    0.000354271283425766        35.6378123544347 
