VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "Ywall"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11182796657085                       0                       0                       0                       0                       0       -4500.42352294922       -4404.02258911133   1.84012205863837E-005      0.0024287257459946        299.606888198853        301704.141015625    0.000135991349452524                    1007      0.0264359913999215   2.49999993684469E-005   1.21541417286153E-007        4.45958662629127 
                    7.9                    0.15    0.000233488992661774        1.11361352928757        36.4566263919277    3.7783101754948E-005   7.34201285534612E-005        36.4566263919277       0.105290264976593       -4500.42325670455        -3757.5616188073   1.83784324505944E-005                       0        299.121021617434        301885.651790133       0.334520276145258                    1007       0.360820272960311    0.000234965993749348    0.000298975429109934                       0 
                    7.9                    0.15    0.000466977985323549        1.11425651332203        41.3968606466984    4.1811119656656E-005     0.00016163800631718        41.3968606466984       0.119592634802051       -4500.42303466797       -3541.93893318561    1.8370238697361E-005                       0        298.951609235251        301903.717092821       0.702986991057443                    1007       0.729286975572587    0.000468892939470744    0.000628290250051982                       0 
                    7.9                    0.15    0.000700466977985323        1.11466389556678        44.2494776448877   4.32053504197408E-005    0.000259255776063041        44.2494776448877        0.12785704923944       -4500.42267727332       -3404.34517940617   1.83650522617328E-005                       0         298.84300415972        301915.877385168        1.05864121503527                    1007         1.0849412542604    0.000702819381660947    0.000946154034016744                       0 
                    7.9                    0.15    0.000933955970647098        1.11497272759589        46.2961383879273   4.35428628850277E-005    0.000362923235140317        46.2961383879273       0.133789312417839       -4500.42244600721       -3299.91317038555    1.8361121098852E-005                       0        298.760498456894        301925.105838048         1.4116751790711                    1007        1.43797515703851    0.000936745065381634      0.0012616759343735                       0 
                    7.9                    0.15     0.00116744496330887         1.1152241405751        47.8971448067016   4.33144258973745E-005    0.000471135610810718        47.8971448067016       0.138431557395505       -4500.42205810547       -3214.88009937403   1.83579228970202E-005                       0        298.693307158138        301932.608158889        1.76325168481526                    1007        1.78955163827596     0.00117067017928475       0.001575895239508                       0 
                    7.9                    0.15     0.00140093395597065        1.11543440701458        49.1931797730614   4.27287165685924E-005    0.000583341030211345        49.1931797730614       0.142190769651421       -4500.42191416368        -3143.7108246842   1.83552489486257E-005                       0        298.637089199621        301938.859026352        2.11339578802404                    1007        2.13969574148473     0.00140459471930192     0.00188883437188993                       0 
                    7.9                    0.15     0.00163442294863242        1.11561918490837        50.3057852621997    4.1952077319584E-005     0.00069849041939735        50.3057852621997       0.145418727311945       -4500.42160055528       -3081.16311907201   1.83528994897592E-005                       0        298.587694211794        301944.335818746        2.46221860095735                    1007        2.48851855441805     0.00163851861523927      0.0022005925924791                       0 
                    7.9                    0.15      0.0018679119412942        1.11578263858285         51.268752347187   4.10406859604933E-005    0.000816472430965236         51.268752347187       0.148213216226647       -4500.42108154297       -3025.82883392828   1.83508220412139E-005                       0        298.544002119611        301949.180515407        2.80946328763813                    1007        2.83576347377253     0.00187244188123751     0.00251094037845301                       0 
                    7.9                    0.15     0.00210140093395597        1.11592908055987         52.115431677133   4.00436877870904E-005    0.000937041626186414         52.115431677133       0.150670779824632       -4500.42102803119       -2976.23239976007   1.83489610229319E-005                       0        298.504862685577        301953.505224343         3.1549317069461                    1007        3.18123178259631     0.00210636461382419     0.00281970067539804                       0 
