VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11176418960094                       0                       0                       0                       0                       0       -4500.50087280274       -4389.42672729492   1.84020245797001E-005     0.00304487789107952         299.62385597229        301721.203515625     0.00361447695177049                    1007      0.0299144762801006           2692519.59375                       0   3.23041640513111E-006        5.00928763747215 
                    7.9                    0.15   1.00033344448149E-006        1.11176944371361       0.372907391147713   7.65675734441341E-008   2.07632490958215E-007       0.372907391147713     0.00107622518762797       -4500.50087280274       -4387.55415974636    1.8401957454806E-005     0.00298395984313113        299.621508693282        301723.457079313     0.00476770508701621                    1007      0.0310677044293209        2677747.37092573       0.616807622804466   4.26110690756447E-006        4.90906837668688 
                    7.9                    0.15   2.00066688896299E-006        1.11177469782628       0.745814782295426   1.53135146888268E-007    4.1526498191643E-007       0.745814782295426     0.00215245037525595       -4500.50087280273       -4385.68159219781    1.8401890329912E-005     0.00292304179518274        299.619161414273        301725.710643001     0.00592093322226193                    1007      0.0322209325785411        2662975.14810146        1.23361524560893   5.29179740999782E-006        4.80884911590161 
                    7.9                    0.15   3.00100033344448E-006        1.11177995193895        1.11872217344314   2.29702720332402E-007   6.22897472874644E-007        1.11872217344314     0.00322867556288392       -4500.50087280273       -4383.80902464925   1.84018232050179E-005     0.00286212374723435        299.616814135265        301727.964206689     0.00707416135750765                    1007      0.0333741607277613        2648202.92527719         1.8504228684134   6.32248791243118E-006        4.70862985511634 
                    7.9                    0.15   4.00133377792597E-006        1.11178520605162        1.49162956459085   3.06270293776536E-007   8.30529963832859E-007        1.49162956459085      0.0043049007505119       -4500.50087280273       -4381.93645710069   1.84017560801238E-005     0.00280120569928596        299.614466856257        301730.217770377     0.00822738949275337                    1007      0.0345273888769815        2633430.70245291        2.46723049121787   7.35317841486454E-006        4.60841059433107 
                    7.9                    0.15   5.00166722240747E-006        1.11179046016429        1.86453695573857   3.82837867220671E-007   1.03816245479107E-006        1.86453695573857     0.00538112593813987       -4500.50087280273       -4380.06388955214   1.84016889552298E-005     0.00274028765133757        299.612119577248        301732.471334064      0.0093806176279991                    1007      0.0356806170262017        2618658.47962864        3.08403811402233   8.38386891729789E-006         4.5081913335458 
                    7.9                    0.15   6.00200066688896E-006        1.11179571427696        2.23744434688628   4.59405440664805E-007   1.24579494574929E-006        2.23744434688628     0.00645735112576785       -4500.50087280273       -4378.19132200358   1.84016218303357E-005     0.00267936960338918         299.60977229824        301734.724897752      0.0105338457632448                    1007       0.036833845175422        2603886.25680437         3.7008457368268   9.41455941973125E-006        4.40797207276053 
                    7.9                    0.15   7.00233411137046E-006        1.11180096838962        2.61035173803399   5.35973014108939E-007    1.4534274367075E-006        2.61035173803399     0.00753357631339582       -4500.50087280274       -4376.31875445502   1.84015547054417E-005     0.00261845155544079        299.607425019232         301736.97846144      0.0116870738984905                    1007      0.0379870733246422         2589114.0339801        4.31765335963127   1.04452499221646E-005        4.30775281197526 
                    7.9                    0.15   8.00266755585195E-006        1.11180622250229        2.98325912918171   6.12540587553073E-007   1.66105992766572E-006        2.98325912918171      0.0086098015010238       -4500.50087280273       -4374.44618690646   1.84014875805476E-005      0.0025575335074924        299.605077740223        301739.232025128      0.0128403020337363                    1007      0.0391403014738624        2574341.81115583        4.93446098243573    1.1475940424598E-005        4.20753355118999 
                    7.9                    0.15   9.00300100033344E-006        1.11181147661496        3.35616652032942   6.89108160997207E-007   1.86869241862393E-006        3.35616652032942     0.00968602668865177       -4500.50087280273       -4372.57361935791   1.84014204556535E-005     0.00249661545954401        299.602730461215        301741.485588816       0.013993530168982                    1007      0.0402935296230826        2559569.58833156         5.5512686052402   1.25066309270313E-005        4.10731429040472 
                    7.9                    0.15   1.00033344448149E-005        1.11181673072763        3.72907391147713   7.65675734441341E-007   2.07632490958215E-006        3.72907391147713      0.0107622518762797       -4500.50087280274       -4370.70105180935   1.84013533307595E-005     0.00243569741159561        299.600383182206        301743.739152504      0.0151467583042277                    1007      0.0414467577723028        2544797.36550729        6.16807622804467   1.35373214294647E-005        4.00709502961945 
                    7.9                    0.15   1.10036678892964E-005         1.1118219848403        4.10198130262485   8.42243307885475E-007   2.28395740054036E-006        4.10198130262485      0.0118384770639077       -4500.50087280274       -4368.82848426079   1.84012862058654E-005     0.00237477936364722        299.598035903198        301745.992716192      0.0162999864394734                    1007      0.0425999859215231        2530025.14268301        6.78488385084913    1.4568011931898E-005        3.90687576883418 
                    7.9                    0.15   1.20040013337779E-005        1.11182723895297        4.47488869377256    9.1881088132961E-007   2.49158989149858E-006        4.47488869377256      0.0129147022515357       -4500.50087280273       -4366.95591671223   1.84012190809713E-005     0.00231386131569883         299.59568862419         301748.24627988      0.0174532145747192                    1007      0.0437532140707433        2515252.91985874         7.4016914736536   1.55987024343314E-005        3.80665650804891 
                    7.9                    0.15   1.30043347782594E-005        1.11183249306563        4.84779608492027   9.95378454773744E-007   2.69922238245679E-006        4.84779608492027      0.0139909274391637       -4500.50087280273       -4365.08334916367   1.84011519560773E-005     0.00225294326775044        299.593341345181        301750.499843568      0.0186064427099649                    1007      0.0449064422199635        2500480.69703447        8.01849909645806   1.66293929367648E-005        3.70643724726364 
                    7.9                    0.15   1.40046682227409E-005         1.1118377471783        5.22070347606799   1.07194602821788E-006   2.90685487341501E-006        5.22070347606799      0.0150671526267916       -4500.50087280273       -4363.21078161512   1.84010848311832E-005     0.00219202521980205        299.590994066173        301752.753407256      0.0197596708452106                    1007      0.0460596703691837         2485708.4742102        8.63530671926253   1.76600834391981E-005        3.60621798647837 
                    7.9                    0.15   1.50050016672224E-005        1.11184300129097         5.5936108672157   1.14851360166201E-006   3.11448736437322E-006         5.5936108672157      0.0161433778144196       -4500.50087280273       -4361.33821406656   1.84010177062892E-005     0.00213110717185366        299.588646787165        301755.006970943      0.0209128989804563                    1007      0.0472128985184039        2470936.25138593          9.252114342067   1.86907739416315E-005         3.5059987256931 
                    7.9                    0.15   1.60053351117039E-005        1.11184825540364        5.96651825836341   1.22508117510615E-006   3.32211985533144E-006        5.96651825836341      0.0172196030020476       -4500.50087280274         -4359.465646518   1.84009505813951E-005     0.00207018912390527        299.586299508156        301757.260534631       0.022066127115702                    1007      0.0483661266676242        2456164.02856166        9.86892196487146   1.97214644440648E-005        3.40577946490783 
                    7.9                    0.15   1.70056685561854E-005        1.11185350951631        6.33942564951112   1.30164874855028E-006   3.52975234628965E-006        6.33942564951112      0.0182958281896756       -4500.50087280273       -4357.59307896945    1.8400883456501E-005     0.00200927107595688        299.583952229148        301759.514098319      0.0232193552509478                    1007      0.0495193548168444        2441391.80573739        10.4857295876759   2.07521549464982E-005        3.30556020412256 
