VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11171376407146                       0                       0                       0                       0                       0       -4500.49627685547        -4354.7395324707   1.84026703209383E-005     0.00930046354187653        299.637466812134        301734.922265625      0.0439477905631065                    1007      0.0702477887272835            3211883.3125                       0   3.92780644233426E-005        4.94462531208992 
                    7.9                    0.15    0.000233488992661775        1.11323659517935        32.8375207670032   2.75016057245405E-005   8.45468107086548E-005        32.8375207670032      0.0948219416581913       -4500.49626085494       -3897.96003015484   1.83832271083444E-005                       0        299.222212972627        301862.194799549       0.363466972019642                    1007       0.389766969579753        373907.824629893        34.2894291362379    0.000324846349933307                       0 
                    7.9                    0.15    0.000466977985323549        1.11390156067105        38.4389119416327   3.13444334990303E-005    0.000190272089150201        38.4389119416327       0.111029684089518       -4500.49578857422        -3674.6414217841   1.83747500853537E-005                       0        299.046439286263        301881.415063829       0.773421385395443                    1007       0.799721396463594        178940.771433059        34.9121471709549    0.000691240563196346                       0 
                    7.9                    0.15    0.000700466977985324        1.11432391282319        41.6027311612208   3.28163438230918E-005    0.000305634101104036        41.6027311612208       0.120191108468689       -4500.49530029297       -3532.26405929279   1.83693697089014E-005                       0        298.933820954813        301893.914711493        1.18708360134567                    1007        1.21338355480636        118188.605767268        35.1345772243198     0.00106094858026873                       0 
                    7.9                    0.15    0.000933955970647098        1.11464214568118         43.837298403492   3.33485906793527E-005      0.0004273421173037         43.837298403492       0.126664884898195       -4500.49509953396       -3424.86230214327   1.83653178309435E-005                       0        298.848794959137        301903.347899402        1.60084877058194                    1007        1.62714872404263        87975.7495518256        35.2488899453564      0.0014307486453971                       0 
                    7.9                    0.15     0.00116744496330887        1.11490007444661        45.5683118462398   3.33793412105687E-005    0.000553981110355757        45.5683118462398       0.131681722669102       -4500.49476238962       -3337.75044622963   1.83620355808539E-005                       0        298.779835542289        301910.991098426        2.01381236829941                    1007         2.0401123217601        69928.8639108025        35.3155648774153     0.00179983228247754                       0 
                    7.9                    0.15     0.00140093395597065        1.11511533578337        46.9599524433611   3.30907738221963E-005    0.000685093683811058        46.9599524433611       0.135716360935791       -4500.49404805393       -3265.02725308867   1.83592971587144E-005                       0        298.722268017944        301917.356259599        2.42541833073476                    1007        2.45171828419545         58302.525931021        35.3548214784402     0.00216770259916411                       0 
                    7.9                    0.15     0.00163442294863242        1.11530414786073        48.1496348089552   3.26284009284858E-005    0.000819587275415077        48.1496348089552       0.139166352567731       -4500.49383544922       -3201.20207437506   1.83568953207171E-005                       0        298.671781146383         301922.93496918        2.83559848920958                    1007        2.86189844267027        49822.8600856404        35.3795193803013      0.0025342985413891                       0 
                    7.9                    0.15      0.0018679119412942        1.11547097732807        49.1757483481589   3.20401350903937E-005    0.000957396378329781        49.1757483481589       0.142142731940776       -4500.49332363695       -3144.79370856079   1.83547738842227E-005                       0        298.627171910628        301927.855764744        3.24404553531203                    1007        3.27034561074666        43537.5123405591        35.3933111614552     0.00289934555757921                       0 
                    7.9                    0.15     0.00210140093395597        1.11562032293556        50.0755021858038   3.13684689474391E-005     0.00109827940947417        50.0755021858038       0.144753169504756       -4500.49280537494       -3094.26846414976   1.83528744517588E-005                       0        298.587226036688         301932.26207385        3.65057232617887                    1007        3.67687254418694        38722.5045701498        35.3991801836452      0.0032626764940486                       0 
                    7.9                    0.15     0.00233488992661774         1.1157567871129        50.8837839022649   3.06468616007474E-005     0.00124176847378541        50.8837839022649       0.147098655963865       -4500.49232930066       -3048.09728301683   1.83511404927319E-005                       0        298.550742675093        301936.269105642        4.05522631371125                    1007        4.08152672384074        34848.8134569664        35.3995561562054     0.00362433355692723                       0 
                    7.9                    0.15     0.00256837891927952        1.11588250219165        51.6173666567046   2.98924215103506E-005     0.00138767786610554        51.6173666567046       0.149227761486891       -4500.49188919044       -3005.54455326867   1.83495427853479E-005                       0        298.517115884729        301939.972682666        4.45794653302946                    1007        4.48424673422184        31670.9023964815        35.3955613025285     0.00398426220586119                       0 
                    7.9                    0.15     0.00280186791194129        1.11599783713424        52.2796319193129   2.91157868232984E-005     0.00153624112139369        52.2796319193129       0.151150218436816       -4500.49148490483       -2966.51074352203   1.83480773299325E-005                       0        298.486288034527        301943.362432894        4.85829519800023                    1007        4.88459519582706        29090.4543550559        35.3874676043786     0.00434207125449835                       0 
                    7.9                    0.15     0.00303535690460307        1.11610559813428        52.8912183957442   2.83302831673044E-005     0.00168696174987917        52.8912183957442       0.152925829072994       -4500.49082004131       -2930.02094243881   1.83467076882108E-005                       0        298.457485354443        301946.521640309        5.25651464179362                    1007        5.28281459525431        26893.5490032697        35.3764876070411     0.00469797729018115                       0 
                    7.9                    0.15     0.00326884589726484         1.1162073193364        53.4625616821994   2.75417818326381E-005     0.00183955590609758        53.4625616821994       0.154584811346536       -4500.49026237196       -2895.57416120353   1.83454150158538E-005                       0        298.430297599827        301949.498200669         5.6527508244504                    1007        5.67905077791109        24981.5155820747        35.3632092086049     0.00505211089023036                       0 
                    7.9                    0.15     0.00350233488992662        1.11630426074731        54.0021465163593   2.67526862838085E-005     0.00199371281350647        54.0021465163593       0.156151745818045       -4500.48991710478       -2862.75043463506    1.8344183524895E-005                       0         298.40438854191         301952.33116862        6.04728610066957                    1007        6.07358605413027        23285.3279213156        35.3481198992524     0.00540472443768607                       0 
                    7.9                    0.15     0.00373582388258839        1.11639360577313        54.4923738687605    2.5970352721798E-005      0.0021506236468669        54.4923738687605         0.1575756145592       -4500.48929366828       -2832.48897175013   1.83430495958218E-005                       0        298.380522613375         301954.94461443        6.43854007797943                    1007        6.46484003144012        21893.3868191438        35.3301881450928     0.00575440518146435                       0 
                    7.9                    0.15     0.00396931287525017        1.11647977046514        54.9622816390317   2.51942769219232E-005     0.00230882268356316        54.9622816390317       0.158940573217224       -4500.48869352722       -2803.29903728579   1.83419558436202E-005                       0        298.357503928815        301957.460405771        6.82811471546048                    1007        6.85441466892118        20614.8840809625        35.3110611906151     0.00610258512542298                       0 
                    7.9                    0.15     0.00420280186791194        1.11656209459318        55.4076471640166   2.44256197589482E-005     0.00246858741604119        55.4076471640166       0.160234379257983       -4500.48812151767       -2775.40357604052    1.8340910636376E-005                       0        298.335508755641        301959.858269795        7.21566418775533                    1007        7.24196414121602        19473.3901664476        35.2904977374438     0.00644895520130984                       0 
                    7.9                    0.15     0.00443629086057372        1.11663971687314         55.823115922823   2.36713895609834E-005     0.00263051489735647         55.823115922823       0.161441507011123       -4500.48758466766       -2749.10888691112     1.833992530025E-005                       0        298.314785690431         301962.12127007        7.60016598269379                    1007        7.62646612727097        18483.2310254077        35.2681289803001     0.00679260138367365                       0 
                    7.9                    0.15     0.00466977985323549        1.11671573450459          56.22838824345   2.29219803987794E-005     0.00279318624706395          56.22838824345       0.162619072456125       -4500.48705980576       -2723.36031255963   1.83389603779879E-005                       0        298.294496497626        301964.338286734        7.98363081735502                    1007        8.00993121821242        17544.6825833908        35.2451492030031     0.00713532076577754                       0 
                    7.9                    0.15     0.00490326884589726        1.11678660171543        56.6018736834227    2.2193706014154E-005     0.00295847395787416        56.6018736834227       0.163704457016371       -4500.48657320911        -2699.3389938133   1.83380610394404E-005                       0        298.275573259362        301966.407312654        8.36311569757565                    1007        8.38941571156236        16752.2106128138        35.2201880454382     0.00747448261657554                       0 
                    7.9                    0.15     0.00513675783855904        1.11685680028444        56.9712312921963   2.14680816364048E-005     0.00312410693143852        56.9712312921963       0.164777870916581       -4500.48609157873       -2675.54211543831   1.83371702126891E-005                       0        298.256827683265        301968.457131565        8.74208629829331                    1007        8.76838584193785        15978.7054768913        35.1949738035622     0.00781318477731619                       0 
                    7.9                    0.15     0.00537024683122081        1.11692248478849        57.3129457527955   2.07660420501279E-005     0.00329232511012475        57.3129457527955       0.165771108769364       -4500.48554918123       -2653.26890547991   1.83363362468173E-005                       0        298.239292023324        301970.362304017        9.11682951069857                    1007        9.14312917238773        15320.6447720858        35.1679688638892     0.00814810936033966                       0 
                    7.9                    0.15     0.00560373582388259        1.11698741768764        57.6500642276027   2.00678166089197E-005     0.00346097900389842        57.6500642276027       0.166751016376485        -4500.4850027894       -2631.24917450142   1.83355117524138E-005                       0        298.221957481915        301972.243440163        9.49087301680162                    1007         9.5171729062302        14681.7755221402        35.1406708712353     0.00848240869341733                       0 
                    7.9                    0.15     0.00583722481654436        1.11704927747207        57.9683922248585    1.9389271524357E-005     0.00363162638956861        57.9683922248585       0.167676419747046       -4500.48447973101       -2610.27948471971   1.83347270032736E-005                       0        298.205447939427        301974.032761997        9.86142214295266                    1007        9.88772210833428        14114.2832657262         35.112099673988     0.00881358482798806                       0 
