VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11252128630877                       0                       0                       0                       0                       0       -4496.98671264648       -3783.29804992676   1.83928768819897E-005       0.013904044427909        299.430984115601                  301527       0.154206816293299                    1007       0.180506814457476         540845.55234375                       0    0.000137821383759729        17.2926409959793 
                    7.9                    0.15   1.00033344448149E-006        1.11252622649834       0.196595358904177   1.12483733009295E-011   1.77400504956143E-007       0.196595358904177    0.000567749203513358       -4496.98671264649       -3782.51540562247   1.83928139012253E-005      0.0138345009315881        299.429091929086        301529.558352784       0.154875869474803                    1007       0.181175867713511        540017.951554946       0.138472966966537    0.000138419345926606        17.2061489431538 
                    7.9                    0.15   2.00066688896299E-006        1.11253116668791       0.393190717808353    2.2496746601859E-011   3.54801009912286E-007       0.393190717808353     0.00113549840702671       -4496.98671264648       -3781.73276131818    1.8392750920461E-005      0.0137649574352673        299.427199742571        301532.116705568       0.155544922656307                    1007       0.181844920969545        539190.350766141       0.276945933933074    0.000139017308093483        17.1196568903282 
                    7.9                    0.15   3.00100033344448E-006        1.11253610687748        0.58978607671253   3.37451199027886E-011   5.32201514868429E-007        0.58978607671253     0.00170324761054007       -4496.98671264649        -3780.9501170139   1.83926879396967E-005      0.0136954139389465        299.425307556056        301534.675058353       0.156213975837811                    1007        0.18251397422558        538362.749977337       0.415418900899611     0.00013961527026036        17.0331648375027 
                    7.9                    0.15   4.00133377792597E-006        1.11254104706706       0.786381435616706   4.49934932037181E-011   7.09602019824572E-007       0.786381435616706     0.00227099681405343       -4496.98671264648       -3780.16747270961   1.83926249589324E-005      0.0136258704426257        299.423415369541        301537.233411137       0.156883029019315                    1007       0.183183027481614        537535.149188532       0.553891867866148    0.000140213232427238        16.9466727846771 
                    7.9                    0.15   5.00166722240747E-006        1.11254598725663       0.982976794520883   5.62418665046477E-011   8.87002524780715E-007       0.982976794520883     0.00283874601756679       -4496.98671264649       -3779.38482840533   1.83925619781681E-005      0.0135563269463049        299.421523183026        301539.791763921       0.157552082200819                    1007       0.183852080737649        536707.548399728       0.692364834832685    0.000140811194594115        16.8601807318516 
                    7.9                    0.15   6.00200066688896E-006         1.1125509274462        1.17957215342506   6.74902398055772E-011   1.06440302973686E-006        1.17957215342506     0.00340649522108014       -4496.98671264649       -3778.60218410104   1.83924989974037E-005      0.0134867834499841        299.419630996511        301542.350116706       0.158221135382323                    1007       0.184521133993683        535879.947610924       0.830837801799223    0.000141409156760992         16.773688679026 
                    7.9                    0.15   7.00233411137046E-006        1.11255586763577        1.37616751232924   7.87386131065068E-011     1.241803534693E-006        1.37616751232924      0.0039742444245935       -4496.98671264649       -3777.81953979675   1.83924360166394E-005      0.0134172399536633        299.417738809996         301544.90846949       0.158890188563826                    1007       0.185190187249718        535052.346822119        0.96931076876576    0.000142007118927869        16.6871966262005 
                    7.9                    0.15   8.00266755585195E-006        1.11256080782535        1.57276287123341   8.99869864074363E-011   1.41920403964914E-006        1.57276287123341     0.00454199362810686       -4496.98671264649       -3777.03689549247   1.83923730358751E-005      0.0133476964573425        299.415846623481        301547.466822274        0.15955924174533                    1007       0.185859240505752        534224.746033315         1.1077837357323    0.000142605081094747        16.6007045733749 
                    7.9                    0.15   9.00300100033344E-006        1.11256574801492        1.76935823013759   1.01235359708366E-010   1.59660454460529E-006        1.76935823013759     0.00510974283162022       -4496.98671264648       -3776.25425118818   1.83923100551108E-005      0.0132781529610217        299.413954436966        301550.025175058       0.160228294926834                    1007       0.186528293761787         533397.14524451        1.24625670269883    0.000143203043261624        16.5142125205494 
