VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11233493238688                       0                       0                       0                       0                       0       -4495.36514892578       -4179.98029785156   1.83954971134881E-005     0.00346017429837957        299.486220932007        301582.640234375      0.0447857467923313                    1007      0.0710857467725873        451302.941015625                       0   4.00269836518419E-005        21.3784857988358 
                    7.9                    0.15    0.000233488992661774        1.11282222374326        28.9560073818213   1.45490975823027E-008   2.34365874116743E-005        28.9560073818213      0.0835964628291645       -4495.36511179292       -4016.40578695038   1.83892782174374E-005                       0        299.279694951644        301880.120196655       0.463421455654254                    1007        0.48972145645737        358353.849687212        35.1893520627126    0.000414180044865686   9.07310984753002E-006 
                    7.9                    0.15    0.000466977985323549        1.11345962772751        34.8397089912016   2.16426126904384E-008   5.57475627169644E-005        34.8397089912016       0.100611112365472       -4495.36491088867       -3814.88305413456   1.83811470498853E-005                       0        299.170485394516        301887.559548369       0.994320146034859                    1007        1.02062014759324        229080.343867585        43.4260188084003    0.000888667440862972                       0 
                    7.9                    0.15    0.000700466977985324        1.11387176735388        37.9747711164518   2.60147561041717E-008   8.90439735978409E-005        37.9747711164518       0.109684739686583       -4495.36491088867       -3688.11948317208   1.83758928743143E-005                       0        299.065021525085        301889.054293373        1.39850091037594                    1007        1.42480086383663        151397.588268343        42.5393493617722     0.00124990145692419                       0 
                    7.9                    0.15    0.000933955970647098        1.11417756699871        40.3003056403507   2.88172414693989E-008    0.000126003958490814        40.3003056403507       0.116417552391979       -4495.36490710266       -3586.65692884547   1.83719957577001E-005                       0        298.984958586454        301896.686990339        1.81454625516506                    1007         1.8408462104744        112090.478296903        42.1172008636056     0.00162173942724834                       0 
                    7.9                    0.15     0.00116744496330887        1.11442301658663        42.0620674327441   3.07330512321174E-008    0.000165309158766428        42.0620674327441       0.121520346718753       -4495.36470691391       -3504.81676043524   1.83688701483802E-005                       0        298.920206900261        301903.109273186        2.23587908433747                    1007        2.26217913143475        90452.0785036188        41.8795777112796     0.00199830311842625                       0 
                    7.9                    0.15     0.00140093395597065        1.11463543444089        43.5359337753828   3.22727699531583E-008    0.000206226992938974        43.5359337753828       0.125790470348528       -4495.36453245147       -3433.80284271196   1.83661658560911E-005                       0        298.863994479505        301908.808409626        2.65836518987482                    1007        2.68466525956457        75387.6254573771        41.7042282778395     0.00237589746316271                       0 
                    7.9                    0.15     0.00163442294863242        1.11482543087238        44.8198118362573   3.36032556441274E-008    0.000248414016001127        44.8198118362573       0.129511008147662       -4495.36442260742       -3370.16510830084   1.83637473656257E-005                       0        298.813606477476        301913.981076043        3.08097875307194                    1007        3.10727882276169        64138.5861242371        41.5637327809164     0.00275360568000853                       0 
                    7.9                    0.15      0.0018679119412942        1.11499546621941        45.9386956994414   3.47765135233265E-008    0.000291882520770422        45.9386956994414       0.132754192080598       -4495.36442260742       -3313.11494321596   1.83615831464187E-005                       0        298.768424791359          301918.6568999        3.50320598068623                    1007        3.52950605633645        55793.2886935734        41.4486164708717     0.00313096857812928                       0 
                    7.9                    0.15     0.00210140093395597        1.11514451909023        46.8915865463358   3.58572995942441E-008    0.000337019211248375        46.8915865463358       0.135516992940066       -4495.36417415699       -3263.02599718206   1.83596866090916E-005                       0        298.728751517682        301922.809349206         3.9237337739236                    1007        3.95003378637466        49781.6955032553          41.35246018289     0.00350681265923991                       0 
                    7.9                    0.15     0.00233488992661774        1.11528654149937        47.7898261817272    3.6918029525012E-008     0.00038277165964708        47.7898261817272       0.138121616118782       -4495.36393432617       -3215.27565670875   1.83578798652713E-005                       0        298.690932815616        301926.779567395        4.34344333971085                    1007        4.36974331595382        44471.9937642031        41.2618432263931     0.00388192547135301                       0 
                    7.9                    0.15     0.00256837891927952        1.11541257859497        48.5661080692496   3.79480170350293E-008     0.00043009147986768        48.5661080692496       0.140373213450144       -4495.36393432617         -3172.858307103   1.83562775720412E-005                       0        298.657352935379        301930.318948478        4.76069564308736                    1007        4.78699575449334        40566.4785525505        41.1818762085077     0.00425484216502756                       0 
                    7.9                    0.15     0.00280186791194129        1.11553341314508         49.304038504611   3.89805407154863E-008    0.000478023609217597         49.304038504611       0.142513764400379       -4495.36385472028       -3132.18050782763   1.83547415482231E-005                       0         298.62515663734        301933.720958564        5.17669448474232                    1007        5.20299468258206         37029.226564187          41.10452484499     0.00462663860773413                       0 
                    7.9                    0.15     0.00303535690460307        1.11564373359578        49.9644588600995   4.00095902747734E-008    0.000527217094319544        49.9644588600995       0.144429885152973       -4495.36361423461       -3095.01862044523   1.83533394977168E-005                       0        298.595757264694        301936.845348335        5.59016030034855                    1007        5.61646049818829        34236.2535126309        41.0324630519697     0.00499617122163488                       0 
                    7.9                    0.15     0.00326884589726484        1.11575014366451        50.5970196195136   4.10437028799018E-008    0.000576967987102815        50.5970196195136       0.146265323213964       -4495.36338033216       -3059.16227308322   1.83519870886517E-005                       0        298.567390631567        301939.858975239        6.00227743136544                    1007        6.02857759711887         31669.496167281        40.9619086251672     0.00536449839970234                       0 
                    7.9                    0.15     0.00350233488992662        1.11584745511309        51.1647637250022   4.20803191519118E-008    0.000628042654980669        51.1647637250022       0.147913049115454       -4495.36316174494       -3026.34354895344   1.83507501656567E-005                       0        298.541426949731        301942.614922917        6.41125765698675                    1007        6.43755771004767        29629.0399291169        40.8948652565887     0.00573002185478436                       0 
                    7.9                    0.15     0.00373582388258839        1.11594404212986        51.7274670414239   4.31197543909843E-008    0.000679236652023598        51.7274670414239       0.149546172981987       -4495.36294448613       -2993.76809373208    1.8349522490959E-005                       0        298.515656775111        301945.350722933        6.81989440405089                    1007        6.84619435751158        27623.5745924069        40.8280396866824     0.00609523832895726                       0 
                    7.9                    0.15     0.00396931287525017        1.11603049119238        52.2197559336134   4.41611342590478E-008     0.00073221231393971        52.2197559336134       0.150975323462988       -4495.36274577942       -2964.59178856213   1.83484239745245E-005                       0        298.492594377397        301947.805148235        7.22373891950522                    1007        7.25003887296592        26106.8943498398        40.7642757896095     0.00645617176832259                       0 
                    7.9                    0.15     0.00420280186791194        1.11611694025489        52.7120435383425   4.52001144022482E-008    0.000785196338841502        52.7120435383425       0.152404470218699       -4495.36254707271       -2935.41561156601   1.83473254580901E-005                       0        298.469531979683        301950.259573536        7.62758401312461                    1007        7.65388396658531        24590.2208699681        40.7005134660992     0.00681710571991534                       0 
                    7.9                    0.15     0.00443629086057372        1.11619778277163        53.1663322680269    4.6233987512349E-008    0.000839364523250441        53.1663322680269       0.153723515313526       -4495.36241442531       -2908.12419300058   1.83462984308731E-005                       0        298.447963312658        301952.556957682        8.02791101032884                    1007        8.05421107132295        23301.0060892215        40.6380872946735     0.00717489551261549                       0 
                    7.9                    0.15     0.00466977985323549        1.11627503210135        53.5962757846217   4.72610155851199E-008    0.000894305085684881        53.5962757846217       0.154972020164702       -4495.36231799369       -2882.04041232432   1.83453172014808E-005                       0        298.427351186323        301954.753737239        8.42598548330647                    1007        8.45228572072267        22157.5171767243        40.5765199642449     0.00753067220214345                       0 
                    7.9                    0.15     0.00490326884589727        1.11635228292118        54.0262206363605   4.82900796736909E-008    0.000949237230563958        54.0262206363605       0.156220528927432       -4495.36222766558       -2855.95650042246   1.83443359720885E-005                       0        298.406739441458        301956.950516796        8.82405906817489                    1007        8.85035948201317        21014.0226001646        40.5149507741513     0.00788644809422644                       0 
                    7.9                    0.15     0.00513675783855904        1.11642238042195        54.4088929946261   4.92929225576934E-008     0.00100600431331488        54.4088929946261       0.157332043491396       -4495.36199582238       -2832.27674268369   1.83434457066921E-005                       0        298.388036972043        301958.938029716        9.21632829133377                    1007        9.24262857617857        20116.2868574851        40.4547303383611     0.00823703623251602                       0 
                    7.9                    0.15     0.00537024683122081        1.11649174336183        54.7866998945028   5.02914527093346E-008     0.00106296860253676        54.7866998945028       0.158429457929494       -4495.36175552131       -2808.84450116031   1.83425648239038E-005                       0        298.369531341732        301960.904009846        9.60800155384077                    1007        9.63430166634497        19243.8435827828        40.3946507826603     0.00858709172195981                       0 
                    7.9                    0.15     0.00560373582388259        1.11656110481158        55.1645080818397   5.12915975249338E-008     0.00111992449384835        55.1645080818397       0.159526876279147       -4495.36150911671       -2785.41212230784   1.83416839183781E-005                       0         298.35102532995        301962.869989976        9.99967352888743                    1007         10.025973480972        18371.3955473383        40.3345691288761     0.00893714605889191                       0 
                    7.9                    0.15     0.00583722481654436        1.11662408595321        55.5011604880258    5.2247818798213E-008     0.00117884910490093        55.5011604880258       0.160505002348349       -4495.36135334812        -2764.1224781571   1.83408843120204E-005                       0        298.334224819342        301964.660681514        10.3847557112929                    1007        10.4110557891333        17685.8713774411        40.2754344288953     0.00928131094193026                       0 
