VARIABLES = "X"
 "Y"
 "Z"
 "RHO"
 "U"
 "V"
 "W"
 "VelocityMagnitude"
 "Mach"
 "P"
 "P_tot"
 "Vislam"
 "SkinFrictionCoefficient"
 "T"
 "H0"
 "COND_TURB"
 "CP"
 "COND_eff"
 "D"
 "K"
 "VIS_T"
 "YPLUS"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                    7.9                    0.15                       0        1.11177400350571                       0                       0                       0                       0                       0        -4495.9606262207         -4346.244921875   1.84025748012573E-005     0.00946855787187815        299.635451889038         301732.90546875      0.0442455898504704                    1007      0.0705455898307264           3277086.59375                       0   3.95442210447072E-005        4.97792508602142 
                    7.9                    0.15    0.000233488992661775        1.11332887149427        33.1845278384198   3.02259676596631E-008   3.74550031493988E-005        33.1845278384198      0.0958256554616578       -4495.96038818359       -3880.54535389828    1.8382724561049E-005                       0         299.21153684434        301862.999476194       0.364923042159531                    1007       0.391223042880963        381741.578440401        34.7164817922479    0.000326147703883038                       0 
                    7.9                    0.15    0.000466977985323549        1.11400743532763        38.8399874453923   3.50377825222108E-008   8.40224599797993E-005        38.8399874453923       0.112190850774691       -4495.96013793945       -3652.64644455142   1.83740753741545E-005                       0        299.032174744465        301882.594925009       0.774118519115538                    1007       0.800418503123612        182691.994081533        35.2915606176402    0.000691863627353637                       0 
                    7.9                    0.15    0.000700466977985324        1.11443923241134        42.0403988480908   3.74310869961466E-008    0.000134577292480902        42.0403988480908       0.121458936125463       -4495.96013793945       -3507.06997922961   1.83685754800419E-005                       0        298.917066889621        301895.377341663        1.18500143399268                    1007        1.21130141361316        120649.562582726         35.466979202971     0.00105908765255622                       0 
                    7.9                    0.15    0.000933955970647098        1.11476505575664        44.3041107844835   3.88689915745617E-008    0.000187704271008223        44.3041107844835       0.128017723912312       -4495.96003755995       -3397.07907583676   1.83644271379163E-005                       0        298.830000749116        301905.033103795        1.59431860191429                    1007        1.62061861646974        89781.8254932414        35.5354746370055     0.00142491237034112                       0 
                    7.9                    0.15     0.00116744496330887        1.11502955236884        46.0598115869396   3.97934301834937E-008    0.000242812736772668        46.0598115869396       0.133106611709163        -4495.9596496582       -3307.74606909576   1.83610609319456E-005                       0        298.759299007857         301912.86278606        2.00142516219541                    1007        2.02772512777087        71335.2526838464        35.5577755994393     0.00178876125789526                       0 
                    7.9                    0.15     0.00140093395597065        1.11525049689904         47.472824130753   4.03798188626123E-008    0.000299716589488605         47.472824130753       0.137203636212844        -4495.9596496582        -3233.0755383253   1.83582506598952E-005                       0        298.700223706586         301919.39317387        2.40585693883772                    1007        2.43215694420386        59445.6339612156        35.5543204697355     0.00215021969825759                       0 
                    7.9                    0.15     0.00163442294863242        1.11544454012919        48.6817137764477   4.07708859710805E-008    0.000357983791302024        48.6817137764477       0.140709726486753       -4495.95944235216       -3167.48087933635   1.83557829168092E-005                       0        298.648351052025        301925.108701664        2.80786833677418                    1007        2.83416839741899        50770.5614314737        35.5377590236819      0.0025095149721855                       0 
                    7.9                    0.15      0.0018679119412942        1.11561606536927        49.7251468891129   4.10060807441914E-008    0.000417597832658452        49.7251468891129       0.143736713661708       -4495.95916137695       -3109.45843239592    1.8353601639306E-005                       0        298.602458446307        301930.172782699        3.20719104627889                    1007        3.23349099973958        44337.8102756937        35.5118270494344     0.00286640699160041                       0 
                    7.9                    0.15     0.00210140093395597        1.11576984601735        50.6406511867783   4.11218127306355E-008    0.000478474196536332        50.6406511867783       0.146393180018866       -4495.95913462106       -3057.44819615863   1.83516469604793E-005                       0        298.561358043272        301934.683735241        3.60373700665006                    1007        3.63003696011076        39408.0870429614        35.4794761171545     0.00322081760257432                       0 
